article,pub_date,nltk_score,source,nltk_score_title
Accidente en submarino; mueren 20 rusos,2008-11-09,-0.9468,Jornada,-0.7906
Colonos judíos apedrean en Hebrón a un niño palestino de apenas seis años de edad,2008-11-09,0.5859,Jornada,0.0
Portugal: unos 120 mil maestros rechazan “planes de evaluación”,2008-11-09,-0.0258,Jornada,-0.4019
El ciclón Paloma azota Cuba; desalojan a cientos de miles,2008-11-09,-0.1531,Jornada,0.0
"Aumentan a 81 los muertos en el derrumbe de una escuela en Haití; niños, la mayoría",2008-11-09,-0.9682,Jornada,-0.8176
Detienen en Argentina a torturador que fungía de analista experto en terrorismo,2008-11-09,-0.5423,Jornada,-0.8074
Critican 60 economistas iraníes la política exterior de confrontación de Ahmadinejad,2008-11-09,-0.6808,Jornada,-0.6369
Susana Harp reivindica con su canto a la raza negra de la Costa Chica,2008-11-09,-0.6808,Jornada,0.0
"Presenta Luis Tovar Diccionario del mar, en el Festival La Nao",2008-11-09,-0.9442,Jornada,0.4939
Misterioso manuscrito,2008-11-09,0.0,Jornada,0.0
Un juego maligno,2008-11-09,-0.6705,Jornada,-0.6597
Graciela Iturbide abandera la muestra del Premio Hasselblad,2008-11-09,-0.9313,Jornada,0.25
“El budismo no tuvo que crear su filosofía como el cristianismo”,2008-11-09,0.802,Jornada,0.1744
Los Salmerón mantienen viva la música de Tierra Caliente,2008-11-09,-0.0772,Jornada,0.3818
En Bigaku Butoh Ken Mai se enfoca en la belleza oculta de la oscuridad y la muerte,2008-11-09,0.4939,Jornada,-0.2732
"Los engranajes del I Ching, ideal acercamiento al pensamiento chino",2008-11-09,0.9136,Jornada,0.5267
Inmersión en el México colonial,2008-11-09,0.1779,Jornada,0.0
Discuten en la Feria del Libro de Francfort el legado de Fidel Castro,2008-11-09,-0.9844,Jornada,0.3182
Las claves del universo,2008-11-09,-0.0772,Jornada,0.0
Historias más allá del tedio y la cotidianidad de la urbe,2008-11-09,0.9279,Jornada,-0.3182
Pega a la economía inseguridad y falta de confianza en instituciones,2008-11-09,-0.8779,Jornada,-0.2023
Arremete Lula contra países ricos por la incapacidad para regular los mercados,2008-11-09,-0.7269,Jornada,-0.1779
Peor deterioro económico de lo previsto: Invex,2008-11-09,-0.9761,Jornada,-0.4767
Crecen denuncias de fraude contra el BBVA,2008-11-09,-0.93,Jornada,-0.5859
Confirma Ford el cierre de su planta en Hermosillo; otra en Canadá y nueve en EU,2008-11-09,-0.7184,Jornada,0.0
Correa: Repsol deberá acatar nuestras reglas,2008-11-09,-0.0516,Jornada,0.0
Nissan realizó paro técnico de tres días en la ensambladora de Aguascalientes,2008-11-09,-0.5267,Jornada,-0.296
Suspenden a mil empleados,2008-11-09,0.0,Jornada,-0.4767
Quiebran dos bancos más en EU por la crisis,2008-11-09,0.0,Jornada,-0.6249
Marchan contra despidos de Renault,2008-11-09,0.0772,Jornada,0.0
"Se aproxima la liberación del lobo gris mexicano, anuncian",2008-11-09,-0.9246,Jornada,0.0
México será sede de la cumbre de científicos de países en desarrollo,2008-11-09,-0.0258,Jornada,0.0
La Jornada: Cartones,2008-11-09,0.0,Jornada,0.0
Maestros disidentes de la secció 25 crean nuevo sindicato en QR,2008-11-09,-0.1027,Jornada,0.2732
No debió hacerse una reforma educativa fast track; es un proceso que compete a todos: INEE,2008-11-09,-0.8834,Jornada,0.0
“Me avisan si me saqué la Hummer”: Bours,2008-11-09,0.0,Jornada,0.0
Arriba nuevo frente frío,2008-11-09,0.5574,Jornada,0.2023
Hieren al director de la FES Zaragoza,2008-11-09,-0.5267,Jornada,0.0
PRI y PRD apuran al Presidente a designar nuevo titular en Bucareli,2008-11-09,-0.91,Jornada,0.0
Delinea IFE criterios para aspirantes a diputados,2008-11-09,0.6597,Jornada,0.0
"Reorientar el gasto, la mejor forma para combatir la inseguridad pública: AMLO",2008-11-09,-0.7096,Jornada,0.0
"Aboites: México, sin interés de fortalecer la educación superior",2008-11-09,-0.6597,Jornada,0.6124
"Narcos queman dos casas en Chihuahua, pese a llegada de más policías y militares",2008-11-09,-0.9729,Jornada,0.0
"El campo requiere al menos 273 mil millones para 2009, afirma la CCC",2008-11-09,-0.836,Jornada,0.0
"Unos 40 grupos, en el Frente Morelense contra la Represión",2008-11-09,-0.9559,Jornada,-0.3818
Visitó Calderón la zona cero,2008-11-09,-0.296,Jornada,0.0
Gestionó el PT becas a estudiantes en Cuba,2008-11-09,-0.5994,Jornada,0.0
Exigen a Los Pinos presentar a eperrista,2008-11-09,-0.5267,Jornada,-0.2263
Participan 4 británicos en las pesquisas,2008-11-09,0.4215,Jornada,0.0
Decomisan en el AICM 43 kilos de cocaína procedente de Panamá,2008-11-09,0.34,Jornada,0.0
Aún interroga la SIEDO a El Hummer; será llevado a un penal de alta seguridad,2008-11-09,0.128,Jornada,-0.2263
El ex presidente pasa la charola a líderes de la IDC para su proyecto en San Cristóbal,2008-11-09,-0.0258,Jornada,0.0
Formal prisión a los autores materiales de los estallidos de granadas en Morelia,2008-11-09,-0.9837,Jornada,-0.6486
"Planes de desarrollo turístico, riesgo para pueblos indígenas, advierten",2008-11-09,-0.9565,Jornada,-0.3612
La edificación de obras en el IMSS dependerá de recursos para 2009,2008-11-09,0.1779,Jornada,0.0
Brusca maniobra hizo perder el control sobre el jet de Mouriño,2008-11-09,-0.9786,Jornada,-0.3818
Critican grupos civiles la política energética,2008-11-09,-0.0516,Jornada,-0.128
"Promueve AN en el Senado que se indague a MacCarthy, titular del Fonatur con Fox",2008-11-09,-0.4777,Jornada,0.34
Reclama el Senado que se congele la ley Malova,2008-11-09,-0.9393,Jornada,0.0516
En la lucha contra el narcotráfico han muerto 564 soldados: Sedena,2008-11-09,-0.836,Jornada,-0.7351
Repudian la visita de Uribe a México,2008-11-09,-0.8126,Jornada,-0.5859
Crearán base de datos sobre violadores de garantías,2008-11-09,0.5719,Jornada,-0.2023
Tareas truncas en Gobernación,2008-11-09,0.9858,Jornada,0.0
Plantea el SNTSS abandonar la UNT si ésta no se renueva,2008-11-09,-0.34,Jornada,-0.4404
"Durante la guerra sucia, noviembre era mes negro en cuanto a desapariciones: ONG",2008-11-09,-0.9821,Jornada,-0.7783
Intervienen cuentas de gasera en Ecatepec,2008-11-09,0.1027,Jornada,0.0
Rechazan edificación de basurero en Naucalpan,2008-11-09,-0.4215,Jornada,-0.5859
"A pedradas, habitantes de El Nayar impiden a policías clausurar una cantina",2008-11-09,-0.296,Jornada,0.0258
Piden más control cerca de consulado en Juárez,2008-11-09,0.0258,Jornada,0.0
El mal tiempo arrasó con 40% de cultivos de café orgánico en la sierra de Chiapas,2008-11-09,-0.7003,Jornada,-0.5423
"El IEE llama a la civilidad, tras incidentes en varios municipios; 5 mil policías vigilarán comicios",2008-11-09,0.7906,Jornada,0.0
"Asesinadas en tres meses, 16 mujeres en Yucatán",2008-11-09,-0.9545,Jornada,-0.6597
Tres calcinados en Chihuahua por calentón,2008-11-09,-0.296,Jornada,0.0
Zanjan conflicto católicos y evangélicos de comunidad de San Juan Chamula,2008-11-09,0.9325,Jornada,-0.3182
Fuga de gasolina obliga al desalojo de unas 500 personas en Zacatecas,2008-11-09,-0.7003,Jornada,-0.6597
Camión despeñado en Oaxaca operaba sin permisos,2008-11-09,0.5267,Jornada,0.0
"Matan en Hidalgo a jefe policiaco; hoy, elección de alcaldes",2008-11-09,-0.4404,Jornada,-0.6705
