article,pub_date,nltk_score,source,nltk_score_title
Holanda: debate por elección de musulmán,2008-10-18,0.5267,Jornada,0.0
"México, Japón, Turquía, Austria y Uganda, al Consejo de Seguridad de Naciones Unidas",2008-10-18,-0.1082,Jornada,0.6369
Otros tres diarios en favor de Obama,2008-10-18,0.4767,Jornada,0.4522
Bombardeo turco causa 35 bajas al PKK,2008-10-18,-0.5994,Jornada,0.0
Norcorea desmantela programa nuclear: EU,2008-10-18,-0.4019,Jornada,0.0
Aumentaron 10% solicitudes para pedir asilo en países industrializados: ACNUR,2008-10-18,-0.7717,Jornada,0.2732
"Álvaro Uribe “nos declaró la guerra”, afirman indígenas de Colombia",2008-10-18,-0.9794,Jornada,0.0
No de familia de García Lorca a exhumación,2008-10-18,-0.6096,Jornada,-0.296
Se reúnen 50 legisladores en Bolivia para definir el protocolo del Congreso de Unasur,2008-10-18,-0.6369,Jornada,0.0
"No extraditar a 6 campesinos de Paraguay, piden 3 premios Nobel",2008-10-18,-0.802,Jornada,0.4588
Caen asesinos de estudiante venezolano,2008-10-18,-0.8979,Jornada,-0.6486
"Con bailoteo y reventón, inauguran en Maputo la asamblea de mujeres de la Vía Campesina",2008-10-18,-0.9325,Jornada,0.0
"“Positivo y útil” para Cuba, su rencuentro con la UE, afirma el canciller Pérez Roque",2008-10-18,0.7096,Jornada,0.7579
Premier tailandés rechaza renunciar,2008-10-18,-0.5267,Jornada,-0.34
Minimiza Colombia el rearme de Venezuela,2008-10-18,0.4939,Jornada,0.0
"African Footprint compartirá la música, la poesía y los ritmos tribales del barrio marginal de Soweto",2008-10-18,0.6808,Jornada,0.296
"Don Juan, ballet del barroco que prodigó un cúmulo de sentimientos",2008-10-18,0.7096,Jornada,0.0
Los túneles de Cuévano enmarcan fotografías sobre ritos de Campeche,2008-10-18,-0.7783,Jornada,0.0
"“Soñar es fundamental para elaborar estrategias de supervivencia”, afirma",2008-10-18,-0.6705,Jornada,0.0
"De aprobarse la reforma energética, “la movilización social sería inminente”",2008-10-18,-0.9702,Jornada,0.5994
"A escena, “el sentimiento de pérdida” de la identidad de los migrantes",2008-10-18,-0.9468,Jornada,-0.2023
Muestran aguafuertes de Vlady para reivindicar “la profundidad” de ese arte,2008-10-18,-0.4767,Jornada,0.0
Medio siglo en tanga,2008-10-18,0.7906,Jornada,0.0
"Poniatowska: si no hay verdad y justicia, el 2 de octubre puede asolarnos de nuevo",2008-10-18,0.886,Jornada,0.4588
Crisis mundial sumirá en la pobreza a cien millones de personas más: ONU,2008-10-18,-0.9738,Jornada,-0.8255
"Recesión en EU pega a exportaciones, consumo y empleo en México: BdeM",2008-10-18,-0.9403,Jornada,-0.4215
BdeM pide a bancos subastar bonos IPAB,2008-10-18,-0.5267,Jornada,0.0
La mezcla mexicana cerró en 59.58 dólares,2008-10-18,-0.3182,Jornada,0.0
"Desierta, la subasta de ayer de 400 millones de dólares; baja cotización",2008-10-18,-0.4019,Jornada,-0.2732
"EU no tiene forma de dejar de adquirir el petróleo de Venezuela, asevera Chávez",2008-10-18,-0.7783,Jornada,-0.5267
50 mil mdp de banca de desarrollo para empresas,2008-10-18,-0.128,Jornada,0.0
Suspende Comercial Mexicana pago de obligaciones financieras,2008-10-18,-0.836,Jornada,0.0
"Hoy, el aumento 23 a precios de combustibles",2008-10-18,0.7003,Jornada,0.3182
Avance bursátil en Europa; caen EU y AL,2008-10-18,-0.296,Jornada,0.0
Caída de confianza del consumidor en EU marca la cita de Bush con líderes europeos,2008-10-18,-0.6908,Jornada,0.296
Avicultores de México y EU estrechan lazo comercial,2008-10-18,0.4588,Jornada,0.0
Protestas en Italia por plan educativo,2008-10-18,0.6249,Jornada,-0.2263
"Estancada, la movilidad social para la mitad de la población en México",2008-10-18,-0.128,Jornada,0.0
Fuera de los esquemas de seguridad social 35% de pacientes hemofílicos,2008-10-18,-0.9371,Jornada,0.34
"La UNAM, sin propuesta salarial a dos semanas del plazo para la huelga",2008-10-18,-0.765,Jornada,-0.128
“Fracasó” maniobra cetemista para reconquistar el sindicato de Tornel,2008-10-18,-0.926,Jornada,0.0
Divide opiniones en el SNTE el sorteo de las Hummers,2008-10-18,-0.979,Jornada,0.0
Alianza de la UNAM y la Fundación M. Alemán,2008-10-18,0.0,Jornada,0.0
Maestros anuncian estallamiento “paulatino” de un paro nacional,2008-10-18,-0.9758,Jornada,-0.128
Reavivan protestas con bloqueo carretero y la toma de edificios,2008-10-18,-0.7783,Jornada,0.128
Ganan mujeres 14% menos que los hombres,2008-10-18,-0.5267,Jornada,0.5267
Crisis económica mundial afecta cumbre climática de la ONU,2008-10-18,-0.9153,Jornada,-0.6249
"“Ocupados en ser populares, los jueces hemos descuidado ser vigilantes de las instituciones”",2008-10-18,0.6808,Jornada,0.0258
