article,pub_date,nltk_score,source,nltk_score_title
Asume presidente interino en Sudáfrica,2008-09-26,0.0772,Jornada,0.0
Quienes rechazan la nueva Constitución “se oponen al pueblo” de Bolivia: Evo Morales,2008-09-26,0.9136,Jornada,-0.4019
Irak lanza operación contra Al Qaeda,2008-09-26,-0.1779,Jornada,0.0
Otorga Rusia a Venezuela línea de crédito por mil millones de dólares para adquirir armas,2008-09-26,0.5106,Jornada,0.3818
"“Revaluarlo todo” en política económica, plantea Fidel Castro ante la reconstrucción",2008-09-26,-0.6808,Jornada,0.0
Arrestan a ex funcionario en Colombia; lo vinculan al narco,2008-09-26,-0.8225,Jornada,-0.4767
Paquistaníes disparan a helicópteros de la OTAN por violar su territorio,2008-09-26,-0.9509,Jornada,-0.7096
"Pacifista israelí, herido en atentado",2008-09-26,-0.6486,Jornada,-0.8402
"Se avanza en las Metas del Milenio, pero vamos lento: Ban Ki-moon",2008-09-26,-0.9881,Jornada,-0.6124
Renuncia fiscal de Guantánamo,2008-09-26,0.1027,Jornada,0.0
Cierran gobierno y oposición de Ecuador campañas para el referendo constitucional,2008-09-26,-0.0516,Jornada,0.4019
Barro Rojo “se involucra con el entorno social para conmover”,2008-09-26,-0.875,Jornada,0.0
Leopoldo Ayala reivindica la voz y la acción de la guerrillera Mariana,2008-09-26,0.8834,Jornada,0.3818
Apoyo a Hosni para presidir la UNESCO,2008-09-26,0.0,Jornada,0.4019
Abre el MACO muestra colectiva sobre la identidad de Oaxaca,2008-09-26,0.34,Jornada,0.0
"Machete en mano, activistas enmarcan la presentación del libro Vencer o morir",2008-09-26,-0.0,Jornada,0.4767
Recupera escritora el aporte de una mexicana a la revolución sandinista,2008-09-26,-0.9538,Jornada,0.0
"El 68 mexicano ya pasó, pero sigue vivo en cuanto a esperanza: Pérez Gay",2008-09-26,0.2023,Jornada,0.8047
Anuncian la versión 18 de la feria del libro de Monterrey,2008-09-26,0.0,Jornada,0.3182
"Caída de 2,500 mdd en remesas por crisis en EU, prevé Carstens",2008-09-26,0.7003,Jornada,-0.6249
La recesión en EU “nos afecta en la misma medida de su intensidad”: Ortiz,2008-09-26,-0.9001,Jornada,-0.4215
Temen para 2009 un nuevo Fobaproa,2008-09-26,-0.9217,Jornada,-0.4939
