date,exchange_rate,peso
2008-04-01,10.60088,MXN
2008-04-02,10.55244,MXN
2008-04-03,10.567507,MXN
2008-04-04,10.567326,MXN
2008-04-05,10.689,MXN
2008-04-06,10.689,MXN
2008-04-07,10.540252,MXN
2008-04-08,10.561253,MXN
2008-04-09,10.557661,MXN
2008-04-10,10.549229,MXN
2008-04-11,10.527939,MXN
2008-04-12,10.533702,MXN
2008-04-13,10.533702,MXN
2008-04-14,10.4895,MXN
2008-04-15,10.485431,MXN
2008-04-16,10.462568,MXN
2008-04-17,10.479327,MXN
2008-04-18,10.461547,MXN
2008-04-19,10.460973,MXN
2008-04-20,10.540252,MXN
2008-04-21,10.922554,MXN
2008-04-22,10.465,MXN
2008-04-23,9.9408,MXN
2008-04-24,10.492409,MXN
2008-04-25,10.467948,MXN
2008-04-26,10.4613,MXN
2008-04-27,10.4613,MXN
2008-04-28,10.443065,MXN
2008-04-29,10.529753,MXN
2008-04-30,10.509442,MXN
2008-05-01,10.486693,MXN
2008-05-02,10.455114,MXN
2008-05-03,10.46345,MXN
2008-05-04,10.465,MXN
2008-05-05,10.469484,MXN
2008-05-06,10.492409,MXN
2008-05-07,10.536,MXN
2008-05-08,10.535753,MXN
2008-05-09,10.57102,MXN
2008-05-10,10.5655,MXN
2008-05-11,10.5655,MXN
2008-05-12,10.484759,MXN
2008-05-13,10.486626,MXN
2008-05-14,10.48845,MXN
2008-05-15,10.486497,MXN
2008-05-16,10.427493,MXN
2008-05-17,10.426636,MXN
2008-05-18,10.4062,MXN
2008-05-19,10.376071,MXN
2008-05-20,10.398738,MXN
2008-05-21,10.36573,MXN
2008-05-22,10.384812,MXN
2008-05-23,10.395012,MXN
2008-05-24,10.3895,MXN
2008-05-25,10.3889,MXN
2008-05-26,10.379835,MXN
2008-05-27,10.394333,MXN
2008-05-28,10.340184,MXN
2008-05-29,10.30627,MXN
2008-05-30,10.328802,MXN
2008-05-31,10.3167,MXN
2008-06-01,10.3167,MXN
2008-06-02,10.33558,MXN
2008-06-03,10.288103,MXN
2008-06-04,10.318027,MXN
2008-06-05,10.309635,MXN
2008-06-06,10.368324,MXN
2008-06-07,10.358163,MXN
2008-06-08,10.358163,MXN
2008-06-09,10.359658,MXN
2008-06-10,10.387911,MXN
2008-06-11,10.435504,MXN
2008-06-12,10.386734,MXN
2008-06-13,10.366239,MXN
2008-06-14,10.357812,MXN
2008-06-15,10.3635,MXN
2008-06-16,10.331572,MXN
2008-06-17,10.31467,MXN
2008-06-18,10.294611,MXN
2008-06-19,10.31544,MXN
2008-06-20,10.274626,MXN
2008-06-21,10.275299,MXN
2008-06-22,10.3065,MXN
2008-06-23,10.297101,MXN
2008-06-24,10.294677,MXN
2008-06-25,10.290563,MXN
2008-06-26,10.269898,MXN
2008-06-27,10.300721,MXN
2008-06-28,10.2825,MXN
2008-06-29,10.2927,MXN
2008-06-30,10.304316,MXN
2008-07-01,10.385617,MXN
2008-07-02,10.370835,MXN
2008-07-03,10.367311,MXN
2008-07-04,10.333249,MXN
2008-07-05,10.3348,MXN
2008-07-06,10.3435,MXN
2008-07-07,10.318204,MXN
2008-07-08,10.335485,MXN
2008-07-09,10.302606,MXN
2008-07-10,10.303216,MXN
2008-07-11,10.307521,MXN
2008-07-12,10.2875,MXN
2008-07-13,10.2875,MXN
2008-07-14,10.295353,MXN
2008-07-15,10.320009,MXN
2008-07-16,10.258303,MXN
2008-07-17,10.228598,MXN
2008-07-18,10.202893,MXN
2008-07-19,10.174999,MXN
2008-07-20,10.174999,MXN
2008-07-21,10.170612,MXN
2008-07-22,10.125444,MXN
2008-07-23,10.050704,MXN
2008-07-24,10.027295,MXN
2008-07-25,10.025417,MXN
2008-07-26,10.09875,MXN
2008-07-27,10.098759,MXN
2008-07-28,10.073398,MXN
2008-07-29,10.0552,MXN
2008-07-30,10.033454,MXN
2008-07-31,10.040882,MXN
2008-08-01,9.970016,MXN
2008-08-02,9.9408,MXN
2008-08-03,9.93525,MXN
2008-08-04,9.9335,MXN
2008-08-05,9.91456,MXN
2008-08-06,9.952165,MXN
2008-08-07,10.005228,MXN
2008-08-08,10.125528,MXN
2008-08-09,10.156799,MXN
2008-08-10,10.156799,MXN
2008-08-11,10.135844,MXN
2008-08-12,10.1645,MXN
2008-08-13,10.20341,MXN
2008-08-14,10.169457,MXN
2008-08-15,10.205654,MXN
2008-08-16,10.1895,MXN
2008-08-17,10.186915,MXN
2008-08-18,10.140916,MXN
2008-08-19,10.188068,MXN
2008-08-20,10.139228,MXN
2008-08-21,10.105162,MXN
2008-08-22,10.11601,MXN
2008-08-23,10.144951,MXN
2008-08-24,10.155,MXN
2008-08-25,10.120214,MXN
2008-08-26,10.176844,MXN
2008-08-27,10.143432,MXN
2008-08-28,10.20418,MXN
2008-08-29,10.299353,MXN
2008-08-30,10.2885,MXN
2008-08-31,10.285437,MXN
2008-09-01,10.347255,MXN
2008-09-02,10.385118,MXN
2008-09-03,10.382421,MXN
2008-09-04,10.467993,MXN
2008-09-05,10.495351,MXN
2008-09-06,10.459,MXN
2008-09-07,10.459,MXN
2008-09-08,10.516805,MXN
2008-09-09,10.511579,MXN
2008-09-10,10.594516,MXN
2008-09-11,10.658059,MXN
2008-09-12,10.573425,MXN
2008-09-13,10.593336,MXN
2008-09-14,10.59535,MXN
2008-09-15,10.709802,MXN
2008-09-16,10.733496,MXN
2008-09-17,10.892026,MXN
2008-09-18,10.851691,MXN
2008-09-19,13.506103,MXN
2008-09-20,10.6515,MXN
2008-09-21,10.462568,MXN
2008-09-22,13.4505,MXN
2008-09-23,13.466503,MXN
2008-09-24,13.098313,MXN
2008-09-25,10.467993,MXN
2008-09-26,10.340184,MXN
2008-09-27,13.594832,MXN
2008-09-28,10.78075,MXN
2008-09-29,10.922554,MXN
2008-09-30,10.974558,MXN
2008-10-01,10.967693,MXN
2008-10-02,11.112217,MXN
2008-10-03,11.123704,MXN
2008-10-04,11.146291,MXN
2008-10-05,11.2475,MXN
2008-10-06,11.70618,MXN
2008-10-07,12.115853,MXN
2008-10-08,13.163032,MXN
2008-10-09,12.368509,MXN
2008-10-10,12.990307,MXN
2008-10-11,13.086666,MXN
2008-10-12,13.086666,MXN
2008-10-13,12.347432,MXN
2008-10-14,12.426257,MXN
2008-10-15,12.737969,MXN
2008-10-16,13.107659,MXN
2008-10-17,12.830762,MXN
2008-10-18,12.865,MXN
2008-10-19,12.7324,MXN
2008-10-20,12.784872,MXN
2008-10-21,13.167351,MXN
2008-10-22,13.594832,MXN
2008-10-23,13.612711,MXN
2008-10-24,13.317437,MXN
2008-10-25,13.4455,MXN
2008-10-26,13.4455,MXN
2008-10-27,13.286084,MXN
2008-10-28,13.366934,MXN
2008-10-29,12.921824,MXN
2008-10-30,12.861721,MXN
2008-10-31,12.673528,MXN
2008-11-01,12.825,MXN
2008-11-02,12.825,MXN
2008-11-03,12.791801,MXN
2008-11-04,12.471683,MXN
2008-11-05,12.63819,MXN
2008-11-06,12.975674,MXN
2008-11-07,12.851941,MXN
2008-11-08,12.842497,MXN
2008-11-09,12.805,MXN
2008-11-10,12.81573,MXN
2008-11-11,12.982006,MXN
2008-11-12,13.098313,MXN
2008-11-13,13.286397,MXN
2008-11-14,12.995671,MXN
2008-11-15,13.059999,MXN
2008-11-16,13.1205,MXN
2008-11-17,13.086425,MXN
2008-11-18,13.140001,MXN
2008-11-19,13.152816,MXN
2008-11-20,13.561705,MXN
2008-11-21,13.942735,MXN
2008-11-22,13.7,MXN
2008-11-23,13.7309,MXN
2008-11-24,13.457423,MXN
2008-11-25,13.274104,MXN
2008-11-26,13.22274,MXN
2008-11-27,13.231323,MXN
2008-11-28,13.392958,MXN
2008-11-29,13.485,MXN
2008-11-30,13.483132,MXN
2008-12-01,13.564994,MXN
2008-12-02,13.466503,MXN
2008-12-03,13.552851,MXN
2008-12-04,13.508459,MXN
2008-12-05,13.79588,MXN
2008-12-06,13.596001,MXN
2008-12-07,13.596001,MXN
2008-12-08,13.459241,MXN
2008-12-09,13.506103,MXN
2008-12-10,13.468847,MXN
2008-12-11,13.105004,MXN
2008-12-12,13.520617,MXN
2008-12-13,13.59,MXN
2008-12-14,13.5253,MXN
2008-12-15,13.307129,MXN
2008-12-16,13.21615,MXN
2008-12-17,13.168722,MXN
2008-12-18,13.188852,MXN
2008-12-19,13.123976,MXN
2008-12-20,13.119656,MXN
2008-12-21,13.119656,MXN
2008-12-22,13.186615,MXN
2008-12-23,13.21764,MXN
2008-12-24,13.336561,MXN
2008-12-25,13.341249,MXN
2008-12-26,13.365319,MXN
2008-12-27,13.4505,MXN
2008-12-28,13.4505,MXN
2008-12-29,13.527544,MXN
2008-12-30,13.76916,MXN
2008-12-31,13.834658,MXN
2009-01-01,13.675,MXN
2009-01-02,13.777333,MXN
2009-01-03,13.765051,MXN
2009-01-04,13.775,MXN
2009-01-05,13.535139,MXN
2009-01-06,13.329951,MXN
2009-01-07,13.405632,MXN
2009-01-08,13.495564,MXN
2009-01-09,13.709928,MXN
2009-01-10,13.700806,MXN
2009-01-11,13.700806,MXN
2009-01-12,13.774173,MXN
2009-01-13,13.839313,MXN
2009-01-14,14.077826,MXN
2009-01-15,14.15926,MXN
2009-01-16,13.930985,MXN
2009-01-17,13.9149,MXN
2009-01-18,13.9149,MXN
2009-01-19,13.963317,MXN
2009-01-20,13.916294,MXN
2009-01-21,13.917999,MXN
2009-01-22,13.973552,MXN
2009-01-23,14.072505,MXN
2009-01-24,14.0242,MXN
2009-01-25,14.0242,MXN
2009-01-26,13.950089,MXN
2009-01-27,14.189548,MXN
2009-01-28,14.124758,MXN
2009-01-29,14.209439,MXN
2009-01-30,14.327516,MXN
2009-01-31,14.337151,MXN
2009-02-01,14.335,MXN
2009-02-02,14.496562,MXN
2009-02-03,14.581257,MXN
2009-02-04,14.462312,MXN
2009-02-05,14.316875,MXN
2009-02-06,14.173056,MXN
2009-02-07,14.177845,MXN
2009-02-08,14.177845,MXN
2009-02-09,14.135285,MXN
2009-02-10,14.378633,MXN
2009-02-11,14.524208,MXN
2009-02-12,14.584458,MXN
2009-02-13,14.46549,MXN
2009-02-14,14.432605,MXN
2009-02-15,14.432605,MXN
2009-02-16,14.535481,MXN
2009-02-17,14.625227,MXN
2009-02-18,14.658327,MXN
2009-02-19,14.593395,MXN
2009-02-20,14.839902,MXN
2009-02-21,14.816268,MXN
2009-02-22,14.8655,MXN
2009-02-23,14.864534,MXN
2009-02-24,14.83897,MXN
2009-02-25,14.928579,MXN
2009-02-26,14.966915,MXN
2009-02-27,15.092083,MXN
2009-02-28,15.255501,MXN
2009-03-01,15.2555,MXN
2009-03-02,15.410616,MXN
2009-03-03,15.34483,MXN
2009-03-04,15.172032,MXN
2009-03-05,15.314462,MXN
2009-03-06,15.252574,MXN
2009-03-07,15.26324,MXN
2009-03-08,14.8505,MXN
