article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Curiosity will contribute to the knowledge of the evolution of living systems: José Franco,2012-08-10,-0.128,Jornada,0.0
La Jornada: Experts call on the world to change their attitude towards garbage problem,2012-08-10,-0.5106,Jornada,-0.4019
La Jornada: Indigenous artist denounces offensive treatment of Wayuu people,2012-08-10,-0.9826,Jornada,-0.7096
La Jornada: Manifiesta not knowing how to sign,2012-08-10,-0.7906,Jornada,0.0
"La Jornada: They will offer an evening with bagpipes, drums, folk music and Celtic dances",2012-08-10,0.0,Jornada,0.0
La Jornada: A tree toppled in the city of Oaxaca inspires the work of an artist; Celebrates experimentation,2012-08-10,-0.7783,Jornada,0.765
La Jornada: The next President must set a clear position on culture,2012-08-10,-0.6808,Jornada,0.3818
La Jornada: Should the TEPJF qualify and the election to work on reforms: Coparmex,2012-08-10,-0.765,Jornada,0.0
La Jornada: Pobladores de Morelos and Atenco exchange experiences on the defense of their lands,2012-08-10,0.3818,Jornada,0.128
La Jornada: Peña Nieto affirms that on December 1 will become the president of Mexico,2012-08-10,0.128,Jornada,0.0
La Jornada: Commerzbank will stop investing in the agricultural sector on complaints that it causes prices to rise,2012-08-10,-0.4019,Jornada,-0.5994
La Jornada: Approves the tricolor rules for the operation of the 62 Legislature,2012-08-10,-0.296,Jornada,0.4019
La Jornada: Hospitalize Solalinde in Juchitán for possible dengue,2012-08-10,-0.5994,Jornada,0.0
La Jornada: FAO fears global emergency due to high price increase,2012-08-10,-0.4019,Jornada,-0.4767
La Jornada: Narro Robles calls for solving justice challenges in the country,2012-08-10,-0.8316,Jornada,0.7269
"La Jornada: Leave your lazy self-complacency and stop the volatility, ask the G-20",2012-08-10,-0.8934,Jornada,-0.5994
La Jornada: Panista deputies ask to consult militancy to reform the statutes,2012-08-10,-0.5423,Jornada,0.0
The Journey: Edomex Response,2012-08-10,-0.7351,Jornada,0.0
La Jornada: Extradited PGR to Sandra Ávila Beltrán to the United States,2012-08-10,-0.296,Jornada,0.4215
La Jornada: Senate: SCJN would give prompt resolution to the controversy over victims' law,2012-08-10,0.296,Jornada,-0.3182
La Jornada: Ifai demands data on public spaces recovered and patrolled,2012-08-10,0.1027,Jornada,0.0
"La Jornada: PRI, the party that had the most recourse to the TEPJF",2012-08-10,0.4939,Jornada,0.4019
La Jornada: Military accused of crimes against civilians will go before ordinary courts,2012-08-10,-0.9618,Jornada,-0.296
La Jornada: Mexico merits a change in the pedagogical model to think: De la Fuente,2012-08-10,-0.6369,Jornada,0.4019
"La Jornada: Discards Economy rises in the tortilla; Producers still have cheap corn, says",2012-08-10,-0.5267,Jornada,-0.25
La Jornada: The IFE requests the left to accelerate the inspection of PRI expenses,2012-08-10,-0.5574,Jornada,0.0
La Jornada: 7 members of two cartels are handed over,2012-08-10,0.6486,Jornada,0.0
"La Jornada: Government, party and campaign, guilty of the PAN debacle, says Calderón",2012-08-10,-0.4588,Jornada,-0.0258
"La Jornada: A month later, Economy publishes decree for import of egg",2012-08-10,0.0,Jornada,0.0
"La Jornada: In the United States, areas damaged by the worst drought in 56 years",2012-08-10,0.0,Jornada,-0.6369
"La Jornada: In the management of Marisela Morales in the PGR, 716 dismissed and 272 consigned",2012-08-10,-0.8957,Jornada,0.0
La Jornada: Detects Infonavit near 30 thousand houses abandoned in Matamoros,2012-08-10,-0.6249,Jornada,-0.4588
La Jornada: The IFE dismisses the PAN complaint against Peña Nieto,2012-08-10,-0.6597,Jornada,-0.296
"The Journey: PRI, major group, not the majority, notes Beltrones",2012-08-10,-0.4939,Jornada,0.0
La Jornada: Monreal Reveals $ 50 Million Scotiabank Account,2012-08-10,-0.4588,Jornada,0.0
"La Jornada: In SLP, fighting between criminals and soldiers",2012-08-10,-0.8126,Jornada,-0.7351
La Jornada: Peschard to receive the Legion of Honor order in France,2012-08-10,0.0,Jornada,0.4939
La Jornada: Defends Valdés Zurita in the Senate cleaning up the last electoral process,2012-08-10,0.0516,Jornada,0.0
La Jornada: In case of generals could intervene military justice,2012-08-10,0.6908,Jornada,0.5267
La Jornada: Inflation increased by 0.56% in July; Is the highest level for that month in 13 years: Inegi,2012-08-10,-0.7964,Jornada,0.2732
The Day: India tests missile of nuclear capacity,2012-08-10,0.1027,Jornada,0.0
La Jornada: EU: asks for a television set and receives an assault rifle,2012-08-10,-0.5574,Jornada,-0.5859
The Day: Muslim sect leader retained 27 minors and 38 adults in a basement for 10 years in Russia,2012-08-10,-0.836,Jornada,0.0258
La Jornada: Piñera compares protests in Chile with crimes such as pedophilia,2012-08-10,-0.8957,Jornada,-0.2263
The Day: Wife of former Chinese leader admits murder,2012-08-10,0.0,Jornada,-0.5423
La Jornada: Mujica sends to Congress a bill to legalize marijuana,2012-08-10,-0.9393,Jornada,0.0
La Jornada: Judge orders mandatory conciliation to end the metro stop in Buenos Aires,2012-08-10,-0.2732,Jornada,-0.2263
La Jornada: Islamitas amputated hand to thief in Mali,2012-08-10,-0.0516,Jornada,-0.0516
La Jornada: Possible link of squads of El Salvador's death in Romney's business,2012-08-10,-0.9246,Jornada,-0.5994
La Jornada: Capture a mercenary in Venezuela,2012-08-10,0.0,Jornada,0.0
La Jornada: Starts in Vietnam cleaning agent orange,2012-08-10,-0.9022,Jornada,0.0
La Jornada: Mayor of Nagasaki calls for liberation of the Japanese from their nuclear fears,2012-08-10,-0.8934,Jornada,-0.4215
"La Jornada: Gauss, a new cyberspace virus, steals data from banks users in the Middle East",2012-08-10,0.5719,Jornada,-0.5106
"La Jornada: The ESL retracts from strategic neighborhood in Aleppo; Wael Halqi, new Syrian premier",2012-08-10,0.34,Jornada,0.0
La Jornada: Polariza to the telecommunications sector rescue of the 2.5 Ghz band,2012-08-10,0.6124,Jornada,0.5106
"La Jornada: Mexican judge contesting the contest; Bankruptcy is coming, workers say",2012-08-10,0.0,Jornada,0.0
La Jornada: Authorities suspend work on 32 coal mines of Coahuila,2012-08-10,0.4215,Jornada,-0.3182
La Jornada: Argentina revitalizes its oil sector with several works,2012-08-10,-0.836,Jornada,0.0
La Jornada: SE awards Banorte the SME Award,2012-08-10,0.2023,Jornada,0.7579
La Jornada: Postulants demand the disappearance of Ceneval; They say cheated,2012-08-10,-0.296,Jornada,-0.5859
The Journey: In the IMSS performed 24 heart transplants so far this year; One was also kidney,2012-08-10,-0.128,Jornada,0.0
La Jornada: Dissidents of the SNTE call to break national congress,2012-08-10,0.8591,Jornada,0.0
"La Jornada: Young people, bound to reduce food and transportation to continue studies",2012-08-10,-0.891,Jornada,0.0
La Jornada: Rejects the director of the Institute of Neurology accusations of corruption,2012-08-10,-0.296,Jornada,-0.6705
La Jornada: Resolution of the SCJN must attack discrimination against indigenous people: Centro Prodh,2012-08-10,-0.0516,Jornada,-0.4767
La Jornada: Calls on CNDH to promote bilingual education,2012-08-10,0.2263,Jornada,0.3818
"La Jornada: Demand from center to north health services, education and infrastructure",2012-08-10,-0.7184,Jornada,-0.128
La Jornada: Rosario Delgado received double implantation,2012-08-10,0.2732,Jornada,0.0
La Jornada: Archdiocese names new communication coordinator,2012-08-10,0.3182,Jornada,0.0
"La Jornada: Reorient agricultural policy next government, says Coducs",2012-08-10,-0.128,Jornada,0.0
La Jornada: Media can revitalize indigenous languages: UN,2012-08-10,0.0,Jornada,0.0
La Jornada: Yecapixtla already authorized the two thermoelectric plants,2012-08-10,-0.5859,Jornada,0.0
The Journey: Ernesto hits the Gulf; Affects at least 10 entities,2012-08-10,-0.4404,Jornada,0.0
La Jornada: Michoacán threatens for debt: Fausto Vallejo,2012-08-10,0.0,Jornada,-0.6249
La Jornada: Almost 500 thousand tons of garbage in Xochiaca,2012-08-10,0.7351,Jornada,0.0
La Jornada: Edomex anti-smoking bill commissions,2012-08-10,0.0,Jornada,0.0
La Jornada: Unique command in the Lagunera region,2012-08-10,0.34,Jornada,0.0
La Jornada: Rejects Semarnat mine in BCS,2012-08-10,0.7003,Jornada,-0.4939
La Jornada: Veracruz requests emergency declaration for 163 municipalities,2012-08-10,-0.3818,Jornada,-0.3818
La Jornada: Will spend a million dollars to bring foreigners to investigate femicides,2012-08-10,-0.2732,Jornada,0.0
La Jornada: They demand to stop vexations to detainees in Guadalajara,2012-08-10,-0.25,Jornada,-0.4019
