article,pub_date,nltk_score,source,nltk_score_title
Termina histórica lucha electoral con reunión secreta entre Hillary Clinton y Barack Obama,2008-06-07,-0.9868,Jornada,-0.3182
Critica la ONU detención de jóvenes en la base naval estadunidense de Guantánamo,2008-06-07,-0.2023,Jornada,-0.5994
"Posible ofensiva de Israel contra palestinos e Irán, advierten altos funcionarios de Tel Aviv",2008-06-07,0.6908,Jornada,-0.5267
Ecuador y Colombia restablecen por etapas sus relaciones diplomáticas,2008-06-07,-0.9869,Jornada,0.296
"Desaloja la policía a desempleados argentinos; 37 lesionados, el saldo",2008-06-07,-0.9201,Jornada,-0.4019
Bolivia enviará queja a EU por dar asilo al ex ministro de Defensa Carlos Sánchez,2008-06-07,0.7096,Jornada,0.1531
Reducen penas carcelarias a tres cubanos,2008-06-07,-0.7845,Jornada,-0.4767
Las personas “deben perder el miedo de acercarse a la música contemporánea”,2008-06-07,-0.9403,Jornada,-0.7096
Dan a conocer la mayor ofrenda mexica encontrada hasta hoy,2008-06-07,0.5423,Jornada,0.6369
Murió el poeta Eugenio Montejo,2008-06-07,0.1027,Jornada,-0.5574
Inusitada tertulia aderezada con el intimismo de Pitol y la poesía de Nöel,2008-06-07,0.3182,Jornada,0.0
"La guerra en Irak es entre la superstición y la razón, dice Abdulwahid Saleh",2008-06-07,-0.9906,Jornada,-0.5994
Presentaron amplia compilación de “poéticas disidentes” de jóvenes autores,2008-06-07,-0.8934,Jornada,0.0
Rindieron homenaje póstumo a Maurice Béjart en Alemania,2008-06-07,0.8658,Jornada,0.0
He aquí el futuro,2008-06-07,0.9744,Jornada,0.0
Comienzan los festejos por los 45 años de la CND,2008-06-07,0.6597,Jornada,0.4767
Dan a conocer en Praga carta inédita de Kafka,2008-06-07,0.0,Jornada,0.0
"Se vende la tortilla hasta en 11.50 pesos el kilogramo, revela reporte de Banamex",2008-06-07,0.8519,Jornada,0.0
Efectuará el SAT 3 mil auditorías al comercio,2008-06-07,-0.6808,Jornada,0.0
"Bush: desempleo, por la desaceleración",2008-06-07,-0.7003,Jornada,-0.4404
Cayeron en NY acciones de empresas mexicanas,2008-06-07,-0.4404,Jornada,0.296
Fuerte subida del oro,2008-06-07,0.0,Jornada,0.5106
A 116.92 dólares llegó el petróleo mexicano; se presupuestó en 49,2008-06-07,-0.8658,Jornada,0.0
Reducirán aerolíneas oferta de vuelos,2008-06-07,0.0,Jornada,0.0
Reinicia labores en el aeropuerto del DF Transportes Terrestres Turísticos,2008-06-07,0.25,Jornada,0.0
Presenta el SNTE a magisterio oaxaqueño la convocatoria para renovar el comité estatal,2008-06-07,-0.7184,Jornada,0.0
Plantean la creación de seguro médico para migrantes en EU,2008-06-07,-0.1779,Jornada,0.2732
Cooperarán la UNAM y Microsoft cn el combate a crímenes cibernéticos,2008-06-07,0.8885,Jornada,-0.3818
Demandan a la Cámara Minera impedir cierre de Pasta de Conchos,2008-06-07,-0.9413,Jornada,-0.1027
"Entre manjares, fracasa la cumbre alimentaria",2008-06-07,-0.8934,Jornada,-0.4215
Renuevan México y Francia colaboración educativa,2008-06-07,0.8834,Jornada,0.0
“El país necesita científicos; se deben atraer con libros amenos”,2008-06-07,0.5994,Jornada,0.4215
Cuba: lanzan nuevo coctel contra VIH/sida,2008-06-07,0.3182,Jornada,0.0
"Mouriño a EU: narco, tema bilateral",2008-06-07,-0.7096,Jornada,0.0
Regaña Calderón a su gabinete; les exige no alentar la corrupción,2008-06-07,-0.9908,Jornada,-0.4023
El IEDF analiza dos escenarios,2008-06-07,0.0,Jornada,0.0
Condena de 20 años a traficantes de armas,2008-06-07,-0.872,Jornada,0.0772
Sobreviven dos jefes policiacos al ataque de sicarios en Chihuahua,2008-06-07,-0.8625,Jornada,0.0516
"Irregular, el ejercicio del gasto en el Cisen en 2006, descubre la ASF",2008-06-07,-0.9501,Jornada,0.0
"Coparmex, contra consulta de Ebrard",2008-06-07,0.6808,Jornada,0.0
Avanzan gestiones en Oaxaca y Edomex,2008-06-07,0.25,Jornada,0.0
