article,pub_date,nltk_score,source,nltk_score_title
Aprueba la Unión Europea proyecto de ley para la expulsión de los indocumentados,2008-05-23,0.4215,Jornada,-0.0516
Multitudinaria protesta en Francia contra planes del presidente Sarkozy,2008-05-23,0.0516,Jornada,-0.25
"Pide fiscal la detención del ex presidente Menem, su hermano y otros ex funcionarios",2008-05-23,-0.9217,Jornada,-0.34
HRW: más de 2 mil menores encarcelados por el ejército de EU en 5 años de guerra en Irak,2008-05-23,-0.9643,Jornada,-0.7845
Libera Tel Aviv a sirio detenido a finales de 2003,2008-05-23,-0.128,Jornada,0.0516
"Que EU responda a la acusación contra su diplomático, pide Cuba",2008-05-23,-0.9559,Jornada,-0.25
Se entrevista Evo Morales con Raúl y Fidel Castro durante visita a Cuba,2008-05-23,-0.128,Jornada,0.0
Caza de brujas en Colombia,2008-05-23,0.0,Jornada,-0.3612
Mueren 8 civiles iraquíes en ataque estadunidense,2008-05-23,-0.8779,Jornada,-0.8225
Hay unos 250 mil niños soldados en el mundo,2008-05-23,-0.5994,Jornada,0.0
Emplazan 25 esculturas “permanentes” de Helen Escobedo en Gran Bretaña,2008-05-23,-0.6249,Jornada,0.6249
Primera muestra mexicana de animación en video,2008-05-23,0.0,Jornada,0.0
Rinden tributo a humanista venezolano,2008-05-23,-0.9607,Jornada,-0.1027
Aline Pettersson escribe para “hurgar en el alma humana”,2008-05-23,-0.9619,Jornada,0.0
"No se ha generado una respuesta contra el “totalitarismo mediático”, dice Bifo",2008-05-23,-0.9943,Jornada,-0.296
Analizaron académicos la actualidad de la lengua española en el mundo,2008-05-23,0.4939,Jornada,0.0
Muestran en Londres inéditos del inquietante autor austriaco Schnitzler,2008-05-23,-0.25,Jornada,-0.5106
"Una década de altos precios de alimentos, prevén FAO y OCDE",2008-05-23,-0.9081,Jornada,0.0
Pide el sector privado abrir la importación de insumos básicos,2008-05-23,0.0,Jornada,0.0
Calderón pidió a comerciantes de ANTAD cuidar el poder adquisitivo de mexicanos,2008-05-23,-0.0772,Jornada,0.4939
Freno a cotización del petróleo; cerró en 135 dólares,2008-05-23,-0.4019,Jornada,0.0
Crecimiento de 2.6% en enero-marzo,2008-05-23,-0.7351,Jornada,0.3818
Buscan evitar escalada del precio de la masa y la tortilla,2008-05-23,-0.5267,Jornada,-0.296
GTM se queja de cumplimiento parcial de Telmex,2008-05-23,-0.8126,Jornada,-0.3818
En California la gasolina cuesta ya un dólar por litro,2008-05-23,0.0,Jornada,0.0
"“Barbaridad”, usar maíz para generar etanol, afirma OEA",2008-05-23,-0.9186,Jornada,0.0
Descubren otro venero de crudo en Brasil,2008-05-23,0.6908,Jornada,-0.5719
Apoyará la IP a pequeñas y medianas empresas,2008-05-23,0.3612,Jornada,0.4019
Endurecen bancos de EU condiciones para dar crédito a pequeñas empresas,2008-05-23,0.7506,Jornada,0.4019
GFBanorte evaluará planes de negocio en cita de Guadalajara,2008-05-23,0.0,Jornada,0.0
"ASA no fija precios de la turbosina, ni existe sobreprecio: vocero",2008-05-23,-0.6808,Jornada,0.0
Baja 0.26% la inflación en los primeros 15 días de mayo,2008-05-23,0.0258,Jornada,0.0
Arabia Saudita celebra 75 años de era petrolera,2008-05-23,0.0,Jornada,0.5719
Pretende Exxon seguir juicio contra Caracas,2008-05-23,0.0,Jornada,0.0
“Incomprensible” posición de Semarnat; había rechazado obra Lerma-Tres Marías,2008-05-23,-0.6808,Jornada,-0.5106
Sufren explotación laboral 165 millones de niños en el mundo,2008-05-23,-0.9726,Jornada,-0.4588
"Las movilizaciones están latentes; sigue la lucha, advierten mentores",2008-05-23,-0.8176,Jornada,-0.4588
"Debe ser la sociedad el referente de las universidades, no el mercado: expertos",2008-05-23,-0.0772,Jornada,0.0
"Marcha en el DF el día 29, anuncia la CNTE",2008-05-23,-0.4019,Jornada,0.0
"Diálogo APPO-SG, entre condiciones de maestros para levantar paro en Oaxaca",2008-05-23,-0.0258,Jornada,-0.4404
Lamenta el cardenal que la historia del país se desgaste con ideas laicistas,2008-05-23,-0.836,Jornada,-0.5719
Directora del siquiátrico infantil se opondrá a la reubicación,2008-05-23,-0.2263,Jornada,0.0
"Servicio de transporte en el AICM, a subasta",2008-05-23,0.0,Jornada,0.0
El spanglish refuerza el español: experto,2008-05-23,-0.1531,Jornada,0.0
Convoca el sindicato minero a un paro nacional de labores,2008-05-23,-0.872,Jornada,0.0
Exilian a uno de los últimos reyes tribales de América por una presa,2008-05-23,-0.0772,Jornada,0.0
"Francia, “libre de consumir y producir transgénicos”",2008-05-23,-0.4215,Jornada,0.5106
Aumenta peligrosamente la acidificación de los océanos,2008-05-23,-0.296,Jornada,-0.4588
"La tasa de extinción de especies, sin precedente histórico: expertos",2008-05-23,-0.9686,Jornada,-0.296
Admite la Corte recurso de 2 partidos políticos,2008-05-23,0.9001,Jornada,0.5994
La Iglesia busca conocer a homicidas de Posadas “para saber a quién perdonar”,2008-05-23,-0.7783,Jornada,-0.4939
El IFE da el visto bueno a la nueva dirigencia provisional del PRD,2008-05-23,-0.9657,Jornada,0.4767
"Con fuertes críticas a México, el Senado de EU aprobó ayer la Iniciativa Mérida",2008-05-23,-0.734,Jornada,0.4939
"Palabras como “explotación”, “uso” y “aprovechamiento” enrarecen el debate",2008-05-23,-0.9826,Jornada,0.3612
El aumento en el precio de la cocaína provocó la ola de violencia: Campa,2008-05-23,-0.91,Jornada,-0.4215
Decomisan más de 350 kilos de coca en el aeropuerto capitalino,2008-05-23,0.34,Jornada,0.0
Interrogarán a mexicano ligado a las FARC,2008-05-23,-0.7579,Jornada,0.0
"La reforma, “en manos del Congreso”",2008-05-23,-0.4019,Jornada,0.0
"Seguridad pública, factor indispensable para el turismo fronterizo: Calderón",2008-05-23,-0.2023,Jornada,0.34
Familiares de desaparecidos critican pasividad de la PGR,2008-05-23,-0.9694,Jornada,-0.5859
Exige el SME más fondos para empresas públicas energéticas,2008-05-23,-0.0516,Jornada,0.2732
"El plan energético de Calderón agravará dependencia de trasnacionales, vaticinan",2008-05-23,-0.4588,Jornada,-0.34
"El oficialismo busca convertir a México en “esquirol del petróleo”, dice el FAP",2008-05-23,-0.4404,Jornada,0.0
"García Ramírez, Carrancá y Garrido: la reforma a Pemex, inconstitucional",2008-05-23,-0.9633,Jornada,0.0
Mouriño: “son posibles y deseables” los acuerdos,2008-05-23,0.4767,Jornada,0.5267
Chocan priístas y zapatistas por disputa de agua y luz eléctrica,2008-05-23,0.4767,Jornada,-0.4019
Altos costos impiden a productores de maíz adquirir agroquímicos,2008-05-23,-0.4588,Jornada,0.0258
