article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Deputy urges the current legislature to regulate the General Law of Victims,2013-01-12,0.296,Jornada,-0.3182
"La Jornada: This is my test of fire, says the new head of Games and Sweepstakes",2013-01-12,0.0258,Jornada,-0.34
"La Jornada: Police officers detained in Matamoros, Coahuila",2013-01-12,0.0258,Jornada,-0.4019
The Journey: Demand the Ifai to Public Function data of the INM,2013-01-12,-0.6908,Jornada,-0.128
"La Jornada: Gendarmería, redaction of formulas like those of the PFP, warns the CMDPDH",2013-01-12,-0.1779,Jornada,0.2732
La Jornada: Seizures the Navy 3 tons of cannabis,2013-01-12,0.0258,Jornada,0.0
"La Jornada: Following its publication, NGOs are already preparing reforms to improve the victims' law",2013-01-12,-0.8689,Jornada,0.1531
La Jornada: Reaction to the level of degradation in which it left Mexico: PRD; They invited him for their experience: PAN,2013-01-12,-0.5267,Jornada,-0.5267
La Jornada: The MC will propose a commission to monitor elections in 2013,2013-01-12,0.0,Jornada,0.0
La Jornada: Celebrates UN enactment,2013-01-12,0.0,Jornada,0.5719
"La Jornada: Withdraw stores that affect archaeological zones, ask civic front",2013-01-12,0.2023,Jornada,0.0
La Jornada: Broad support of society to the Pact for Mexico: Peña,2013-01-12,-0.1027,Jornada,0.4019
La Jornada: Ask Cordero to investigate aggression against Yunes,2013-01-12,0.5859,Jornada,-0.296
La Jornada: AN will return to the Presidency starting from the local: Madero,2013-01-12,-0.296,Jornada,0.0
La Jornada: Still seeking applications for amparo against labor reform,2013-01-12,0.5267,Jornada,0.0
La Jornada: In 4 years the INAH allowed 100 new works in Teotihuacán,2013-01-12,-0.296,Jornada,0.0
La Jornada: Reina del Pacífico claims irregular extradition and asks to withdraw charges,2013-01-12,-0.296,Jornada,-0.2732
La Jornada: The federal government will create the professional career service for police officers,2013-01-12,0.7351,Jornada,0.2732
La Jornada: Indigenous prisoners adhering to the other campaign reiterate their demand for freedom,2013-01-12,0.5859,Jornada,0.1027
La Jornada: Five corpses found in a mine in Zacatecas,2013-01-12,0.5267,Jornada,0.0
La Jornada: Criticize the appointment of a PRI in the commission of indigenous peoples,2013-01-12,-0.1531,Jornada,-0.3818
La Jornada: Activists Call for Serious Debate Without Disqualification or Disregard,2013-01-12,-0.7096,Jornada,-0.34
La Jornada: Disqualify former director of forecasts for going to the Super Bowl with charge to the treasury,2013-01-12,0.1027,Jornada,0.6908
La Jornada: There is an expectation on the SCJN session for the protection of Florence Cassez,2013-01-12,-0.9403,Jornada,0.0
"The Journey: Punishing those who indebted states and mayors, asks AMLO",2013-01-12,-0.4939,Jornada,-0.5574
"La Jornada: Fundamental, respect for the law, laconic response from Wal-Mart",2013-01-12,0.4939,Jornada,0.4767
La Jornada: Discard Economy Possible leakage of foreign investment due to corruption,2013-01-12,-0.34,Jornada,-0.25
La Jornada: Veracruz will implement the General Law on Victims,2013-01-12,-0.6486,Jornada,-0.3182
La Jornada: Evaluates court to release generals Tomás Angeles Dauahare and Roberto Dawe,2013-01-12,-0.836,Jornada,0.0
La Jornada: Mexicans at Harvard refuse to participate in struggle for Calderón,2013-01-12,-0.7783,Jornada,-0.5423
La Jornada: The IFE urges the Legislative to carry out the pending electoral reforms,2013-01-12,0.8555,Jornada,0.0
"La Jornada: We have not seen evidence, says the head of the CNCA",2013-01-12,-0.9081,Jornada,0.0
La Jornada: The cost of January increases sleep disorders: specialist,2013-01-12,-0.6597,Jornada,0.0
La Jornada: Scientific corridor planned in Puebla,2013-01-12,0.3182,Jornada,0.0
La Jornada: The year begins OFUNAM with an attractive repertoire,2013-01-12,0.4019,Jornada,0.4404
La Jornada: It will exhibit a library in Dresden that exposes Wagner's ethylic tastes,2013-01-12,0.296,Jornada,-0.128
La Jornada: Still sparkles of Paris in the DF: the Orsay in the Munal,2013-01-12,0.836,Jornada,0.3182
La Jornada: The Four Seasons of Vivaldi of the 21st Century,2013-01-12,0.6249,Jornada,0.0
"The Day: Dudamel, candidate to succeed Rattle at the Berlin Philharmonic",2013-01-12,0.3182,Jornada,0.4939
La Jornada: The writer Marco Perilli accuses MP of theft,2013-01-12,0.0,Jornada,-0.34
La Jornada: Candidates for Inmujeres,2013-01-12,-0.891,Jornada,0.0
"La Jornada: By mistake, Ssa promotes on Twitter abstinence against AIDS and pregnancies",2013-01-12,-0.891,Jornada,0.0
La Jornada: Defining the agenda to lead the National Institute of Women,2013-01-12,-0.9201,Jornada,0.0
"La Jornada: Necessary, political experience: CDD",2013-01-12,-0.296,Jornada,0.0
La Jornada: Appointment in the SEP,2013-01-12,0.0,Jornada,0.0
"La Jornada: 3.6 million people are studying outside their countries, according to a census by Unesco",2013-01-12,0.7506,Jornada,0.0
La Jornada: SNTE ready broad spectrum strategy against educational reform,2013-01-12,0.5267,Jornada,0.3612
La Jornada: The Congress of Chihuahua approves the constitutional amendment,2013-01-12,-0.1531,Jornada,0.4019
"La Jornada: Cesarán to 2,900 employees of 3 municipalities of Edomex",2013-01-12,-0.6808,Jornada,0.0
La Jornada: States with displaced by violence must request support from the UN,2013-01-12,-0.9485,Jornada,-0.34
La Jornada: Three more deaths due to the cold in Chihuahua,2013-01-12,-0.8442,Jornada,0.0
La Jornada: Sinaloa: begins process for July elections,2013-01-12,0.0,Jornada,0.0
"La Jornada: Panamericanos de 2011, origin of the serious financial crisis in Jalisco",2013-01-12,-0.2732,Jornada,-0.6597
La Jornada: 5 days closing of schools in Ayutla for checkpoints against criminals,2013-01-12,-0.2732,Jornada,-0.5719
La Jornada: Police deployment in Amacuzac at the start of the fair,2013-01-12,-0.7755,Jornada,0.3182
La Jornada: Trifulca of mototaxistas in Oaxaca; 10 injured,2013-01-12,-0.1779,Jornada,-0.4019
La Jornada: Frenan fines due for expired licenses in January,2013-01-12,0.0,Jornada,0.0
La Jornada: Three deputies from Michoacán resign from the PRD bench; They team up with other parties,2013-01-12,-0.296,Jornada,0.0772
La Jornada: Earthquake of 3.9 degrees with epicenter in Amecameca,2013-01-12,0.0,Jornada,0.0
La Jornada: Former BBC presenter abused more than 200 minors,2013-01-12,0.0,Jornada,-0.5106
La Jornada: Two presidents arrive to Cuba to visit Hugo Chávez,2013-01-12,-0.765,Jornada,0.0
"La Jornada: The Venezuelan opponents, without a single posture before Chavismo",2013-01-12,-0.9246,Jornada,0.0
La Jornada: Announces the government of Colombia that will continue the offensive against the FARC,2013-01-12,-0.5267,Jornada,-0.4588
"The Journey: US troops in Afghanistan, only support from the spring",2013-01-12,-0.296,Jornada,0.4019
La Jornada: Syrian opposition says it took a military airport,2013-01-12,-0.8591,Jornada,0.0
La Jornada: Attacks France on Malian rebels,2013-01-12,-0.128,Jornada,-0.5719
"La Jornada: Shooting in Taft, California, against abusive student, says the young attacker",2013-01-12,-0.9432,Jornada,-0.836
La Jornada: Kurdish activists shot in the head,2013-01-12,0.0,Jornada,0.0
La Jornada: Carromero leaves jail in Spain,2013-01-12,0.0,Jornada,0.0
La Jornada: Bolivia re-enters the Vienna convention on drugs,2013-01-12,0.7717,Jornada,0.0
La Jornada: Advances middle class in Latin America: BM,2013-01-12,0.0,Jornada,0.0
"La Jornada: Macroeconomic stability, necessary, but not enough to grow: Carstens",2013-01-12,0.8176,Jornada,0.0
"La Jornada: Do not give in to reforms and cuts in spending, urges the EU's economic authority",2013-01-12,-0.8591,Jornada,-0.2263
La Jornada: 66% increase in Pemex's tax contribution to the government in the last six years,2013-01-12,0.8074,Jornada,0.3182
"The Day: Save, Panetta asks the army",2013-01-12,0.0,Jornada,0.4939
La Jornada: Moody's degrades Cyprus note,2013-01-12,0.0,Jornada,-0.4767
La Jornada: Previous governments took pains to promote the informal sector: Guajardo,2013-01-12,-0.7096,Jornada,-0.0516
La Jornada: Produces production in Chicontepec; Six areas of the zone will be tendered,2013-01-12,-0.6597,Jornada,0.128
La Jornada: Eliminate structure created by PAN to support MSMEs,2013-01-12,-0.9001,Jornada,0.5719
