article,pub_date,nltk_score,source,nltk_score_title
Bolivia libera de servidumbre a los guaraníes,2008-04-12,0.34,Jornada,0.296
Amenaza rusa a Ucrania y Georgia,2008-04-12,0.8625,Jornada,-0.5267
Ataques israelíes dejan nueve muertos,2008-04-12,-0.4767,Jornada,-0.8126
Desalojan universidad en Chicago; amenazas,2008-04-12,0.0,Jornada,-0.4588
"Inexistente, Al Qaeda en frontera México-EU",2008-04-12,-0.2732,Jornada,0.0
"José Luis Rodríguez Zapatero, investido presidente de España en segunda votación",2008-04-12,0.1779,Jornada,0.0
"Dick Cheney, Condoleezza Rice y Colin Powell aprobaron técnicas de tortura",2008-04-12,-0.9136,Jornada,-0.6597
Lucha la izquierda en Italia por sobrevivir ante el rechazo popular a sus políticas de gobierno,2008-04-12,0.6597,Jornada,-0.2732
Latinoamérica “nunca más” permitirá injerencia de Estados Unidos: Correa,2008-04-12,-0.0516,Jornada,-0.1695
Proyecta EU trasladar una base militar de Ecuador a Colombia: embajada en Bogotá,2008-04-12,0.0516,Jornada,0.0
Muere en atentado cuñado del clérigo Moqtada Sadr,2008-04-12,-0.9826,Jornada,-0.7717
Reflejan en una exposición el universo atormentado y doliente de Goya,2008-04-12,-0.9828,Jornada,-0.4767
"La Vía Apia, amenazada por los especuladores",2008-04-12,-0.9001,Jornada,-0.4588
Artista mexicano difunde el grabado en Camboya,2008-04-12,0.1779,Jornada,0.0
Delinea experta nuevos rumbos de la “literatura chicana-chicano”,2008-04-12,-0.6808,Jornada,0.0
Danza de Corea en la UNAM,2008-04-12,0.3182,Jornada,0.0
Belleza genera belleza,2008-04-12,0.9645,Jornada,0.8225
Montan tragedia de la humanidad inscrita en el cuerpo femenino,2008-04-12,-0.9783,Jornada,-0.6597
Reinicia Ternium Sidor venta de productos,2008-04-12,-0.7783,Jornada,0.0
AA continuó ayer cancelación de vuelos,2008-04-12,0.0258,Jornada,0.0
"México: undécima economía, pero ocupa lugar 76 en poder de compra",2008-04-12,-0.0516,Jornada,0.0
"Revisará Luz y Fuerza 47 mil servicios especiales; recuperará $1,500 millones",2008-04-12,-0.6249,Jornada,0.4019
"Enlace no es elemento único para evaluar la educación, afirma la SEP",2008-04-12,-0.9686,Jornada,0.0
Rotunda condena de CNDH y PGR a despenalizar el aborto,2008-04-12,-0.9903,Jornada,-0.5106
"Alcalde texano, contra muro fronterizo",2008-04-12,0.296,Jornada,0.0
Detienen a 45 centroamericanos en operativo guanajuatense,2008-04-12,-0.4588,Jornada,-0.4019
Mitin de trabajadores de Educación Indígena,2008-04-12,-0.765,Jornada,0.0
"Impreciso, el cierre de negociación SNTE-SEP",2008-04-12,-0.6486,Jornada,0.0
AMLO y arzobispado acuerdan no interferirse en actos en el Zócalo,2008-04-12,0.1531,Jornada,0.3612
Directivos del CCH Sur rechazan oferta estudiantil; se rompe el diálogo,2008-04-12,-0.7003,Jornada,-0.4019
Indocumentados piden al Papa interceder por ellos en EU,2008-04-12,0.0,Jornada,0.0
Localizan hoyo negro dentro del núcleo estelar Omega Centauri,2008-04-12,-0.5267,Jornada,0.0
Exige la OCEZ la liberación de cinco labriegos,2008-04-12,-0.2263,Jornada,0.0
Mitin de apoyo al modelo bolivariano,2008-04-12,0.0,Jornada,0.4019
"Respeto al Congreso, pide Mouriño",2008-04-12,-0.4019,Jornada,0.4767
Seguirá hasta el martes la ocupación,2008-04-12,0.7351,Jornada,0.0
Primera noche de vigilia en San Lázaro bajo el escrutinio de las cámaras de tv,2008-04-12,-0.9712,Jornada,0.0
Formal prisión a 4 militares que dispararon contra civiles,2008-04-12,-0.9892,Jornada,-0.5106
