article,pub_date,nltk_score,source,nltk_score_title
"Ratzinger, el estratega que “disciplinó” a los progresistas de la Iglesia católica",2008-04-18,-0.9769,Jornada,0.0
Fernando Lugo no asiste al debate de aspirantes a la presidencia de Paraguay,2008-04-18,-0.9001,Jornada,0.0
Demanda fiscal de Argentina el desafuero del diputado y ex represor Luis Patti,2008-04-18,-0.9612,Jornada,-0.34
La oposición busca alterar los cuarteles: Chávez,2008-04-18,0.8519,Jornada,0.0
Ataque suicida en Irak mata a unas 51 personas,2008-04-18,-0.9834,Jornada,-0.9022
"Desplazadas de sus hogares, más de 26 millones de personas en el mundo",2008-04-18,-0.8807,Jornada,0.0
"Toda incursión en Ecuador será considerada “acto de guerra”, advierte Rafael Correa",2008-04-18,0.5106,Jornada,-0.1027
Ataque de ETA en Bilbao contra sede socialista,2008-04-18,-0.9231,Jornada,-0.4767
Termina Festival Latinoamericano de Poesía 2008,2008-04-18,-0.7506,Jornada,0.4939
Bárbara Jacobs entregó legado de Monterroso a la Universidad de Oviedo,2008-04-18,0.5859,Jornada,0.0
Bregovic trae a México la riqueza de la cultura y las tradiciones de los Balcanes,2008-04-18,-0.9432,Jornada,0.4939
Falleció el poeta y activista martiniqués Aimé Césaire,2008-04-18,-0.9726,Jornada,-0.5574
Graban nombre de Paz en la sede de la SEP,2008-04-18,0.93,Jornada,0.5423
"Persiste rezago de las bellas artes en México y EU en relación con la cultura popular, dice experto",2008-04-18,-0.8885,Jornada,0.6124
Entregan a usuarios el programa Para leer de boleto en el Metro,2008-04-18,-0.9442,Jornada,0.0
Abrieron biblioteca en urbe alemana con más de mil 200 títulos en español,2008-04-18,0.7269,Jornada,0.0
"Desaceleración del comercio, prevé OMC",2008-04-18,-0.5267,Jornada,0.0
"Crecen inflación y pobreza en Argentina, pese a expansión",2008-04-18,-0.872,Jornada,-0.5106
Reclaman campesinos Sin Tierra reforma agraria e inversiones,2008-04-18,-0.8979,Jornada,-0.25
"La economía de EU está en “una mala racha”, admite George W. Bush",2008-04-18,-0.5423,Jornada,0.296
Ap planea cerrar su servicio en francés,2008-04-18,-0.3612,Jornada,0.0
Crece el sector hotelero en tiempos de crisis,2008-04-18,-0.6486,Jornada,-0.6249
Siguen en ascenso los precios récord del maíz estadunidense,2008-04-18,0.4767,Jornada,0.0
Empresas del G-8 exigen luchar contra el cambio climático,2008-04-18,0.0,Jornada,-0.4767
Altos ejecutivos ven al gobierno como obstáculo,2008-04-18,-0.6124,Jornada,-0.3612
"Evitará SCT, con medios jurídicos, pagar a Unefon los 46 millones que reclama",2008-04-18,-0.7906,Jornada,0.0258
"Le Monde, en huelga; rechazo a recortes",2008-04-18,-0.296,Jornada,-0.6124
97% de mujeres con cáncer de mama va a primera consulta en etapa avanzada,2008-04-18,-0.9781,Jornada,-0.5267
Crecen las guerras del agua; en España se disputan el Ebro,2008-04-18,-0.9871,Jornada,-0.743
Anuncia rector de la UdeG reforma en el bachillerato,2008-04-18,-0.8519,Jornada,0.0
Caen 50% ingresos de maleteros en el AICM,2008-04-18,0.1779,Jornada,0.0
Denuncian robo a Líneas Aéreas Azteca,2008-04-18,-0.296,Jornada,-0.34
Madrid rinde homenaje a Vázquez Montalbán,2008-04-18,-0.802,Jornada,0.0
"Denuncia sindicato despidos ilegales de mineros en Sombrerete, Zacatecas",2008-04-18,-0.7579,Jornada,-0.7579
Insta la titular de la SEP a enseñar ciencia desde el nivel prescolar,2008-04-18,-0.5267,Jornada,0.0
"Fumadores, casi 26 por ciento de mexicanos entre 16 y 19 años: experta",2008-04-18,-0.743,Jornada,0.0
Gasolinera de ASA cumple 8 días cerrada,2008-04-18,-0.5267,Jornada,0.0
"EU, blanco de críticas por plan de Bush sobre cambio climático",2008-04-18,0.9349,Jornada,-0.2263
Convenio entre la UNL y legisladores,2008-04-18,0.34,Jornada,0.4939
"Sin el FAP, aprueban diputados dictamen de Ley de Adquisiciones",2008-04-18,0.0516,Jornada,0.0
"Ejecutados en Tijuana, tres agentes federales",2008-04-18,0.9062,Jornada,0.0
Falla estrategia PRI-AN para entrar a escondidas al recinto de Donceles,2008-04-18,0.7003,Jornada,-0.5106
La PGR anuncia acciones contra el lavado de dinero,2008-04-18,0.9231,Jornada,-0.3182
"Uribe, “paramilitar y bestia asesina”, dicen padres de mexicanos ultimados en Ecuador",2008-04-18,-0.875,Jornada,-0.8658
Elogia la canciller a Uribe por reconocer que es legítimo el reclamo de Calderón,2008-04-18,-0.8402,Jornada,0.5267
"UdeG e IPN, solidarios con las víctimas",2008-04-18,0.0258,Jornada,-0.0258
Zapatistas presos en Tabasco estarán en huelga de hambre el lunes próximo,2008-04-18,-0.9501,Jornada,-0.6808
Condena ONU ataque a periodistas,2008-04-18,-0.7351,Jornada,-0.7506
"Reitera Human Rights Watch críticas a la CNDH; no interpretó bien el informe, dice",2008-04-18,-0.6597,Jornada,-0.2023
"Acción Nacional embiste contra la libre expresión y la verdad, advierte el PVEM",2008-04-18,0.6908,Jornada,0.3182
Prevén en San Lázaro arduo trabajo para aprobar los temas más urgentes,2008-04-18,-0.9803,Jornada,0.1761
Buscan unir a Brasil a pacto contra las bombas de racimo,2008-04-18,-0.9524,Jornada,0.0
El GDF ha cumplido: Ebrard,2008-04-18,0.4215,Jornada,0.4215
Condiciona el FAP la aceptación de la “tercera vía” que propone Creel,2008-04-18,0.3818,Jornada,0.4588
"Derecho a réplica, piden a Televisa",2008-04-18,-0.5423,Jornada,0.0
La toma de tribunas es un “golpe de Estado”: IP,2008-04-18,0.0,Jornada,0.0
Se oficializa “sede alterna” del Senado,2008-04-18,0.4939,Jornada,0.0
"Militares deben respetar garantías, afirma procuradora de Chihuahua",2008-04-18,0.5994,Jornada,0.4767
"Ineficaces, los subsidios: Agricultura",2008-04-18,-0.296,Jornada,-0.128
Werner hace aclaración sobre bonos de Pemex,2008-04-18,-0.128,Jornada,0.0
Nicaragua da “acogida solidaria” a Lucía Morett,2008-04-18,-0.6486,Jornada,0.4019
Se privatizarían 31 de 47 áreas de la industria petrolera: especialistas,2008-04-18,-0.128,Jornada,0.0
"Paredes, por el diálogo en reforma energética",2008-04-18,0.296,Jornada,0.2732
Debemos analizar sin prisa la reforma energética: Kessel,2008-04-18,-0.9287,Jornada,0.2732
Defiende director de Pemex Exploración la entrega de contratos a la iniciativa privada,2008-04-18,0.9451,Jornada,0.2263
Se diversifica el crimen organizado: Castresana,2008-04-18,-0.6808,Jornada,-0.5423
Diputados podrán convocar para nombrar presidente interino y funcionarios del IFE,2008-04-18,-0.34,Jornada,0.0
Descartan que proceda la supuesta demanda de los Bribiesca contra el IFAI,2008-04-18,-0.9856,Jornada,0.0
Suaviza AN su postura y ofrece al FAP debate sin tiempo prestablecido,2008-04-18,-0.7717,Jornada,0.0
"Odisea itinerante de senadores de AN, por línea de Beltrones",2008-04-18,-0.7506,Jornada,0.0
Adelitas impiden a senadores priístas llegar a sede alterna,2008-04-18,0.3818,Jornada,0.2263
No prosperan recursos en el TEPJF,2008-04-18,-0.8402,Jornada,0.0
La canciller Espinosa critica “intransigencia” del FAP,2008-04-18,-0.2263,Jornada,-0.34
Reclaman gobernadores beneficios por la explotación de hidrocarburos,2008-04-18,0.8271,Jornada,0.4404
Exigen diputados a Calderón protesta formal por el ataque de Colombia,2008-04-18,-0.9382,Jornada,-0.6808
Arranca el SME movilizaciones contra la iniciativa energética,2008-04-18,-0.8885,Jornada,0.2732
"Pruebas de sus acusaciones, exige al colombiano el rector de la UNAM",2008-04-18,-0.9531,Jornada,-0.3182
Inician en el PRD la calificación de las elecciones internas pese a anomalías,2008-04-18,-0.8979,Jornada,0.0
Ortega insiste en que por todos los medios se busca beneficiar a Encinas,2008-04-18,-0.296,Jornada,0.4588
Ningún beneficio ilegal para la empresa de los Mouriño: Pemex,2008-04-18,-0.5423,Jornada,-0.4404
"Amañado, el segundo concurso para magistrados de circuito, denuncian",2008-04-18,0.296,Jornada,-0.34
Propone panista cárcel y multa para adúlteros,2008-04-18,-0.8885,Jornada,0.2023
Activistas y autoridades comunitarias toman clínica del IMSS en municipio de Oaxaca,2008-04-18,-0.9442,Jornada,0.0
El Senado decidirá diferendo territorial,2008-04-18,-0.0516,Jornada,-0.4019
Mata policía a dirigente del Mocri,2008-04-18,-0.926,Jornada,-0.6908
Protestan maestros en Baja California; no les pagan,2008-04-18,-0.5994,Jornada,-0.25
Agoniza bosque entre Lerma y Tres Marías,2008-04-18,-0.6597,Jornada,0.0
Termina la huelga en la UABCS; acuerdan pago,2008-04-18,0.5423,Jornada,0.1531
"Detienen en Jalisco al panista Ricardo Sigala, acusado de urdir asesinato de funcionario",2008-04-18,-0.993,Jornada,-0.875
Detienen a 5 acusados de asesinato,2008-04-18,-0.8402,Jornada,-0.875
Protestan por cortes de electricidad en Chiapas,2008-04-18,0.4939,Jornada,-0.25
Chrysler hará vehículos de Nissan en Coahuila,2008-04-18,-0.743,Jornada,0.0
Hostigamiento policiaco-militar en la Costa Chica de Guerrero,2008-04-18,-0.8957,Jornada,-0.5423
Mueren 4 estudiantes de Sonora en choque,2008-04-18,0.0,Jornada,-0.7579
Alertan sobre violencia en BC,2008-04-18,-0.9153,Jornada,-0.4404
Impulsan controversia contra reforma queretana,2008-04-18,0.5267,Jornada,0.0
Regidores denuncian recorte a su salario,2008-04-18,0.0,Jornada,-0.5423
“Alarmantes” niveles de contaminación y consumo de drogas en la frontera norte,2008-04-18,0.4939,Jornada,0.0
La Jornada: Patricia Mercado exige renuncia a Quezada por ir a mitin de AMLO,2008-04-18,-0.6908,Jornada,-0.296
