article,pub_date,nltk_score,source,nltk_score_title
Pantyhose in a bunch?,2008/09/07,0.9939,Chicago Tribune,0.0
Q&a: Blake,2008/09/07,0.9894,Chicago Tribune,0.0
Great lash myth,2008/09/07,0.9441,Chicago Tribune,0.6249
John Varvatos' style guide,2008/09/07,0.9931,Chicago Tribune,0.0
Storing wine in the fridge: Not cool,2008/09/07,0.9816,Chicago Tribune,0.3182
"If you can't buy a bigger garage, try organizing",2008/09/07,-0.701,Chicago Tribune,0.0
In-box,2008/09/07,0.9821,Chicago Tribune,0.0
Discoveries,2008/09/07,-0.9605,Chicago Tribune,0.0
5 Things We Learned From Happy Cat Happy You,2008/09/07,0.9808,Chicago Tribune,0.8126
"Mobility, utility the charms of new breast pump",2008/09/07,0.9986,Chicago Tribune,0.4404
Co-worker's CIA attitude wears thin,2008/09/07,0.9927,Chicago Tribune,0.0
About This Issue,2008/09/07,0.9454,Chicago Tribune,0.0
Free Radicals,2008/09/07,0.9211,Chicago Tribune,0.5106
Still a dry spell,2008/09/07,0.9493,Chicago Tribune,0.0
Favorite Things,2008/09/07,0.8941,Chicago Tribune,0.4588
On the bad-idea list: Drinking to beat the blues,2008/09/07,-0.9929,Chicago Tribune,0.0
Racine brews a tasty tasting fest,2008/09/07,0.977,Chicago Tribune,0.0
The artistry of personal style,2008/09/07,0.9915,Chicago Tribune,0.0
Video games aren't just child's play,2008/09/07,0.9974,Chicago Tribune,-0.2584
Acting out for brain health,2008/09/07,0.9946,Chicago Tribune,0.0
How fit is your brain?,2008/09/07,0.9873,Chicago Tribune,0.3612
Sarah Palin's poufy hairstyle looks tiara-ready,2008/09/07,0.9924,Chicago Tribune,0.0
5 Things We Learned From Happy Dog Happy You,2008/09/07,0.7781,Chicago Tribune,0.8126
Mostly open mic,2008/09/07,0.9851,Chicago Tribune,0.0
Picture imperfect,2008/09/07,-0.863,Chicago Tribune,-0.3182
Election words: The trite and true,2008/09/07,0.9739,Chicago Tribune,0.25
His fashion rocks,2008/09/07,0.9895,Chicago Tribune,0.0
"It's raining, it's pouring, the Shuella is alluring",2008/09/07,0.9144,Chicago Tribune,0.0
Robot magnifies success in delicate medical procedures,2008/09/07,0.969,Chicago Tribune,0.5994
Web nanny a virtual noodge,2008/09/07,0.9884,Chicago Tribune,0.0
Exhibit is a Golden opportunity,2008/09/07,0.9733,Chicago Tribune,0.4215
Who/what/wear,2008/09/07,0.9864,Chicago Tribune,0.0
Ryan Rowley Matt Brian Will*,2008/09/07,0.8711,Chicago Tribune,0.0
Estrogen benefit is all in the timing,2008/09/07,0.9808,Chicago Tribune,0.4588
Helping adopted kids navigate school projects,2008/09/07,0.9827,Chicago Tribune,0.296
Sometimes it's a good idea to do things halfway,2008/09/07,-0.8167,Chicago Tribune,0.4404
Movies of the fall,2008/09/07,-0.9366,Chicago Tribune,0.0
"Pappageorge, Haymes",2008/09/07,0.9336,Chicago Tribune,0.0
"September 1939: A hot, dry finish to a heat-starved summer",2008/09/07,0.7096,Chicago Tribune,0.0
Using composted manure on vegetable crops,2008/09/07,0.9639,Chicago Tribune,0.0
Mary Jane Jacob of and beyond the School of the Art Institute,2008/09/07,0.9931,Chicago Tribune,0.0
Cockfight ban sticks in owners' craw,2008/09/07,-0.8573,Chicago Tribune,-0.5574
The proper way to put up your summer stuff.,2008/09/07,0.9076,Chicago Tribune,0.0
Voting extended in capital amid flaws,2008/09/07,-0.9274,Chicago Tribune,0.0
Elsewhere,2008/09/07,-0.7351,Chicago Tribune,0.0
Surf's up as Hanna bears down,2008/09/07,0.4215,Chicago Tribune,0.0
UN official: Storms worsen food crisis,2008/09/07,-0.4215,Chicago Tribune,-0.8126
11 air carriers targeted in safety probe,2008/09/07,0.6808,Chicago Tribune,0.4215
Shooting suspect enters insanity plea,2008/09/07,-0.9786,Chicago Tribune,-0.7096
Get answers to gardening questions,2008/09/07,0.4404,Chicago Tribune,0.0
National News Recap: Top Stories Of The Week,2008/09/07,0.4246,Chicago Tribune,0.2023
What will Britney do?,2008/09/07,0.7059,Chicago Tribune,0.0
Mayor shot in Feb. attack dies,2008/09/07,-0.8591,Chicago Tribune,-0.4767
Quote,2008/09/07,0.5267,Chicago Tribune,0.0
Ask Tom Why,2008/09/07,0.8854,Chicago Tribune,0.0
Learn how to turn your garden into a sustainable garden,2008/09/07,0.945,Chicago Tribune,0.0
Whose song is it anyway?,2008/09/07,-0.3952,Chicago Tribune,0.0
Home design finds ...,2008/09/07,0.8381,Chicago Tribune,0.0
What Others Are Saying,2008/09/07,0.9398,Chicago Tribune,0.0
Your Sales Tax Calendar,2008/09/07,0.0,Chicago Tribune,0.0
Making the video,2008/09/07,0.8225,Chicago Tribune,0.0
Steve Johnson's Web Spin,2008/09/07,0.8338,Chicago Tribune,0.0
Team play no help in keeping kids fit,2008/09/07,0.8766,Chicago Tribune,0.6597
Pop quiz,2008/09/07,0.7816,Chicago Tribune,0.0
NASA chief rips 'jihad' on shuttle,2008/09/07,-0.8442,Chicago Tribune,0.0
U.S. attorney asks Republican to stop using photo in campaign flier,2008/09/07,-0.5055,Chicago Tribune,-0.296
Thousands displaced by floods,2008/09/07,-0.5994,Chicago Tribune,0.0
$10 million,2008/09/07,0.5719,Chicago Tribune,0.0
Elsewhere,2008/09/07,-0.9329,Chicago Tribune,0.0
"$700,000",2008/09/07,-0.1154,Chicago Tribune,0.0
Obama zeros in on Palin's early earmark acceptance,2008/09/07,0.9783,Chicago Tribune,0.4588
Sudanese seek deal ahead of Bush exit,2008/09/07,-0.9579,Chicago Tribune,0.0
Elsewhere,2008/09/07,-0.5423,Chicago Tribune,0.0
Girls in row with ducks in tow,2008/09/07,0.5574,Chicago Tribune,0.0
World News Recap: Top Stories Of The Week,2008/09/07,-0.9582,Chicago Tribune,0.2023
King's fete feeds ego amid poverty,2008/09/07,0.3612,Chicago Tribune,-0.5106
Using composted manure on veggies,2008/09/07,-0.5362,Chicago Tribune,0.0
Edward L. Holmgren: 1923 - 2008,2008/09/07,0.8687,Chicago Tribune,0.0
Sarah who? They're here for Todd Palin,2008/09/07,0.5994,Chicago Tribune,0.0
"In Iraq, report U.S. spied on leaders met with shock",2008/09/07,0.8233,Chicago Tribune,-0.3818
Rock slide shakes slim faith in regime,2008/09/07,-0.9937,Chicago Tribune,0.4215
Fire destroys Portage Park rehab clinic,2008/09/07,-0.802,Chicago Tribune,-0.7184
Festivals usher in the month of September,2008/09/07,0.4588,Chicago Tribune,0.3612
La. losing ground in fight against storms,2008/09/07,-0.9841,Chicago Tribune,-0.6369
5 Things You Can Learn About ...,2008/09/07,0.9937,Chicago Tribune,0.0
Paragraph of the week,2008/09/07,-0.9186,Chicago Tribune,0.0
Evanston songwriter Furman forges ahead,2008/09/07,0.7438,Chicago Tribune,0.0
Video eyewear offers a glimpse of the future,2008/09/07,0.9915,Chicago Tribune,0.0
Safe Toys 'R' Us,2008/09/07,-0.8966,Chicago Tribune,0.4404
Make your bed the star of the room,2008/09/07,0.9901,Chicago Tribune,0.0
"50th Annual Hinsdale Antiques Show, Sept. 12-14.",2008/09/07,0.8689,Chicago Tribune,0.0
Quotables,2008/09/07,0.0,Chicago Tribune,0.0
Rock: 10 Events Not To Miss,2008/09/07,0.9931,Chicago Tribune,-0.1531
Misdirection ... still a spectacular play,2008/09/07,0.9928,Chicago Tribune,0.34
"Replace Guantanamo lawyer, ex-Bush official urges",2008/09/07,-0.9607,Chicago Tribune,0.0
Cactus thefts needle California desert city,2008/09/07,-0.8624,Chicago Tribune,0.0
"Probe into slaying of off-duty detective presents 'challenges,' Weis says",2008/09/07,-0.1639,Chicago Tribune,0.0
Presidential portraits,2008/09/07,-0.9944,Chicago Tribune,0.0
What makes this garden think it's so SMART?,2008/09/07,0.9857,Chicago Tribune,0.6605
Campaign Digest,2008/09/07,0.8363,Chicago Tribune,0.0
Pedaling pains?,2008/09/07,0.1901,Chicago Tribune,-0.4215
Chicago desperate for a winner,2008/09/07,0.954,Chicago Tribune,0.3612
"3 dead, 1 missing in chopper crash",2008/09/07,-0.5106,Chicago Tribune,-0.8481
Get ready for the real fireworks,2008/09/07,0.9956,Chicago Tribune,0.3612
"2 Americas, a world apart",2008/09/07,-0.6741,Chicago Tribune,0.0
Elegant summer dining with ease,2008/09/07,0.992,Chicago Tribune,0.6808
"Finding James Farrell -- the other one, that is",2008/09/07,-0.9783,Chicago Tribune,0.0
The zigzag economy,2008/09/07,-0.9832,Chicago Tribune,0.0
Movies: 10 Not To Miss,2008/09/07,0.9674,Chicago Tribune,-0.1531
West Chicago man chooses prison over boot camp,2008/09/07,-0.9552,Chicago Tribune,-0.5106
Machinists union at Boeing walks out,2008/09/07,-0.8176,Chicago Tribune,0.0
Poet draws on life's contrasts,2008/09/07,0.9306,Chicago Tribune,0.0
Change of Subject,2008/09/07,0.991,Chicago Tribune,0.0
"A test of strength, spirit",2008/09/07,0.9596,Chicago Tribune,0.5994
A Democratic machine in Chicago? Don't be naive,2008/09/07,0.582,Chicago Tribune,0.2057
Art: 10 Events Not To Miss,2008/09/07,0.9818,Chicago Tribune,-0.1531
"Music Box bet on a winner, hoping for more",2008/09/07,0.9726,Chicago Tribune,0.765
Feelin' just fine,2008/09/07,0.6597,Chicago Tribune,0.2023
Ex-Hogan spends best?,2008/09/07,0.128,Chicago Tribune,0.6369
Architecture: 10 Events Not To Miss,2008/09/07,0.9064,Chicago Tribune,-0.1531
Graduation is in the cards for 'High School Musical',2008/09/07,0.9907,Chicago Tribune,0.0
Man fatally shot in car on South Side,2008/09/07,-0.7845,Chicago Tribune,-0.6369
Some in Congress suspicious over anthrax details,2008/09/07,-0.9723,Chicago Tribune,-0.3612
Zardari elected Pakistan president,2008/09/07,-0.9944,Chicago Tribune,0.0
When did the idea of freedom become a political orphan?,2008/09/07,0.9989,Chicago Tribune,0.6369
"Lose this joust, and you're sunk",2008/09/07,0.933,Chicago Tribune,-0.4019
'Blood' on 'Entourage's' HBO stomping grounds,2008/09/07,0.6714,Chicago Tribune,0.0
Help your lawn thrive,2008/09/07,0.9915,Chicago Tribune,0.4019
"Daughter of woman who died in Woodstock nursing home sues operator, 2 nurses",2008/09/07,-0.8591,Chicago Tribune,-0.5574
Ex-Schaumburg High student found fatally shot in Hoffman Estates home,2008/09/07,0.072,Chicago Tribune,-0.6369
Proud to be named 'American',2008/09/07,0.9298,Chicago Tribune,0.4767
McCain's choice won't fool women,2008/09/07,0.9907,Chicago Tribune,0.3412
Tomato experiment ends with 8 cracked,2008/09/07,0.9702,Chicago Tribune,0.0
"Bernard Haitink garners appreciation from Chicago Symphony Orchestra, audience",2008/09/07,0.9844,Chicago Tribune,0.5106
One of state's largest unions ratifies new contact,2008/09/07,0.9562,Chicago Tribune,0.0
Shear talent gives former Morton Grove barber a chance at 3 Guinness records,2008/09/07,0.9371,Chicago Tribune,0.5859
Urban Indian women experience backlash,2008/09/07,-0.9958,Chicago Tribune,0.0
To do,2008/09/07,0.25,Chicago Tribune,0.0
"Grounded for years, Iraqi air force flies",2008/09/07,0.7321,Chicago Tribune,0.0
Elsewhere,2008/09/07,-0.9783,Chicago Tribune,0.0
Ralph Kovel: 1920 - 2008,2008/09/07,-0.3091,Chicago Tribune,0.0
Jazz: 10 Events Not To Miss,2008/09/07,0.9977,Chicago Tribune,-0.1531
Jesse Jackson released from hospital,2008/09/07,-0.9186,Chicago Tribune,0.0
College moves to stop tree-sitters,2008/09/07,-0.6486,Chicago Tribune,-0.296
"With pirates, it's Russian roulette at sea",2008/09/07,-0.1655,Chicago Tribune,0.0
Voice of the People,2008/09/07,0.9389,Chicago Tribune,0.0
What's blooming in Chicago public gardens,2008/09/07,0.0,Chicago Tribune,0.0
"In war, politics a lethal weapon",2008/09/07,0.9904,Chicago Tribune,-0.7269
Organizing a response to the GOP,2008/09/07,-0.9825,Chicago Tribune,0.0
6 seriously hurt in multivehicle crash near Kennedy Expressway entrance,2008/09/07,-0.7717,Chicago Tribune,-0.7783
Carolyn Albritton enjoys showcasing opportunities of the Hyde Park Jazz Festival,2008/09/07,0.9952,Chicago Tribune,0.8442
"When European physicists bring their monstrous supercollider to life, will it swallow up Fermilab? Could it even spell doom for planet Earth? Tribune science reporter Jeremy Manier explains",2008/09/07,0.9863,Chicago Tribune,-0.4696
Store eases baby bottleneck,2008/09/07,-0.9804,Chicago Tribune,0.3182
T. Farrell Shoffeitt: 1935 - 2008,2008/09/07,0.9578,Chicago Tribune,0.0
Police say man leapt to death,2008/09/07,-0.8225,Chicago Tribune,-0.5994
Theater: 10 Events Not To Miss,2008/09/07,0.9838,Chicago Tribune,-0.1531
Chicago man shot to death in Park Manor neighborhood,2008/09/07,-0.9678,Chicago Tribune,-0.5994
Man shot to death at Altgeld Gardens on Far South Side,2008/09/07,-0.9524,Chicago Tribune,-0.5994
Palin asked city librarian whether she'd ban books,2008/09/07,-0.8702,Chicago Tribune,-0.5574
'No one learned their lesson',2008/09/07,-0.9978,Chicago Tribune,-0.296
SHOWHOUSE showstopper,2008/09/07,0.6369,Chicago Tribune,0.0
"Man who held Wheaton bank customers hostage was going through difficult emotional time, relatives say",2008/09/07,-0.701,Chicago Tribune,-0.2263
Choreographer Edwaard Liang explores women's roles with 'Age of Innocence',2008/09/07,0.9648,Chicago Tribune,0.3818
What happens when the city leases public assets to private investors?,2008/09/07,0.7994,Chicago Tribune,0.1779
Rev. Donald Benedict: 1917 - 2008,2008/09/07,-0.9601,Chicago Tribune,0.0
"EcoLogic lofts decked out in hip, sustainable furnishings and accessories",2008/09/07,0.9785,Chicago Tribune,0.0
"Advise, console",2008/09/07,-0.7708,Chicago Tribune,0.0
Man dies after being shot in Auburn Gresham,2008/09/07,-0.9231,Chicago Tribune,0.0
"Friendly to planet, rude to diners",2008/09/07,-0.3036,Chicago Tribune,0.0516
'SNL' alum Kevin Nealon ready to hit the 'Delete' button on his L.A. home,2008/09/07,0.9695,Chicago Tribune,0.3612
fall arts preview,2008/09/07,0.4767,Chicago Tribune,0.0
Teen slain in Englewood neighborhood,2008/09/07,-0.9136,Chicago Tribune,0.0
Frankfort couple killed in likely gas explosion,2008/09/07,0.8608,Chicago Tribune,-0.6705
Timeless classic Gil Thorp looks at life on and off the fields of play,2008/09/07,0.992,Chicago Tribune,0.34
Poker,2008/09/07,0.8336,Chicago Tribune,0.0
"Nationals 8, Braves 5",2008/09/07,0.0,Chicago Tribune,0.4404
Fukudome likely to sit on bench for a while,2008/09/07,0.3211,Chicago Tribune,0.0
"Rangers 15, Red Sox 8",2008/09/07,0.0,Chicago Tribune,0.0
Ex-Bear Cedric Benson working out for NFL teams,2008/09/07,0.1027,Chicago Tribune,0.0
Short-handed Fire coping fine,2008/09/07,-0.2065,Chicago Tribune,-0.1531
"Giants 7, Pirates 6",2008/09/07,0.25,Chicago Tribune,0.0
Cubs' mound of worries,2008/09/07,0.7391,Chicago Tribune,-0.4215
"Blue Jays 7, Rays 4",2008/09/07,0.7184,Chicago Tribune,0.0
Looks like runaway loss,2008/09/07,-0.2942,Chicago Tribune,0.0516
"Yankees-Mariners, late",2008/09/07,0.1027,Chicago Tribune,0.0
Big Ten QB concerns,2008/09/07,0.5719,Chicago Tribune,0.0
Lowly starting position for star,2008/09/07,0.9966,Chicago Tribune,-0.25
"Jose Contreras Back With White Sox, Starting Long Rehab",2008/09/07,-0.6196,Chicago Tribune,0.0
Irish leaning on luck awful early,2008/09/07,0.9211,Chicago Tribune,0.0
Huskies falter on both sides of ball,2008/09/07,-0.8047,Chicago Tribune,0.0
"Dodgers 7, D'backs 2",2008/09/07,0.0,Chicago Tribune,0.0
"Astros 2, Rockies 0",2008/09/07,0.5859,Chicago Tribune,0.0
Countdown to October,2008/09/07,0.0772,Chicago Tribune,0.0
"Phillies-Mets, ppd.",2008/09/07,0.34,Chicago Tribune,0.0
"Brewers 1, Padres 0",2008/09/07,-0.3182,Chicago Tribune,0.0
Reeling France stunned by Austria,2008/09/07,0.0944,Chicago Tribune,-0.1027
Looks like runaway loss,2008/09/07,0.969,Chicago Tribune,0.0516
"Boom, boom, boom",2008/09/07,0.9105,Chicago Tribune,0.0
Week 2 in review: What we learned,2008/09/07,-0.4219,Chicago Tribune,0.0
"Nationals 8, Braves 5",2008/09/07,0.4404,Chicago Tribune,0.4404
"Pirates-Giants, late",2008/09/07,0.2023,Chicago Tribune,0.0
"Yankees 7, Mariners 4",2008/09/07,0.3182,Chicago Tribune,0.0
