article,pub_date,nltk_score,source,nltk_score_title
Highland Park doctor held in fatal overdoses of 3 men,2008/04/11,-0.9883,Chicago Tribune,-0.5423
"Dream on, Michael",2008/04/11,0.7391,Chicago Tribune,0.25
Battle Of The Fives,2008/04/11,-0.46,Chicago Tribune,-0.3818
Death Notice: THERESA NICHOLL,2008/04/11,0.891,Chicago Tribune,-0.5994
Rivals agree on Olympics snub,2008/04/11,-0.5267,Chicago Tribune,-0.0772
Fingerprints led to suspect in slaying of Niles man,2008/04/11,-0.9958,Chicago Tribune,-0.296
Death Notice: REV. DAVID L. SMITH,2008/04/11,0.965,Chicago Tribune,-0.5994
Art of enlightenment,2008/04/11,0.9951,Chicago Tribune,0.0
Thou shalt not ever sell tickets to a papal mass,2008/04/11,0.9224,Chicago Tribune,0.0
2 Do,2008/04/11,0.9118,Chicago Tribune,0.0
"With election in Nepal, voters turn out to seal peace deal",2008/04/11,0.1027,Chicago Tribune,0.5423
Sacked Again,2008/04/11,0.9432,Chicago Tribune,0.0
Ask Tom Why,2008/04/11,0.6369,Chicago Tribune,0.0
GPS thefts on the rise,2008/04/11,-0.8196,Chicago Tribune,0.0
By The Numbers,2008/04/11,0.5423,Chicago Tribune,0.0
Death Notice: LEONA L. TAUC,2008/04/11,0.8934,Chicago Tribune,-0.5994
Looking ahead,2008/04/11,0.0,Chicago Tribune,0.0
Mexico lawmakers protest energy plan,2008/04/11,0.69,Chicago Tribune,0.0258
Figures,2008/04/11,0.0,Chicago Tribune,0.0
What Others Are Saying,2008/04/11,0.9523,Chicago Tribune,0.0
Mr. Hilton goes to Washington,2008/04/11,-0.4404,Chicago Tribune,0.0
Carter's foolish journey,2008/04/11,-0.917,Chicago Tribune,-0.2732
When a private breach goes public,2008/04/11,0.9946,Chicago Tribune,0.0
Quiet ride in Mumbai?,2008/04/11,-0.4772,Chicago Tribune,0.0
Fast-paised,2008/04/11,-0.8799,Chicago Tribune,0.0
Tapes delay,2008/04/11,0.9953,Chicago Tribune,-0.3182
Corrections And Clarifications,2008/04/11,-0.6908,Chicago Tribune,0.0
Iraq Digest,2008/04/11,0.7935,Chicago Tribune,0.0
"Who's Up, Who's Down",2008/04/11,0.1867,Chicago Tribune,0.0
Death Notice: MAGDALEN MULDOON,2008/04/11,0.886,Chicago Tribune,-0.5994
Stars to descend on capital,2008/04/11,-0.296,Chicago Tribune,0.0
Powell not fretting Obama experience,2008/04/11,0.6369,Chicago Tribune,0.0
Briefing,2008/04/11,0.9365,Chicago Tribune,0.0
Suspect in Marine death arrested,2008/04/11,-0.9091,Chicago Tribune,-0.8481
The Digit,2008/04/11,-0.2263,Chicago Tribune,0.0
Thumbs up,2008/04/11,0.9986,Chicago Tribune,0.0
Flakes hit with coldest weekend in 3 weeks--but year's first 70 by Wednesday,2008/04/11,0.2748,Chicago Tribune,0.0
Where they stand on ... trade,2008/04/11,0.9538,Chicago Tribune,0.0
Elsewhere,2008/04/11,-0.9815,Chicago Tribune,0.0
Death Notice: EUGENE STEELE KELLY,2008/04/11,0.9898,Chicago Tribune,-0.5994
Got game?,2008/04/11,0.9964,Chicago Tribune,0.0
Death Notice: MELVIN EDWARD WINKELMAN,2008/04/11,0.9062,Chicago Tribune,-0.5994
Show Patrol,2008/04/11,0.8944,Chicago Tribune,0.0
Death Notice: JOSEPH PIZZO,2008/04/11,0.9774,Chicago Tribune,-0.5994
"In key shift, evangelicals play the field",2008/04/11,0.9409,Chicago Tribune,0.34
Quaid makes another 'Smart' career move,2008/04/11,0.9859,Chicago Tribune,0.0
Lungless frog discovered in Indonesia,2008/04/11,-0.0258,Chicago Tribune,0.0
Iraq choices left for next president,2008/04/11,0.8716,Chicago Tribune,0.0
"That damp feeling becomes a cold, damp feeling",2008/04/11,0.9136,Chicago Tribune,0.25
Keep dreaming,2008/04/11,0.8381,Chicago Tribune,0.0
Residential fire displaces 40 people,2008/04/11,-0.34,Chicago Tribune,-0.34
Sports Shortstops,2008/04/11,0.9432,Chicago Tribune,0.0
IOC head says Games in 'crisis',2008/04/11,-0.0258,Chicago Tribune,0.0
London's Big Ben rings in 150th year,2008/04/11,0.9081,Chicago Tribune,0.0
Death Notice: EUGENE R. KOSTELNAK,2008/04/11,0.8834,Chicago Tribune,-0.5994
Relishing tales of doing good,2008/04/11,0.9969,Chicago Tribune,0.6705
Supercop Reeves doesn't miss a beat,2008/04/11,0.9871,Chicago Tribune,0.1139
Heavier rain heads for area,2008/04/11,-0.9771,Chicago Tribune,0.0
More applications than slots for foreign worker program,2008/04/11,-0.0516,Chicago Tribune,0.0
Metra board getting overhaul,2008/04/11,0.9813,Chicago Tribune,0.0
