article,pub_date,nltk_score,source,nltk_score_title
Video: In His Own Words: John Woodson Tells His Story,2009/04/16,0.9455,ProPublica,0.0
‘Forgotten Warriors’: Tim Newman’s Story,2009/04/16,-0.8146,ProPublica,0.0
‘Forgotten Warriors’: Russell Skoug’s Story,2009/04/16,-0.781,ProPublica,0.0
‘Forgotten Warriors’: Explanation of Analysis,2009/04/16,-0.9766,ProPublica,0.0
Injured War Zone Contractors Fight to Get Care From AIG and Other Insurers,2009/04/16,-0.9998,ProPublica,-0.7184
The Defense Base Act System: A Patchwork Program,2009/04/16,-0.97,ProPublica,0.128
Civilian Contractors by the Numbers,2009/04/16,-0.993,ProPublica,0.0
"Obama Promises to Defend Interrogators, But No Promise on the Bush Lawyers Who Signed Off",2009/04/16,0.6728,ProPublica,0.4019
Contractors Wounded in War Return Home to Fight AIG and Other Insurers,2009/04/16,-0.9729,ProPublica,-0.7579
"In the States, a Stimulus Road Race",2009/04/16,0.9886,ProPublica,0.0
ProPublica on Marketplace,2009/04/16,0.7624,ProPublica,0.0
"In a City With a (Barely Beating) Heart, Recovery Awaits",2009/04/16,0.7671,ProPublica,0.0772
"In a City With a (Barely Beating) Heart, Recovery Awaits",2009/04/16,0.9971,ProPublica,0.0772
A Reporter’s Journey to Elkhart,2009/04/16,0.9455,ProPublica,0.0
"Morning Cup: Planes, Trains and Transformers",2009/04/16,0.6674,ProPublica,0.0
States Receiving Transportation Stimulus Funding at Their Own Speed,2009/04/16,0.4019,ProPublica,0.0
Quick Picks: Police Misconduct and Unaudited Funds,2009/04/16,-0.9799,ProPublica,0.0
Bailout for Breakfast,2009/04/16,0.9455,ProPublica,-0.1027
