article,pub_date,nltk_score,source,nltk_score_title
"La Jornada: Gesto de sensibilidad, que cambiara la fecha: Nava",2009-08-29,0.0,Jornada,0.0
La Jornada: PRD: debe alternarse la presidencia de los órganos de dirección en San Lázaro,2009-08-29,-0.296,Jornada,0.0
La Jornada: Desarticula la SIEDO red de lavado de dinero; captura a jefe de la banda,2009-08-29,0.5106,Jornada,0.0
La Jornada: La Corte rechazó 2 veces atraer el caso Acteal: Confraternice,2009-08-29,0.7506,Jornada,-0.2023
"La Jornada: Oscuro procedimiento, el de la reforma a educación básica",2009-08-29,-0.296,Jornada,0.0
La Jornada: Demandan a Carstens por elevar sin autorización presupuesto de la ASF,2009-08-29,0.0,Jornada,0.0
La Jornada: El fallo de la Corte sobre Acteal no descarta crimen de Estado: CIDE,2009-08-29,-0.34,Jornada,-0.5423
La Jornada: Desecha tribunal electoral las quejas de partidos por sobrerrepresentación del PRI,2009-08-29,-0.128,Jornada,0.0
La Jornada: Se cumplen 31 años de protestas por la liberación de presos políticos,2009-08-29,-0.5423,Jornada,-0.6369
"La Jornada: Austeridad y trabajo, pide el PAN a rectores de universidades públicas",2009-08-29,-0.296,Jornada,0.0
"La Jornada: Mermar gasto social y encarecer energéticos, la peor salida: AMLO",2009-08-29,0.2732,Jornada,-0.4588
La Jornada: Asesinan a ex abogado de narcos,2009-08-29,0.6808,Jornada,0.0
La Jornada: Daño moral de la SEP al autor de El paso de Bering,2009-08-29,0.6908,Jornada,-0.4939
"La Jornada: Con Gordillo, diálogo constructivo",2009-08-29,0.0,Jornada,0.0
La Jornada: Exigen legisladores al SAT aclarar supuesto tráfico de influencias,2009-08-29,-0.1531,Jornada,-0.128
La Jornada: Proponen académicos la relección para que los políticos rindan cuentas,2009-08-29,0.8176,Jornada,0.0
"La Jornada: Choques entre grupo de zetas y la policía provoca 7 muertos en Colotlán, Jalisco",2009-08-29,-0.8934,Jornada,-0.6486
La Jornada: No se puede declararlos inocentes en su totalidad,2009-08-29,0.296,Jornada,0.4005
La Jornada: Concluye sin acuerdos la reunión del PRI sobre su agenda legislativa,2009-08-29,0.4588,Jornada,0.0
La Jornada: Exigen retirar los libros de texto de las escuelas,2009-08-29,-0.5267,Jornada,0.0
"La Jornada: Diputados: forzoso, dar a conocer nombres de funcionarios que rebasan el tope salarial",2009-08-29,-0.6808,Jornada,-0.4588
La Jornada: Panistas se reducen dieta y la congelan tres años,2009-08-29,-0.4404,Jornada,0.0516
La Jornada: Divide a priístas invitación de Calderón a Palacio con motivo de su tercer Informe,2009-08-29,-0.9565,Jornada,0.0
La Jornada: Ramírez Acuña presidirá la Cámara,2009-08-29,0.0,Jornada,0.0
La Jornada: El juez Garzón no apoya labores policiacas del Ejército,2009-08-29,0.6808,Jornada,-0.3089
La Jornada: SRE: crece la tendencia a criminalizar a migrantes indocumentados en EU,2009-08-29,-0.7096,Jornada,0.1779
"La Jornada: Penalizar el aborto en los estados, revancha irracional, califica ONG",2009-08-29,0.1779,Jornada,-0.7003
La Jornada: Crearán consejo nacional para combatir la obesidad,2009-08-29,-0.1779,Jornada,-0.128
"La Jornada: Un millón de casos de influenza para finales de año, prevé Ssa",2009-08-29,-0.5267,Jornada,0.0
La Jornada: Amenaza de hambruna en 2010 por la sequía: CNC,2009-08-29,-0.836,Jornada,-0.5267
La Jornada: La pobreza impide vivir como hijos de Dios,2009-08-29,-0.891,Jornada,-0.2263
La Jornada: Accidente en la México-Puebla deja 7 muertos,2009-08-29,0.7269,Jornada,-0.8126
La Jornada: Fianzas irrisorias a socios de la guardería ABC,2009-08-29,-0.296,Jornada,0.0
La Jornada: Balean a maestros cuando intentaban recuperar una primaria en Oaxaca,2009-08-29,0.4939,Jornada,-0.4215
La Jornada: Sí habrá ceremonia del Grito en Morelia; se adoptarán medidas de seguridad: Godoy,2009-08-29,0.0,Jornada,-0.0772
La Jornada: Impugna AN conteo de votos en Santa Catarina,2009-08-29,0.0,Jornada,0.0
