article,pub_date,nltk_score,source,nltk_score_title
La Jornada: En 11 meses el Inmujeres recibió casi 20 mil denuncias vía telefónica,2009-12-29,-0.959,Jornada,-0.3477
La Jornada: Repudio de PRI y PRD al nuevo aumento al precio de la gasolina,2009-12-29,0.2732,Jornada,0.3182
"La Jornada: La tv mexicana reproduce y anima la violencia antifemenina, concluye estudio",2009-12-29,-0.99,Jornada,-0.296
La Jornada: En 10 días el Ejército detuvo a 30 presuntos narcotraficantes en Sinaloa,2009-12-29,-0.7269,Jornada,-0.5574
La Jornada: Repunta el número de operaciones del AICM tras la caída por la alerta sanitaria,2009-12-29,-0.296,Jornada,0.3612
La Jornada: PGR sale en defensa del Ejército en la lucha contra el crimen organizado,2009-12-29,-0.8625,Jornada,-0.6808
La Jornada: Deudos de Pasta de Conchos demandarán al Estado ante instancias internacionales,2009-12-29,-0.0772,Jornada,0.0
La Jornada: Temen que se intente romper por la fuerza la huelga en Cananea,2009-12-29,-0.8442,Jornada,-0.5719
La Jornada: Identifican a militar y policía en fosa hallada en Chilpancingo,2009-12-29,0.5267,Jornada,0.0
"La Jornada: La CFE viola derechos laborales con el aval del SUTERM, denuncian disidentes",2009-12-29,-0.34,Jornada,-0.4588
La Jornada: Sospechan que habrá un recorte en la STPS,2009-12-29,-0.296,Jornada,-0.5106
La Jornada: Impide el INM supervisión en Querétaro,2009-12-29,-0.4019,Jornada,0.0
La Jornada: 3 mil 500 rescates de Grupos Beta en 2009,2009-12-29,0.0,Jornada,0.3182
La Jornada: AN va por reforma que obligue a los sindicatos a rendir cuentas,2009-12-29,-0.4019,Jornada,0.0
La Jornada: Piden indagar muerte de activistas salvadoreños,2009-12-29,0.0,Jornada,-0.5994
La Jornada: Emergencia en 5 estados por nevadas,2009-12-29,0.0,Jornada,-0.3818
La Jornada: Acusan de represor cultural al gobierno de Guanajuato,2009-12-29,-0.5859,Jornada,-0.5859
"La Jornada: Felguérez y Friedeberg, en Bellas Artes, invitan a otros mundos",2009-12-29,0.8979,Jornada,0.34
La Jornada: La CNT seguirá en 2010 hacia la conquista de un estilo propio,2009-12-29,-0.25,Jornada,0.0
La Jornada: Diarios españoles publican esquelas por niños víctimas de abortos,2009-12-29,0.5423,Jornada,-0.3182
La Jornada: Lula pide a la ONU mantener esfuerzos para lograr acuerdos,2009-12-29,0.8271,Jornada,0.296
La Jornada: México reduce muertes por tuberculosis,2009-12-29,0.4939,Jornada,0.0
"La Jornada: En Argentina, el primer matrimonio entre homosexuales en Latinoamérica",2009-12-29,-0.802,Jornada,0.0
La Jornada: Prevé INE pérdidas agrícolas en México hasta por $22 mil millones por cambio climático,2009-12-29,0.8807,Jornada,-0.4019
La Jornada: Comunidad gay de AL celebra avances conquistados en 2009,2009-12-29,-0.5574,Jornada,0.5719
La Jornada: Resistencia de abogados católicos,2009-12-29,0.5267,Jornada,0.0
La Jornada: Pacientes del IMSS rechazan tratamiento de hemodiálisis en una clínica subrogada,2009-12-29,-0.9313,Jornada,-0.296
La Jornada: Ni los perros se aparean entre dos del mismo sexo: arzobispo,2009-12-29,-0.8779,Jornada,0.0
La Jornada: Triplicó la UADM expectativas en cifra de aspirantes en su primer año,2009-12-29,0.5267,Jornada,0.0772
La Jornada: Crece huelga de hambre en Hermosillo,2009-12-29,-0.8442,Jornada,-0.3612
"La Jornada: Alrededor de 424 mayas, en prisión sin juicio justo",2009-12-29,-0.886,Jornada,-0.6442
