article,pub_date,nltk_score,source,nltk_score_title
Missouri Claims First Stimulus Project,2009/02/19,0.9455,ProPublica,0.0
ProPublica Announces New ‘ChangeTracker’ Tool To Reveal Updates & Changes to Government Web Sites,2009/02/19,0.9865,ProPublica,0.0
Introducing ChangeTracker: Tracking Change in Washington,2009/02/19,0.982,ProPublica,0.0
Steal Our Code: How to Build Your Own Change-Tracking Feeds,2009/02/19,0.9921,ProPublica,-0.4939
What to Expect When You’re Expecting Stimulus Data,2009/02/19,0.9342,ProPublica,0.0
Quick Picks: Stanford’s ‘Red Flags’ and Mutual Fund Bonuses,2009/02/19,0.9455,ProPublica,0.5574
GOP Govs Grouse About Stimulus—Then Take It,2009/02/19,0.3535,ProPublica,0.0
What to Expect When You’re Expecting Stimulus Data,2009/02/19,0.9342,ProPublica,0.0
New Scandal: Stanford’s Swindle,2009/02/19,-0.3926,ProPublica,-0.743
GOP Govs Grouse About Stimulus—Then Take it,2009/02/19,0.4877,ProPublica,0.0
ChangeTracker,2009/02/19,0.9958,ProPublica,0.0
