article,pub_date,nltk_score,source,nltk_score_title
"La Jornada: Chávez, dispuesto al diálogo con opositores",2009-02-19,0.0,Jornada,0.3612
La Jornada: Crecen 16% cultivos de coca en países andinos,2009-02-19,0.0,Jornada,0.1779
La Jornada: Caricatura del New York Post relaciona al presidente Barack Obama con un chimpancé,2009-02-19,0.3182,Jornada,0.0
"La Jornada: Fidel Castro no puede recibir a todos los mandatarios, afirma su hermano Raúl",2009-02-19,-0.8807,Jornada,0.0
La Jornada: Pide Argentina una explicación por declaraciones de Berlusconi sobre víctimas de la dictadura,2009-02-19,-0.9349,Jornada,-0.3182
La Jornada: Ataque aéreo de EU en Afganistán mata a 16 personas,2009-02-19,-0.926,Jornada,-0.6124
La Jornada: Cae avión militar de Colombia; 5 muertos,2009-02-19,0.0,Jornada,-0.6486
La Jornada: Expulsa Ecuador a otro diplomático de EU,2009-02-19,-0.296,Jornada,0.0
La Jornada: Envía Francia cuatro escuadrones policiacos de apoyo ante los disturbios en la isla Guadalupe,2009-02-19,-0.8658,Jornada,0.4019
La Jornada: Impone Evo Morales reglas para la explotación del litio boliviano,2009-02-19,0.9349,Jornada,-0.1027
La Jornada: Denuncian desaparición de otra adolescente en Ciudad Juárez; van siete en mes y medio,2009-02-19,0.6808,Jornada,-0.34
La Jornada: Niega el PRI simulación en Campeche,2009-02-19,-0.4939,Jornada,-0.4215
La Jornada: Enferman niños por aguas negras en BCS,2009-02-19,-0.3612,Jornada,0.0
"La Jornada: Doce Conalep de Veracruz, en paro técnico",2009-02-19,-0.2263,Jornada,-0.4404
La Jornada: Oficiales mexiquenses exigen mejoras,2009-02-19,0.0516,Jornada,0.2023
La Jornada: Ordena el obispo de Huejutla suspender servicios religiosos,2009-02-19,-0.5994,Jornada,-0.3182
La Jornada: Comando roba 30 toneladas de frijol en Sinaloa; segundo caso en febrero,2009-02-19,0.5267,Jornada,-0.5106
"La Jornada: En ruinas, casas financiadas por el Infonavit en Zacatecas",2009-02-19,-0.7579,Jornada,-0.4404
La Jornada: Modifica el PRD selección de candidatos en Edomex,2009-02-19,-0.296,Jornada,0.0
La Jornada: Ordenan al PAN responder quejas de militantes en NL,2009-02-19,0.0258,Jornada,-0.4019
La Jornada: Saquean oficina de PAN en Hermosillo,2009-02-19,0.0,Jornada,0.0
La Jornada: Policías de Neza leen El complot mongol,2009-02-19,0.3182,Jornada,0.0
La Jornada: Bono para electricidad a familias de Mexicali,2009-02-19,0.4939,Jornada,0.5423
"La Jornada: Preocupante, la erosión genética del maíz, alerta Martha Astier",2009-02-19,-0.872,Jornada,-0.4215
La Jornada: Congela Stanford cuentas en México,2009-02-19,-0.9081,Jornada,-0.1027
La Jornada: Ferromex y Ferrosur ya no podrán operar de manera conjunta,2009-02-19,0.0,Jornada,-0.296
La Jornada: Desmiente Pemex nuevo yacimiento,2009-02-19,0.3182,Jornada,-0.4215
La Jornada: Roberto Hernández no se relegirá en el consejo de Banamex,2009-02-19,-0.296,Jornada,0.0
"La Jornada: En 2009, crecimiento negativo en las principales economías",2009-02-19,-0.9062,Jornada,-0.2732
"La Jornada: Decrecimiento de 2.4% en el PIB de 2009, pronostica Banamex",2009-02-19,-0.6486,Jornada,0.0
La Jornada: Esta crisis será más larga y profunda que la de los años 30,2009-02-19,-0.4215,Jornada,-0.8481
La Jornada: Propondrá Sarkozy rebaja de impuestos y beneficios sociales por 3 mil 300 mdd,2009-02-19,0.1027,Jornada,0.3818
La Jornada: Creció 74% la utilidad de Gruma; obtuvo la cifra récord de $3 mil 270 millones,2009-02-19,0.7506,Jornada,0.4939
"La Jornada: Ayer, marginal recuperación del peso frente al dólar",2009-02-19,0.7184,Jornada,0.0
La Jornada: Marchas de Canacar el martes contra el IETU y por bajar el precio del diesel,2009-02-19,-0.4019,Jornada,-0.25
La Jornada: Mexicano enfrentará en libertad juicio en España,2009-02-19,-0.2263,Jornada,0.0
La Jornada: Lamenta Guerrero Amparán que el IFAI obstaculice la transparencia,2009-02-19,0.6369,Jornada,0.0
La Jornada: Esperan justicia las víctimas de Sucumbíos,2009-02-19,-0.5918,Jornada,0.6124
La Jornada: Habrá mil millones de pobres en 2025,2009-02-19,0.0772,Jornada,-0.4767
"La Jornada: Nueva ejecución en Reynosa; la ciudad, bajo patrullaje militar",2009-02-19,-0.5574,Jornada,0.0
"La Jornada: El Caramuela, de policía ministerial a narco",2009-02-19,-0.7184,Jornada,0.0
La Jornada: Confundió EU a Eduardo con Ramón Arellano: abogado,2009-02-19,-0.296,Jornada,-0.3182
La Jornada: SCJN abre la puerta a la rebeldía,2009-02-19,-0.2023,Jornada,-0.128
La Jornada: Excarcelan al asesino de Manuel Buendía,2009-02-19,-0.4939,Jornada,-0.6808
La Jornada: Confía Sagarpa en que se evitará la manipulación electorera de recursos,2009-02-19,-0.6908,Jornada,-0.5574
"La Jornada: Prohibir la importación de armas de asalto, piden congresistas a Obama",2009-02-19,-0.6808,Jornada,-0.7717
La Jornada: Sin lucha antidrogas sería narco el próximo presidente: Ruiz Mateos,2009-02-19,-0.0772,Jornada,-0.5859
"La Jornada: Dirigentes de la UNT, tras plurinominales",2009-02-19,0.6369,Jornada,0.0
La Jornada: No hable de lo que no sabe: legisladores,2009-02-19,-0.9169,Jornada,0.0
La Jornada: Legisladores de PRI y PRD califican de lentas las acciones contra el crimen,2009-02-19,0.4588,Jornada,-0.5423
La Jornada: Exigen que Sagarpa libere recursos,2009-02-19,0.0,Jornada,-0.128
