article,pub_date,nltk_score,source,nltk_score_title
La Jornada: AL no provocó la crisis; sí pagará los efectos: analistas de BM y FMI,2009-02-18,-0.9674,Jornada,0.7815
La Jornada: Premian a Tony Blair con un millón de dólares,2009-02-18,0.0,Jornada,0.4939
La Jornada: Grupo armado ataca en Guinea ecuatorial,2009-02-18,-0.7351,Jornada,-0.4404
La Jornada: Crisis en la izquierda italiana; dimite Veltroni,2009-02-18,0.0,Jornada,-0.6249
La Jornada: Disturbios en la isla de Guadalupe,2009-02-18,0.0,Jornada,-0.5106
La Jornada: Chile: sigue la ofensiva de la derecha,2009-02-18,-0.296,Jornada,-0.4588
La Jornada: Evo Morales se reúne con industriales franceses interesados en explotar litio,2009-02-18,0.7906,Jornada,-0.0516
La Jornada: Retira Ecuador inmunidad a la Asociación Latinoamericana de Derechos Humanos,2009-02-18,0.1027,Jornada,0.0
La Jornada: Comienza juicio a acusado de crímenes de guerra y contra la humanidad en Camboya,2009-02-18,-0.9524,Jornada,-0.7184
La Jornada: Retirará Estados Unidos 8 mil militares destacados en su base de la isla Okinawa,2009-02-18,0.3612,Jornada,0.4215
La Jornada: Anuncia Obama el despliegue en Afganistán de 17 mil soldados más,2009-02-18,0.3612,Jornada,0.0
La Jornada: Acuerdo del gobierno y rebeldes en Darfur,2009-02-18,0.8316,Jornada,0.34
La Jornada: Opinión,2009-02-18,-0.9572,Jornada,0.0
La Jornada: Admiten las FARC haber asesinado a ocho indígenas por ser informantes del ejército,2009-02-18,-0.8979,Jornada,-0.4939
La Jornada: Avalan prostitución de niñas en Tijuana,2009-02-18,0.0,Jornada,0.0
La Jornada: Defienden autoridades proceso contra Herrán,2009-02-18,0.0,Jornada,0.0
La Jornada: Riña por parque acuático en Ixmiquilpan deja 20 heridos,2009-02-18,-0.5719,Jornada,-0.4019
La Jornada: Aplica Infonavit usura en Sinaloa,2009-02-18,-0.34,Jornada,0.0
La Jornada: Piden aclarar desapariciones en Guerrero,2009-02-18,-0.3612,Jornada,0.0
La Jornada: Mil 500 ferrocarrileros amenazan con paro,2009-02-18,-0.296,Jornada,-0.4767
La Jornada: Cobran a derechohabiente del Fovissste crédito entregado ilegalmente a político,2009-02-18,0.7096,Jornada,0.3818
La Jornada: Aprueban PRI y AN reforma contra el aborto en Colima,2009-02-18,-0.8442,Jornada,0.4215
La Jornada: Temen expropiaciones para la presa Zapotillo,2009-02-18,-0.296,Jornada,-0.4939
La Jornada: Perredistas toman alcaldía en Hidalgo; retienen a 7 policías,2009-02-18,-0.0516,Jornada,0.0
La Jornada: Empleados de Telemax laboran bajo protesta,2009-02-18,0.0,Jornada,-0.25
La Jornada: Labriegos exigen frenar explotación del río Laja,2009-02-18,-0.2023,Jornada,-0.4019
La Jornada: Amparo al ex alcalde de Tonalá; podría salir libre,2009-02-18,-0.836,Jornada,0.5106
"La Jornada: Grave, líder del PRD tras choque en Sonora",2009-02-18,-0.296,Jornada,-0.6369
La Jornada: Fusionarán la PGJE y la SSP en Coahuila,2009-02-18,0.891,Jornada,0.0
La Jornada: Hermano de Loyola Vera inicia programa de tv,2009-02-18,0.0,Jornada,0.0
La Jornada: En unos 4 años habrán hallado un planeta similar a la Tierra: experto,2009-02-18,-0.128,Jornada,0.0
La Jornada: Recientes observaciones modifican visión del universo,2009-02-18,0.6486,Jornada,0.25
La Jornada: México es seguro para los turistas y la inversión en el rubro: Elizondo,2009-02-18,0.3182,Jornada,0.4404
La Jornada: Pemex otorga otro contrato a Halliburton,2009-02-18,0.8316,Jornada,0.2263
"La Jornada: El peso, más devaluado que nunca",2009-02-18,0.0,Jornada,0.0
La Jornada: La recesión en Europa oriental provocará más pérdidas a los bancos,2009-02-18,-0.6705,Jornada,-0.6997
La Jornada: Se desplomó la producción industrial en el país: Inegi,2009-02-18,-0.296,Jornada,0.0
La Jornada: Firma Obama plan de reactivación económica,2009-02-18,0.3818,Jornada,0.0
"La Jornada: La gente se une a la sicología del pesimismo, dice Werner",2009-02-18,-0.875,Jornada,-0.0772
"La Jornada: Apoyo para automotrices: $9,500 millones",2009-02-18,0.0,Jornada,0.4019
