article,pub_date,nltk_score,source,nltk_score_title
Hallan cabeza de comandante que fue levantado en Chihuahua,2009-01-20,-0.8316,Jornada,0.0
Ecuador no ha pedido extraditar a Morett: PRD,2009-01-20,-0.8402,Jornada,0.0
El Ejército lucha casi en solitario contra el hampa,2009-01-20,-0.5423,Jornada,-0.5279
Enfrenta a IFE y TEPJF el nombre para la coalición PT-Convergencia,2009-01-20,0.4404,Jornada,-0.2263
"El dedazo no se impondrá en el PRI, aseguran CNOP y FJR",2009-01-20,-0.9601,Jornada,0.0572
Sagarpa dice que entregará 28 mil 139 millones de pesos,2009-01-20,-0.296,Jornada,0.0
Denuncian hacinamiento en el Centro de Arraigos de la PGR,2009-01-20,-0.7096,Jornada,-0.34
Protestan contra abusos de soldados,2009-01-20,0.4767,Jornada,-0.6808
Legisladores piden tomar con cautela el arribo de Obama,2009-01-20,0.5267,Jornada,-0.1027
Movilizaciones de pescadores y empresarios en tres puertos,2009-01-20,-0.7717,Jornada,0.0
Anaya niega acusaciones,2009-01-20,-0.5267,Jornada,-0.4215
El gobierno considera prioritaria la recaptura de Joaquín El Chapo Guzmán,2009-01-20,-0.7906,Jornada,0.0
Diseña el gobierno programa de empleo para empresas a un paso del paro técnico,2009-01-20,0.4767,Jornada,-0.2023
Narro Céspedes pidió dos candidaturas plurinominales a Ortega: Ricardo Ruiz,2009-01-20,-0.1779,Jornada,0.0
Presenta Jesús Ortega en Morelia programa alternativo contra la crisis,2009-01-20,-0.872,Jornada,-0.6249
La política federal tiene al borde de la extinción a la industria lechera,2009-01-20,-0.9001,Jornada,0.0
Asiste el PRD a deudos de mineros,2009-01-20,-0.2315,Jornada,-0.3612
Despedida al embajador Garza,2009-01-20,0.4215,Jornada,0.0
"Condenan escritores, internacionalistas y académicos la embestida contra Gaza",2009-01-20,-0.7783,Jornada,0.0
"Reducir tolerancia al consumo de alcohol, demanda la Ssa",2009-01-20,-0.9794,Jornada,0.1779
Violó EU la ley internacional al ejecutar a mexicano en 2008: CIJ,2009-01-20,-0.9826,Jornada,-0.5267
La SRE demanda al entrante gobierno de Obama respetar fallo de La Haya,2009-01-20,-0.5719,Jornada,0.4767
Piden más “empeño y emoción” en los honores a la bandera,2009-01-20,0.1027,Jornada,0.6901
Refuta agencia de la ONU “crisis de la familia”,2009-01-20,-0.6369,Jornada,-0.6249
"La Iglesia, ni en crisis ni destinada a desaparecer, advierte Bertone",2009-01-20,-0.5106,Jornada,0.5514
Atenderá la SEP a quienes abandonen escuelas privadas,2009-01-20,-0.296,Jornada,-0.0516
Esperan recaudar en Guanajuato $2 millones con rifa de Hummers,2009-01-20,-0.296,Jornada,0.0
Persistirá el frío en gran parte del país,2009-01-20,-0.6369,Jornada,0.0
Otro allegado a Gordillo es nombrado director de Lotenal,2009-01-20,0.6249,Jornada,0.0
Enfermeras de Guerrero piden plazas,2009-01-20,-0.296,Jornada,0.0
Invade el comercio informal la terminal Cuatro Caminos,2009-01-20,-0.5106,Jornada,0.0
Edomex: 173 feminicidios el año pasado,2009-01-20,-0.9153,Jornada,0.0
"Edil duranguense: “el toque de queda, exitoso”",2009-01-20,-0.6369,Jornada,0.5859
El ayuntamiento de Guanajuato revoca polémico reglamento,2009-01-20,0.6705,Jornada,-0.2023
Edomex: deja un muerto balacera en Mundo E,2009-01-20,-0.34,Jornada,-0.6486
"SLP: Toranzo, el candidato priísta a la gubernatura",2009-01-20,-0.765,Jornada,0.0
Bours heredará más deuda y burocracia: AN,2009-01-20,0.0,Jornada,-0.4201
Exige AI aclarar ataque a migrantes en Chiapas,2009-01-20,-0.7906,Jornada,-0.5574
Ofrece Boca del Río pruebas de pederastia,2009-01-20,-0.7717,Jornada,0.0
Fue ilegal la donación de predio al Tec en Atizapán,2009-01-20,0.5574,Jornada,-0.5574
Perece malogrado plagiario en Durango,2009-01-20,0.5267,Jornada,0.0
Agentes mexiquenses pierden 480 armas,2009-01-20,-0.3182,Jornada,-0.6808
El PRD va por carro completo en la zona oriente del Edomex,2009-01-20,0.9612,Jornada,0.0
Violan municipios normas ambientales,2009-01-20,-0.4019,Jornada,0.0
Partidos en Jalisco pactan evitar guerra sucia en campañas rumbo a las elecciones de julio,2009-01-20,0.25,Jornada,-0.743
La Jornada: Patricia Mercado exige renuncia a Quezada por ir a mitin de AMLO,2009-01-20,-0.6908,Jornada,-0.296
"Ahora busco que el público vea mi sentido lúdico, señala Tunick",2009-01-20,-0.7717,Jornada,0.34
Resplandor teotihuacano cuenta con “el aval del INAH y del Fonatur”,2009-01-20,0.0772,Jornada,0.3182
Documenta video la capacidad de Gustavo Dudamel de transfigurar a las personas,2009-01-20,0.872,Jornada,0.3182
Estupefacción de artista indio al descubrir obras falsas en su propia exposición,2009-01-20,-0.2764,Jornada,-0.4767
Sigue montaje de show mediático pese a lo dicho por el CNCA,2009-01-20,-0.2732,Jornada,0.0
"Washington sigue de fiesta; hoy, la ceremonia de asunción de Obama",2009-01-20,-0.9942,Jornada,0.3818
Jeffrey Sachs pide a Obama actuar contra el hambre y la pobreza en África,2009-01-20,-0.9652,Jornada,-0.6486
Comparecen acusados en Guantánamo,2009-01-20,-0.4019,Jornada,0.0
"FMLN, primera fuerza en el Congreso",2009-01-20,-0.7506,Jornada,0.0
"Desconocidos atacan la nunciatura apostólica en Venezuela, al director de televisora y estudiantes",2009-01-20,0.2363,Jornada,-0.4767
Sicario asesina a balazos a defensor de los derechos humanos y a periodista en Rusia,2009-01-20,-0.9136,Jornada,-0.5994
Cristina Fernández se reúne con Raúl Castro,2009-01-20,0.0,Jornada,0.0
"Retiran escombros de la franja de Gaza; en Rafah y Jabaliya, ningún edificio intacto",2009-01-20,-0.8934,Jornada,-0.1027
Zoellick plantea fondo de vulnerabilidad para los países pobres,2009-01-20,-0.4767,Jornada,-0.6124
Rusia y Ucrania abren llave del gas a Europa,2009-01-20,0.4549,Jornada,0.0
Slim invertirá 250 mdd más en el NYT,2009-01-20,0.25,Jornada,0.0
Se extienden los paros técnicos en 5 estados de la frontera norte,2009-01-20,-0.872,Jornada,0.0
"AL, la región más vulnerable",2009-01-20,-0.9781,Jornada,-0.2944
Mercados emergentes: ¿tropezón o caída?,2009-01-20,-0.8442,Jornada,-0.1531
"La eurozona sufrirá la primera contracción desde que fue formada, prevé la CE",2009-01-20,-0.1779,Jornada,-0.5423
Teme el FMI que sean más los países que le pidan asistencia,2009-01-20,-0.926,Jornada,-0.4215
Perdieron $31.6 mil millones tres Siefore al cierre de 2008,2009-01-20,0.0258,Jornada,-0.4019
Crean nanorrobot capaz de operar el cerebro,2009-01-20,-0.5267,Jornada,0.5719
Los hombres pueden reprimir el hambre de manera consciente,2009-01-20,-0.6808,Jornada,-0.25
Lucha contra el cólera,2009-01-20,-0.128,Jornada,-0.3818
Según reciente estudio hay receptores de nicotina en la boca,2009-01-20,-0.296,Jornada,0.0
Desaparece el glaciar Quilca de Perú,2009-01-20,-0.7506,Jornada,-0.34
Casi 400 de cada 10 mil recién nacidos padecen hipotiroidismo,2009-01-20,-0.9854,Jornada,0.0
