article,pub_date,nltk_score,source,nltk_score_title
Empresarios piden que se contemple una posible reducción en el IETU,2009-01-08,-0.0258,Jornada,0.0
Exige Slim revisar el IETU y que el Banco de México se ocupe del empleo,2009-01-08,-0.5859,Jornada,0.4019
Exige el PRD en la Permanente que se aclare la cesión del cobro de créditos,2009-01-08,-0.7351,Jornada,0.3612
"Cuatro decapitados, entre los 29 muertos de la ola violenta de ayer",2009-01-08,-0.936,Jornada,-0.8481
Interrogarán a funcionarios del GDF relacionados con el grupo de Bejarano,2009-01-08,0.8402,Jornada,0.0
Critican senadores que el gobierno no se apriete el cinturón en el gasto corriente,2009-01-08,-0.9062,Jornada,-0.3818
Embajadores y cónsules analizarán temas de economía y seguridad,2009-01-08,0.7269,Jornada,0.34
El tricolor demandará al PAN ante el IFE,2009-01-08,0.4939,Jornada,0.0
"Movimientos sociales, único camino que puede salvar a los pueblos: Raúl Zibechi",2009-01-08,0.4215,Jornada,0.4939
"El CT apoya el pacto; sólo favorece a empresarios, acusan independientes",2009-01-08,-0.7184,Jornada,0.4019
Respaldan gobernadores el acuerdo económico,2009-01-08,0.9393,Jornada,0.7096
Piden a la Corte intervenir en el caso de 2 atenquenses presos,2009-01-08,0.6597,Jornada,-0.7506
Denuncian nuevas agresiones de la Orcao,2009-01-08,-0.9287,Jornada,-0.5719
El hostigamiento de los despachos,2009-01-08,-0.7579,Jornada,-0.5423
Logra derechohabiente amparo y evita que el Infonavit venda su deuda vencida,2009-01-08,-0.7783,Jornada,-0.296
Militares y policías refuerzan seguridad de medios de comunicación en Nuevo León,2009-01-08,-0.8979,Jornada,0.34
Frena gobierno alza en gasolinas; baja tarifas eléctricas industriales,2009-01-08,0.969,Jornada,0.1531
Calderón busca reunirse con Obama,2009-01-08,-0.25,Jornada,0.0
Unos 12 mil pescadores se unen a la suspensión de actividades,2009-01-08,-0.8126,Jornada,0.296
Siete vientos en los calendarios y geografías de abajo,2009-01-08,-0.999,Jornada,0.0
Garza: hasta otoño llegará equipo del plan Mérida,2009-01-08,-0.1779,Jornada,0.0
Reaparece “papá gobierno” en la firma del pacto anticrisis,2009-01-08,0.872,Jornada,0.0
"Para especialistas, el plan anticrisis es redición de buenas intenciones y propuestas anteriores",2009-01-08,0.128,Jornada,0.4404
Sagarpa dice que sólo 15% de la flota camaronera se encuentra en paro,2009-01-08,-0.967,Jornada,0.0
Presuntos polleros detenidos en Reynosa podrían ser zetas,2009-01-08,0.5106,Jornada,-0.6124
Legisladores del PAN rechazan que se exhorte al gobierno a bajar combustibles,2009-01-08,0.1027,Jornada,-0.5106
Rechazan legisladores uso de la fuerza en la franja de Gaza,2009-01-08,-0.3182,Jornada,-0.4019
"Convergencia y PT crean la Coalición por el bien de todos, primero los pobres",2009-01-08,0.9821,Jornada,0.2263
Calla Sedena sobre el caso de una embarazada asesinada en un retén,2009-01-08,-0.9705,Jornada,-0.6705
"El nuevo pacto no solucionará la crisis, afirman empresarios",2009-01-08,0.8979,Jornada,0.4023
CNTE impulsará primer amparo contra la ACE,2009-01-08,-0.4939,Jornada,0.0
Conacyt: ya se hizo el depósito a becarios; justifica el retraso del pago,2009-01-08,-0.8779,Jornada,0.0
"Países subdesarrollados, rezagados en cobertura universal educativa",2009-01-08,-0.9584,Jornada,-0.2732
Dona EU a México equipos de protección,2009-01-08,-0.6124,Jornada,0.0
Accidente en Veracruz deja 24 lesionados,2009-01-08,-0.4767,Jornada,-0.7003
Exigen detener malos tratos a niños yucatecos,2009-01-08,-0.296,Jornada,-0.4019
Exigen concesiones para taxis en Veracruz,2009-01-08,-0.4939,Jornada,0.0
Diputados de NL buscan postulaciones,2009-01-08,0.4019,Jornada,0.0
"Multa a quien no separe su basura en Guadalajara, a partir del día 12",2009-01-08,-0.8625,Jornada,0.2023
Falsa amenaza de bomba causa aterrizaje de emergencia en SLP,2009-01-08,-0.6249,Jornada,-0.8481
Maestros de la UTH llevan 20 meses en paro,2009-01-08,-0.7579,Jornada,0.0
Se recrudecen ataques contra mujeres en Chihuahua: 21 asesinatos en 45 días,2009-01-08,-0.9779,Jornada,-0.7845
Más dinero para las elecciones en Tabasco,2009-01-08,0.4588,Jornada,0.0
Nombran obispo auxiliar en Monterrey,2009-01-08,0.3182,Jornada,0.0
Acusan a paramilitares de capturar a activista,2009-01-08,0.7579,Jornada,-0.2023
Violenta conmemoración de la matanza de Río Blanco,2009-01-08,0.6369,Jornada,-0.5994
Confirma el INAH la realización de acto nocturno de luz y sonido en Xochicalco,2009-01-08,-0.1779,Jornada,0.0
Encuentro de amantes del teatro llega a su versión 21,2009-01-08,-0.4404,Jornada,0.5574
"Subastarán colección con 49 dibujos inéditos de Marc Chagall, en Londres",2009-01-08,0.9382,Jornada,0.0
Remplazan rieles con bloques de concreto en la Pirámide del Sol,2009-01-08,-0.5267,Jornada,-0.2263
Defensores de Teotihuacán intensificarán acciones contra show mediático,2009-01-08,-0.5994,Jornada,0.0772
"Resplandor teotihuacano cuenta con el aval del INAH, asegura el titular de Turismo local",2009-01-08,0.7269,Jornada,0.25
Comienza hoy juicio al lehendakari Ibarretxe y 2 líderes políticos vascos,2009-01-08,-0.8979,Jornada,0.0
Israel frena la ofensiva por 3 horas para el ingreso de ayuda a la franja de Gaza,2009-01-08,-0.9819,Jornada,-0.4588
"Tel Aviv viola el derecho humanitario internacional, acusa relator de la ONU",2009-01-08,-0.9451,Jornada,-0.6908
Este año se espera en Cuba un plan de recortes en gran escala al gasto público,2009-01-08,-0.9524,Jornada,-0.296
Recorte de 8.22% al personal de la industria manufacturera: Inegi,2009-01-08,-0.4939,Jornada,-0.2732
También empresarios de la pornografía piden rescate por 5 mil mdd,2009-01-08,0.0,Jornada,-0.128
Busca Televisa rescindir contrato de programación con Univision por 25 años,2009-01-08,-0.7906,Jornada,0.0
Dan bancos crédito a la familia Merckle,2009-01-08,0.5106,Jornada,0.3818
