article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Refuta Medina Mora la impugnación de Soberanes a la Ley Orgánica de la PGR,2009-07-28,-0.7351,Jornada,0.0772
"La Jornada: Respeto a las leyes de cada país, remarca Calderón",2009-07-28,0.4404,Jornada,0.4767
La Jornada: Atacan comandos corralones en Zacatecas y se llevan 10 autos de lujo confiscados,2009-07-28,-0.9136,Jornada,-0.4767
"La Jornada: México, en condiciones normativas y legales para usar OGM: Cárdenas",2009-07-28,0.4215,Jornada,0.128
La Jornada: Indígenas de Pijijiapan denuncian ola de abusos por parte de las autoridades,2009-07-28,-0.8591,Jornada,-0.765
La Jornada: Multa el IFE a Tv Azteca porque no transmitió 5 mil 734 promocionales,2009-07-28,-0.3818,Jornada,0.2023
La Jornada: Detienen a presunto contador de Los Zetas,2009-07-28,0.0516,Jornada,-0.4767
La Jornada: Calderón y Fox acuden a reunión que inicia reflexión sobre la derrota panista,2009-07-28,-0.296,Jornada,-0.4588
"La Jornada: Ssa: parte del plan Mérida, a centros contra adicciones",2009-07-28,0.0772,Jornada,0.0
La Jornada: Manuel Espino: no es indispensable que amigos del Presidente dirijan AN,2009-07-28,-0.8834,Jornada,-0.3724
"La Jornada: Clinton, encargada de certificar a México en derechos humanos",2009-07-28,-0.8271,Jornada,0.0
"La Jornada: En el ejido Mitzitón, religión y política fomentan los conflictos",2009-07-28,0.7845,Jornada,-0.3818
La Jornada: Apresan a traficante con dos menores en Tijuana,2009-07-28,0.0,Jornada,-0.4767
La Jornada: Exalta Saynez la lucha antinarco y descarta un pacto con sus operarios,2009-07-28,-0.2263,Jornada,-0.5574
"La Jornada: El recorte era inminente, ante el mal cálculo de Pemex en ventas",2009-07-28,-0.4404,Jornada,-0.2732
La Jornada: Legislar para evitar excesos en uso de medios,2009-07-28,0.296,Jornada,-0.296
La Jornada: Calderón debe valorar cambios en el gabinete para dar soluciones: Paredes Rangel,2009-07-28,0.1779,Jornada,0.1779
La Jornada: Urge mejorar el Procampo: diputados,2009-07-28,0.296,Jornada,0.5719
La Jornada: Calderón vaticina nuevo ánimo nacional gracias al triunfo de la selección de futbol,2009-07-28,0.9153,Jornada,0.7184
La Jornada: Estudiantes de Acatlán se quejan de problemas en inscripción por Internet,2009-07-28,-0.8934,Jornada,-0.6369
La Jornada: Desigualdad frena acceso a la salud,2009-07-28,-0.296,Jornada,0.0
La Jornada: Concurso para plazas docentes: aprobará quien acierte un tercio de las respuestas,2009-07-28,-0.5574,Jornada,0.0
La Jornada: Indultan en Colombia a narcohipopótamo,2009-07-28,-0.8555,Jornada,0.0
La Jornada: Acepta la SEP diálogo con aspirantes excluidos de la educación superior,2009-07-28,-0.296,Jornada,-0.0258
La Jornada: Rebrota influenza A,2009-07-28,-0.765,Jornada,0.0
La Jornada: Minimiza el PRD irregularidades en la consulta interna de Tabasco,2009-07-28,-0.296,Jornada,0.0
La Jornada: Protestan burócratas de Tlalnepantla,2009-07-28,0.0,Jornada,-0.25
La Jornada: Aguascalientes: prevén partidización del IEE,2009-07-28,0.0,Jornada,0.0
La Jornada: Deslave deja aisladas rancherías en Chiapas,2009-07-28,0.0,Jornada,-0.3182
La Jornada: Hipotecas ahorcan a jaliscienses,2009-07-28,-0.6808,Jornada,0.0
La Jornada: Alerta en playas de Guerrero y Sinaloa,2009-07-28,0.34,Jornada,0.296
La Jornada: Colonos de Edomex exigen regularizar suministro de electricidad,2009-07-28,0.25,Jornada,-0.128
La Jornada: Colonos de Ecatepec paran construcción de viviendas,2009-07-28,0.0,Jornada,-0.296
La Jornada: Busca el PRI anular elección en Sonora,2009-07-28,0.0,Jornada,0.0
La Jornada: Roban $8 millones y matan a guardia,2009-07-28,0.0,Jornada,-0.8519
La Jornada: Propone Raúl Arias descentralizar la UV,2009-07-28,0.0772,Jornada,0.0
La Jornada: Niña tarahumara gana olimpiada educativa,2009-07-28,0.0258,Jornada,0.5719
La Jornada: Ejidatarios de Oaxaca se alistan para luchar contra presa de CFE,2009-07-28,0.2732,Jornada,-0.1027
La Jornada: El Ejército trata a inocentes como capos,2009-07-28,-0.2732,Jornada,0.2732
La Jornada: Excluyen a afectados por Picachos de reunión con el gobernador de Sinaloa,2009-07-28,-0.6808,Jornada,-0.3612
La Jornada: Presentan 167 amparos contra ley antiaborto en Guanajuato,2009-07-28,-0.9623,Jornada,0.0
La Jornada: Ofrece Teresa Vicencio salvaguardar y promover el patrimonio artístico,2009-07-28,-0.296,Jornada,0.5574
"La Jornada: Muere a los 90, el coreógrafo Merce Cunningham, visionario de la danza",2009-07-28,-0.6808,Jornada,-0.128
"La Jornada: Inauguran Cuba, imagen y posibilidad, un testimonio visual de acciones colectivas",2009-07-28,0.9153,Jornada,0.0
La Jornada: Abuchean a bisnieta de Wagner por modificar ópera del autor,2009-07-28,0.3612,Jornada,0.0
La Jornada: Recibe el nicaragüense Ernesto Cardenal el Premio Iberoamericano Pablo Neruda,2009-07-28,-0.1027,Jornada,0.5106
La Jornada: México debe impulsar en la ONU resolución contra los golpistas: grupos pro derechos,2009-07-28,-0.34,Jornada,0.4019
La Jornada: Desmantela EU letrero de propaganda en la sede de intereses de Washington en La Habana,2009-07-28,-0.4939,Jornada,-0.25
La Jornada: Cóndor: pide fiscal detener a 28 militares argentinos,2009-07-28,0.8126,Jornada,-0.34
"La Jornada: Zelaya y golpistas mantienen sus posiciones, a un mes del golpe",2009-07-28,-0.3612,Jornada,0.0
La Jornada: Obama pide más cooperación a China,2009-07-28,0.0,Jornada,0.0
La Jornada: Canción por Internet se burla de Putin,2009-07-28,0.0,Jornada,0.5106
La Jornada: Reitera EU su desaprobación a la presencia del presidente hondureño en la frontera,2009-07-28,-0.8658,Jornada,0.0
La Jornada: Sarkozy sale del hospital tras desmayo,2009-07-28,-0.296,Jornada,0.0
La Jornada: Descubren a las FARC lanzacohetes que Suecia vendió a Venezuela en 1980,2009-07-28,-0.5574,Jornada,0.0
La Jornada: Condena de la CIDH,2009-07-28,-0.8979,Jornada,-0.5859
La Jornada: Ayatola iraní libera a presos políticos,2009-07-28,-0.5859,Jornada,-0.5106
La Jornada: Atacan a camarógrafo de Gigavisión en la ciudad boliviana de La Paz,2009-07-28,0.5423,Jornada,-0.4588
La Jornada: Nigeria: continúan enfrentamientos,2009-07-28,0.0,Jornada,-0.3612
"La Jornada: Reformas a leyes nicaragüenses criminalizan el aborto, advierte AI",2009-07-28,0.8176,Jornada,-0.1027
La Jornada: Casi 21 mil empresas del país recibieron $9 mil 448 millones,2009-07-28,0.0,Jornada,0.0
La Jornada: Persiste la depresión petrolera,2009-07-28,0.6369,Jornada,-0.5719
"La Jornada: El gasto corriente es elevado y opaco, en detrimento de la inversión: Coparmex",2009-07-28,0.4019,Jornada,0.0
"La Jornada: China, importante en la reanudación del crecimiento: Geithner",2009-07-28,-0.296,Jornada,0.5267
La Jornada: Nueva embestida de la Canitec contra Telmex,2009-07-28,0.0,Jornada,0.0
La Jornada: Caen 3.5% ventas de Soriana pero logra elevar ganancias,2009-07-28,-0.3612,Jornada,0.5927
La Jornada: Tendrá el recorte de $85 mil millones un impacto nocivo sobre el PIB: expertos,2009-07-28,0.6124,Jornada,-0.2732
La Jornada: Grupo Posadas cuestiona solicitud de la CNBV,2009-07-28,0.0,Jornada,0.0
La Jornada: Logró Gruma otra prórroga para pagar su deuda por 726.6 mdd,2009-07-28,0.0,Jornada,-0.4404
"La Jornada: Precios de alimentos en México, 135% superiores a la inflación",2009-07-28,-0.8689,Jornada,0.0
"La Jornada: Para 2100, el nivel del mar subirá centímetros, no metros, dice estudio",2009-07-28,-0.296,Jornada,0.0
"La Jornada: Altamente asimétrica, presencia de miembros del SNI en el país",2009-07-28,0.1531,Jornada,0.0
La Jornada: Concluyen tripulantes del Endevour salidas espaciales,2009-07-28,0.0,Jornada,0.0
