article,pub_date,nltk_score,source,nltk_score_title
Schwarzenegger Replaces Most of State Nursing Board,2009/07/13,-0.9418,ProPublica,0.0
Democrats Call for Studies as Industry Assails Proposals to Regulate Hydraulic Fracturing,2009/07/13,0.9957,ProPublica,0.0
Are Stimulus Funds Coming to an Airport by You?,2009/07/13,0.8962,ProPublica,0.0
Tiny Airports Take Off With Stimulus,2009/07/13,0.9882,ProPublica,0.0
Tiny Airports Take Off With Stimulus,2009/07/13,0.6326,ProPublica,0.0
Troubled Nursing Board Defends Itself,2009/07/13,0.9154,ProPublica,-0.4588
Tools and Resources for Reporting the Stimulus,2009/07/13,0.9988,ProPublica,0.0
Recommended Reading,2009/07/13,0.9455,ProPublica,0.2023
Adventures in Stimulus Tracking,2009/07/13,0.9692,ProPublica,0.34
Are We There Yet?,2009/07/13,0.4137,ProPublica,0.0
Large Bailed-Out Bank Struggles to Survive,2009/07/13,0.9491,ProPublica,-0.3612
