article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Quiere el PRD que comparezca Cecilia Romero,2009-06-28,-0.9584,Jornada,0.0
La Jornada: Son ya 94 los agentes hidalguenses arraigados; les buscan nexos con zetas,2009-06-28,0.34,Jornada,0.0
La Jornada: Pide PRD al IFE el retiro de otra remesa de espots televisivos en favor del Verde,2009-06-28,-0.7184,Jornada,0.4019
La Jornada: Sindicatos organizan paro nacional,2009-06-28,0.1779,Jornada,-0.4404
"La Jornada: Cesar uso de la justicia con objetivos electorales, exige el PRD al Presidente",2009-06-28,-0.7717,Jornada,0.5267
La Jornada: Calderón y Fidel Herrera trafican con la pobreza; son igual de inmorales,2009-06-28,-0.7003,Jornada,-0.743
La Jornada: La Opddic no ha logrado asumir el control de Bachajón pese a privilegios dados por el gobierno,2009-06-28,0.6908,Jornada,-0.6688
La Jornada: Conmemoran los 101 años de Allende,2009-06-28,0.7096,Jornada,0.0
La Jornada: Formal prisión a coordinadora de guarderías del IMSS; no logra fianza,2009-06-28,-0.765,Jornada,-0.5106
"La Jornada: Bours: panistas, gavilla de atracadores; en Sonora hay desgobierno, revira el PAN",2009-06-28,-0.9792,Jornada,0.0
La Jornada: Vera: hay que exigir referendo y plebiscito,2009-06-28,0.0,Jornada,-0.128
La Jornada: Nueva marcha por la justicia estremece calles de Hermosillo,2009-06-28,-0.5637,Jornada,0.5267
"La Jornada: Calderón, oscurantista; alienta educación confesional: legisladores",2009-06-28,-0.9169,Jornada,0.4404
La Jornada: Panistas cierran filas en defensa de las declaraciones presidenciales,2009-06-28,-0.8658,Jornada,0.128
La Jornada: Refrenda Paredes Rangel compromiso del Revolucionario Institucional con indígenas,2009-06-28,0.5423,Jornada,0.3818
"La Jornada: Capturan a El 34, ex policía presunto instructor de sicarios de los Beltrán Leyva",2009-06-28,0.7003,Jornada,0.0
La Jornada: Se informó al GDF de acciones anticrimen de Ejército y PGR,2009-06-28,-0.93,Jornada,0.0
"La Jornada: Acreditados, 98% de funcionarios de casilla",2009-06-28,0.0,Jornada,0.0
"La Jornada: Plagio, realidad innegable que afecta en México a ricos y pobres: senador Toledo",2009-06-28,0.296,Jornada,0.128
La Jornada: Cierra la Sedeso 156 estancias infantiles; refuerza la seguridad,2009-06-28,-0.4588,Jornada,0.34
La Jornada: Juzgará Corte Interamericana al Estado mexicano,2009-06-28,0.1779,Jornada,0.0
"La Jornada: La drogadicción juvenil, por falta de oportunidades, no por ateísmo",2009-06-28,-0.5267,Jornada,0.0772
La Jornada: Exigen mejores condiciones para profesores rurales,2009-06-28,-0.9062,Jornada,0.34
La Jornada: Demandan al gobierno garantizar acceso universal al bachillerato,2009-06-28,-0.6808,Jornada,0.128
La Jornada: Construirán espacios para reubicar a ambulantes desalojados de Filosofía,2009-06-28,-0.296,Jornada,0.0
"La Jornada: ¡Ni un voto al PAN!, corean miles en la Marcha del hartazgo en Jalisco",2009-06-28,-0.9001,Jornada,0.0
La Jornada: Aspirante en Campeche denuncia injerencia del PRI en comicios,2009-06-28,-0.5267,Jornada,-0.4404
"La Jornada: Tras ataque, sale ilesa candidata de Acción Nacional en Hidalgo",2009-06-28,-0.7906,Jornada,-0.4767
La Jornada: Cartones,2009-06-28,0.0,Jornada,0.0
La Jornada: Maestros promueven cero sufragios al blanquiazul y al Panal en Morelos,2009-06-28,0.0516,Jornada,0.3818
La Jornada: Partidos comienzan hoy clausura de campañas en NL,2009-06-28,0.4767,Jornada,0.4019
La Jornada: Cildo Meireles hará su única parada latinoamericana en el MuAC,2009-06-28,-0.6808,Jornada,-0.296
La Jornada: Literatura para adolescentes,2009-06-28,0.4939,Jornada,0.0
La Jornada: ¿Y cuando cumplas 64 años?,2009-06-28,0.2023,Jornada,0.0
La Jornada: El niño que fuimos,2009-06-28,0.4091,Jornada,0.0
"La Jornada: Ohdios exhibe los anacronismos, misoginia y horror al placer de la Iglesia católica",2009-06-28,0.8731,Jornada,0.0
La Jornada: Dos generaciones confrontan sus miradas sobre moda e identidad,2009-06-28,-0.8074,Jornada,-0.1779
"La Jornada: Todo puede remendarse, menos el corazón",2009-06-28,-0.5267,Jornada,0.0
La Jornada: Desconoce la Caniem la realidad en cifras de la industria editorial del país,2009-06-28,-0.4404,Jornada,-0.2023
La Jornada: El sueño de los muralistas posrevolucionarios no se cumplió ni tantito: Helguera,2009-06-28,0.9584,Jornada,-0.0854
La Jornada: Rechaza Musavi poner fin a las protestas por el presunto fraude electoral en Irán,2009-06-28,-0.7783,Jornada,-0.836
La Jornada: Filtra la dirigencia de Cuba pruebas contra los funcionarios destituidos,2009-06-28,0.765,Jornada,0.0
La Jornada: Impulsan derecha y clero campaña contra la convocatoria hoy a una Asamblea Constituyente,2009-06-28,0.5994,Jornada,0.3612
La Jornada: Resurge en Argentina la derecha golpista; pretende reinstalar esquemas neoliberales,2009-06-28,-0.1779,Jornada,0.0
La Jornada: Líos de faldas de políticos conservadores en Estados Unidos ponen a temblar al sistema,2009-06-28,-0.9022,Jornada,0.2732
"La Jornada: La recuperación económica no está asegurada, advierte Guillermo Ortiz",2009-06-28,-0.25,Jornada,-0.2057
La Jornada: Apuestan a la producción de vinos en armonía con la naturaleza y la gente,2009-06-28,0.0,Jornada,0.4019
La Jornada: Alerta la CNBV de captación ilegal de ahorros por firmas no reguladas,2009-06-28,-0.7906,Jornada,-0.34
La Jornada: Cartones,2009-06-28,0.0,Jornada,0.0
