article,pub_date,nltk_score,source,nltk_score_title
La Jornada: I've had enough of silence; They have all betrayed me,2009-03-16,-0.9842,Jornada,-0.6124
La Jornada: SG analyzes with society the Plan Mérida,2009-03-16,-0.296,Jornada,0.0
"La Jornada: It will be approved, but not as the Executive sent it: tricolor",2009-03-16,0.2732,Jornada,0.2263
La Jornada: Arraigan to presumed assassin of general,2009-03-16,-0.34,Jornada,0.0
La Jornada: The STPS tries to avoid the strike in LFC,2009-03-16,-0.296,Jornada,-0.4019
"La Jornada: The PAN is behind, admits Martinez",2009-03-16,-0.7845,Jornada,0.296
La Jornada: The Church asks to punish with the PRI vote for not supporting law of extinction of dominion,2009-03-16,0.128,Jornada,-0.7009
La Jornada: SSP: the price of cocaine increased 90% in 9 months,2009-03-16,0.3182,Jornada,0.2732
La Jornada: Only 39.2% of the 11 thousand 507 government buildings are in the Public Registry,2009-03-16,-0.3612,Jornada,0.0
La Jornada: Mexico makes the first exchange of prisoners with the United States this year,2009-03-16,-0.8885,Jornada,-0.128
La Jornada: Protest against military bishopric,2009-03-16,0.0,Jornada,-0.25
La Jornada: Academics of Chapingo raise their unemployment,2009-03-16,-0.3612,Jornada,-0.4404
"La Jornada: Shame on Mexican diplomacy, they point out in colloquium",2009-03-16,-0.8591,Jornada,-0.4767
"La Jornada: By the end of the year, there will be 40 Health Offices in consulates, announces SSA",2009-03-16,-0.4215,Jornada,0.0
La Jornada: Cisen ghost area imported the Learjet 45 in which Mouriño died,2009-03-16,-0.872,Jornada,-0.7096
La Jornada: Five thousand more soldiers arrive in Ciudad Juárez; Will attack common law crimes,2009-03-16,0.3612,Jornada,-0.4767
La Jornada: Cancel night meeting in the PRD to analyze their elections,2009-03-16,-0.8834,Jornada,-0.25
The Journey: Opinion,2009-03-16,-0.9572,Jornada,0.0
La Jornada: Report irregularities in Zacatecas,2009-03-16,0.3818,Jornada,0.0
La Jornada: PRI interference and abstention in PRD interns in Edomex,2009-03-16,-0.6249,Jornada,0.0
La Jornada: Names the PRI candidates in Jalisco,2009-03-16,-0.296,Jornada,0.0
La Jornada: Denying pre-release to 250 prisoners in Durango,2009-03-16,0.0,Jornada,-0.6908
La Jornada: The electoral process starts in Tabasco,2009-03-16,0.0,Jornada,0.0
La Jornada: New political grouping in Querétaro,2009-03-16,-0.5106,Jornada,0.0
La Jornada: Cures should speak indigenous languages,2009-03-16,0.0,Jornada,0.0
"La Jornada: Without clarification, irregular use of the treasury in Querétaro",2009-03-16,-0.2732,Jornada,0.2023
"La Jornada: Regidores set up accounts in exchange for $ 50,000 bonds",2009-03-16,0.0,Jornada,0.0
La Jornada: Favorite of the Mouriño triumphs in the internal PAN in Campeche,2009-03-16,-0.7351,Jornada,0.7184
La Jornada: Opositor to La Parota chairs curatorate,2009-03-16,0.4939,Jornada,0.0
La Jornada: The church of the tv program,2009-03-16,0.0,Jornada,0.0
La Jornada: Announcement of payment strike to CFE,2009-03-16,0.0,Jornada,-0.128
La Jornada: March for child custody in Brazil,2009-03-16,-0.3612,Jornada,0.0
The Day: Chavez denies having promised Russia to install a military base in Venezuela,2009-03-16,0.0,Jornada,-0.0772
The Journey: Explosion in Yemen; 4 tourists killed,2009-03-16,0.0,Jornada,-0.6705
"La Jornada: Peru: daughter of Fujimori, favorite in polls",2009-03-16,0.25,Jornada,0.4588
La Jornada: Kill four people and commit suicide,2009-03-16,0.0,Jornada,-0.8402
La Jornada: Young police officers are ambushed in French town; More than 20 wounded soldiers,2009-03-16,-0.1027,Jornada,0.0
La Jornada: Leftist Funes proclaims victory with 51.27% of votes in El Salvador,2009-03-16,-0.9413,Jornada,0.0
"La Jornada: Stupid, that the right uses me to put fear to the towns: Hugo Chavez",2009-03-16,-0.7506,Jornada,-0.765
La Jornada: NATO supplies destroyed in Peshawar,2009-03-16,-0.6705,Jornada,-0.4939
La Jornada: Debate in Germany on possession of weapons,2009-03-16,-0.9578,Jornada,-0.4404
The Journey: Israel: Likud pact and right-wingers,2009-03-16,0.6808,Jornada,0.0
La Jornada: Ask Lugo respectful relationship with US,2009-03-16,0.0,Jornada,0.4588
La Jornada: Llama Francisco Santos to evaluate the cost and end with the Plan Colombia,2009-03-16,-0.4767,Jornada,0.0
La Jornada: Terrorists against peace in Ulster: authority,2009-03-16,0.0,Jornada,-0.0772
La Jornada: Judge Chaudhry is restored in Pakistan,2009-03-16,0.6249,Jornada,0.34
La Jornada: Detects the ASF irregularities for $ 63 million in tourism sector,2009-03-16,0.0,Jornada,0.0
La Jornada: Consumer prices already resent the weakness of the exchange rate,2009-03-16,-0.7269,Jornada,-0.5423
La Jornada: OPEC will not change its oil production targets,2009-03-16,0.0,Jornada,0.0
La Jornada: Private corporate $ 400 billion pension fund,2009-03-16,0.0,Jornada,0.0
La Jornada: 10% sales of Aeromexico on international flights fell so far this year,2009-03-16,0.0,Jornada,0.0
La Jornada: There is electoral interest in promoters of more regulation,2009-03-16,0.9628,Jornada,0.4588
La Jornada: AIG reveals payments of 90 thousand mdd to banks,2009-03-16,0.0,Jornada,0.0
"La Jornada: The recession will end this year, says Bernanke",2009-03-16,-0.4215,Jornada,-0.4215
La Jornada: In 2007 Pemex did not receive $ 25 thousand 601 million that it obtained abroad: ASF,2009-03-16,-0.4019,Jornada,0.0
"La Jornada: Young people under 20, those most affected by unemployment",2009-03-16,0.0772,Jornada,-0.6195
"La Jornada: The SEP caused the loss to the treasury for $ 11.5 million, infers the ASF",2009-03-16,-0.0516,Jornada,-0.128
La Jornada: The crisis has already laid the foundations for a student mobilization,2009-03-16,-0.5106,Jornada,-0.6249
"La Jornada: The country wins protecting mangroves, despite criticism in the tourism sector: Semarnat",2009-03-16,-0.0516,Jornada,0.7274
La Jornada: Institutions of Mexico support literary creation: Poniatowska,2009-03-16,-0.7351,Jornada,0.5859
La Jornada: The red book testifies that the presence of crime has been the same for centuries,2009-03-16,-0.891,Jornada,-0.5423
"The Journey: Systole and diastole, record of the brokenness and evils of the heart",2009-03-16,-0.9153,Jornada,-0.5719
La Jornada: The Prado Museum succumbs to Bacon's pictorial philosophy,2009-03-16,-0.9709,Jornada,0.0
The Journey: Germany takes away from the conventional cultural circuit the festival of the Historical Center,2009-03-16,0.4939,Jornada,0.4939
