article,pub_date,nltk_score,source,nltk_score_title
Treasury Doles out $395 Million More,2009/03/03,0.8107,ProPublica,0.2023
Bush Admin Quietly Rejected Own ‘Highly Questionable’ Counterterrorism Stances,2009/03/03,-0.952,ProPublica,-0.5106
Introducing Our Stimulus Blog,2009/03/03,0.5994,ProPublica,0.0
Pharma Ties at Harvard Medical School,2009/03/03,0.9874,ProPublica,0.0
Diagnosing the New Health Czar’s Industry Ties,2009/03/03,0.6369,ProPublica,0.0
Stimulus Fixin’ to Be a Fight in Texas,2009/03/03,-0.8817,ProPublica,-0.3818
Get Your Stimulus Roundup,2009/03/03,0.7152,ProPublica,0.0
Stimulus Fixin’ to Be a Fight in Texas,2009/03/03,-0.8817,ProPublica,-0.3818
Tracking Whitehouse.gov’s New Iraq Page,2009/03/03,0.0,ProPublica,0.0
Chart: Obama Tracks Bush on National Security Cases,2009/03/03,-0.5945,ProPublica,0.34
