article,pub_date,nltk_score,source,nltk_score_title
"La Jornada: Internet trials to accelerate tax litigation, Calderón says",2009-03-29,0.7906,Jornada,-0.2023
La Jornada: At least 18 killed on the violent sabatina day,2009-03-29,-0.6124,Jornada,-0.8555
La Jornada: From Chavela Vargas to Calderón and Arias,2009-03-29,0.0,Jornada,0.0
La Jornada: Calderon to meet with energy sector businessmen during a visit to London,2009-03-29,0.0258,Jornada,0.2732
La Jornada: Arrested cameramen released,2009-03-29,0.8402,Jornada,-0.4767
La Jornada: Panamanians today elect candidates for deputies in 97 unreserved districts,2009-03-29,0.7096,Jornada,0.0
La Jornada: 70 NGO programs for the release of Atenco prisoners,2009-03-29,0.7845,Jornada,-0.5106
La Jornada: Pugna between tribes entrap in the PRD the approval of candidates,2009-03-29,0.5423,Jornada,0.4767
La Jornada: Project of the Executive attacks against companies of the country and officials: PRD,2009-03-29,-0.8979,Jornada,-0.4404
La Jornada: PSD criticizes IFE's lukewarmness over contested green espot,2009-03-29,-0.743,Jornada,-0.34
La Jornada: New way to arbitrate the elections,2009-03-29,-0.7269,Jornada,0.0
La Jornada: The only woman identified as leader of a cartel is not among the most wanted,2009-03-29,-0.0516,Jornada,0.0
"La Jornada: ONG: omiso, the court that exonerated LEA",2009-03-29,-0.4854,Jornada,0.4215
"La Jornada: Fiasco, asphalt works on the Tlapa-Alcozauca road: edil",2009-03-29,-0.296,Jornada,-0.5106
"La Jornada: In the Edomex, PRDs go on charges in other parties",2009-03-29,-0.7269,Jornada,0.1531
La Jornada: The albiazul negotiates with PRI several candidacies to the 72 municipalities of Sonora,2009-03-29,-0.5994,Jornada,0.0
La Jornada: New law forces Sinaloa bureaucrats to contribute to their pensions,2009-03-29,0.7506,Jornada,0.0
La Jornada: INAH: Sonora government may demolish mansions of historic and architectural value,2009-03-29,-0.7783,Jornada,0.34
"La Jornada: Estrada Cajigal renounces the PAN; Leaders turn away from causes they fought for, says",2009-03-29,-0.7717,Jornada,-0.3182
"La Jornada: People of Chamula demand fair rates of electric energy; Your receipts, up to $ 3 thousand",2009-03-29,-0.6908,Jornada,0.4404
La Jornada: Retired teacher in Hidalgo demands car he won last year in a raffle,2009-03-29,-0.235,Jornada,0.5719
"La Jornada: Protests in London, Berlin, Frankfurt, Vienna and Paris against poverty and the Group of 20",2009-03-29,-0.9169,Jornada,-0.6369
Pakistani troops destroy Taliban hideouts in Mohmand and kill 26 rebels,2009-03-29,-0.6369,Jornada,-0.875
La Jornada: Chinese hackers blamed for cybernetic web of world espionage,2009-03-29,-0.7269,Jornada,-0.4767
La Jornada: Álvaro Uribe dismissed the possibility of entering into talks with the FARC,2009-03-29,-0.2023,Jornada,0.0
"La Jornada: Barack Obama will not lift the embargo on Cuba, announces Joe Biden in Chile",2009-03-29,-0.8402,Jornada,0.0
The Day: Russia and the United States will endorse bilateral cooperation in London this week,2009-03-29,-0.5267,Jornada,0.6249
La Jornada: The IDB analyzes the global economic crisis and its impact on Latin America and the Caribbean,2009-03-29,-0.4019,Jornada,-0.6249
The Day: Russia supports Chinese currency plan,2009-03-29,-0.296,Jornada,0.3612
"La Jornada: Colombia returns to the US a shipment of 6,500 tons of rice plagued",2009-03-29,0.5267,Jornada,0.0
La Jornada: Apremia Canacintra to take advantage of the six refineries that already exist in the country,2009-03-29,0.296,Jornada,0.25
La Jornada: Constant collapse of development bank financing to MSMEs,2009-03-29,0.1027,Jornada,-0.4939
"La Jornada: Proof of resistance to US banks may worsen recession, alert",2009-03-29,-0.4588,Jornada,-0.5994
The Day: China urges reform of the international financial system to avoid more crises like the current one,2009-03-29,0.5386,Jornada,0.1477
"La Jornada: Fall of more than 5% of GDP in the first quarter, analysts predict",2009-03-29,-0.93,Jornada,0.0
La Jornada: Stories of death and fortune in gold mines of the Orinoco,2009-03-29,-0.6597,Jornada,-0.5994
La Jornada: Fulfill the DF with 60 minutes of darkness to save the Earth,2009-03-29,0.0258,Jornada,0.6249
La Jornada: Employers of the nuclear industry will be presented tomorrow,2009-03-29,-0.2732,Jornada,0.0
La Jornada: Tourist sites and homes in 90 countries turned off the light for Earth Hour,2009-03-29,0.8316,Jornada,0.0
"La Jornada: The Ecosad is an authentic national educational effort, says Rosaura Ruiz, from UNAM",2009-03-29,-0.5719,Jornada,0.0
La Jornada: Ask the director of Colpos workers to revalue the offer of wage increase,2009-03-29,-0.296,Jornada,0.3182
"La Jornada: The legal framework for biotechnology drugs, ready to be ready",2009-03-29,-0.4588,Jornada,0.6705
La Jornada: Colombian had eight children with his own daughter,2009-03-29,-0.25,Jornada,0.0
La Jornada: Campaign of smear: union,2009-03-29,-0.3182,Jornada,-0.3612
La Jornada: DF: auction of Kahlo's manuscript and photos of Rivera,2009-03-29,0.1779,Jornada,0.0
La Jornada: A space is born for the performing arts and the formation of new audiences,2009-03-29,0.3182,Jornada,0.0
Holy Randomness addresses chance in an ancient city,2009-03-29,-0.9571,Jornada,0.25
La Jornada: Insta Calderón that the signal of Channel 11 is seen in the whole country,2009-03-29,0.0,Jornada,0.0
The Journey: Inexhaustible knight-errant,2009-03-29,0.0258,Jornada,0.0
La Jornada: Today ends the first season of the OSJCH,2009-03-29,-0.296,Jornada,0.0
La Jornada: Navigating in circles,2009-03-29,0.3818,Jornada,0.0
La Jornada: The emergence of a vocation,2009-03-29,0.0,Jornada,0.0
La Jornada: Reend Alicia Alonso's Giselle its insurmountable character,2009-03-29,0.765,Jornada,0.0
La Jornada: Condemning Encounter of Writers on Earth mean use of water,2009-03-29,-0.0516,Jornada,0.0
"La Jornada: The great bang, short winner of the Festival of the Historical Center",2009-03-29,0.0,Jornada,0.9022
La Jornada: The caretaker of a globe-trotting pachyderm,2009-03-29,0.765,Jornada,0.0
La Jornada: We are on the threshold of the rebirth of the harpsichord,2009-03-29,-0.128,Jornada,0.0
The Journey: Deep Gathering,2009-03-29,-0.6705,Jornada,0.0
