article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Reportan primeros casos en Quintana Roo y Colima,2009-05-02,-0.9042,Jornada,0.0
"La Jornada: Detenidos durante abril, 57 narcos",2009-05-02,-0.5574,Jornada,-0.4767
La Jornada: Arraigan a 12 elementos de la AFI tras intento de rescate de El Primo,2009-05-02,0.34,Jornada,0.5106
La Jornada: En Tlaxcala detienen a 51 indocumentados,2009-05-02,0.0,Jornada,-0.4767
La Jornada: Reconoce el centro Juan Gerardi labor del obispo Raúl Vera López,2009-05-02,0.8402,Jornada,0.0
La Jornada: Señales alentadoras: Ssa; nueva ola de cifras sobre virus porcino,2009-05-02,-0.7906,Jornada,0.5267
La Jornada: Sólo los intrépidos desafiaron la alerta sanitaria en el Distrito Federal,2009-05-02,-0.7096,Jornada,0.2023
La Jornada: Desplazan a los García Ábrego en liderato del cártel del Golfo,2009-05-02,0.34,Jornada,0.0
"La Jornada: Dóciles, los legisladores aprobaron lo pactado",2009-05-02,-0.6705,Jornada,0.5994
La Jornada: Culpa Córdova a los estados del caos en cifras sobre muertos y enfermos,2009-05-02,-0.5423,Jornada,-0.9337
La Jornada: Considera el SNTE que se postergará regreso a clases,2009-05-02,-0.5106,Jornada,-0.2023
La Jornada: Alerta Porfirio Muñoz Ledo contra manipulación oficial por la influenza,2009-05-02,-0.7351,Jornada,0.296
La Jornada: Por 14 años La Gloria ha vivido con miedo por la contaminación de Granjas Carroll,2009-05-02,-0.9432,Jornada,-0.4939
La Jornada: Ocasionará la emergencia una pérdida de confianza mutua,2009-05-02,-0.9803,Jornada,-0.1531
"La Jornada: Municipio de Durango, sin policías; dejan trabajo por miedo a represalias",2009-05-02,0.34,Jornada,-0.4682
La Jornada: La OMS ordenó llamar al nuevo mal influenza humana: Córdova Villalobos,2009-05-02,-0.2263,Jornada,0.0
"La Jornada: Los partidos, renuentes a ceder parte de su tiempo oficial en radio y tv por la epidemia",2009-05-02,0.8481,Jornada,0.1779
La Jornada: Exige Calderón corresponsabilidad global frente a la epidemia de influenza humana,2009-05-02,0.1027,Jornada,0.0
"La Jornada: Se ignora el poder de contagio de la influenza, señala experto",2009-05-02,0.1376,Jornada,-0.4588
La Jornada: Lezana se retracta de señalamientos contra organismos,2009-05-02,-0.5574,Jornada,0.0
La Jornada: Inquietante normalidad viven zapatistas en torno a zona de balnearios fluviales,2009-05-02,-0.128,Jornada,-0.2732
La Jornada: OMS: sólo en México y EU hay propagación masiva del virus,2009-05-02,-0.8402,Jornada,0.0
