article,pub_date,nltk_score,source,nltk_score_title
Most Stimulus Money for Repaving Roads,2009/05/05,0.7717,ProPublica,0.0
Justice Denied: Debbie Shaw’s Story,2009/05/05,-0.9963,ProPublica,0.128
Delayed Justice: Kellie Greene’s Story,2009/05/05,-0.9992,ProPublica,0.3612
Will $120 Billion in Remaining Bailout Funds Last?,2009/05/05,-0.7233,ProPublica,-0.1027
Morning Cup: Mixed Roast,2009/05/05,0.8505,ProPublica,0.0
Political Pull in Pennsylvania?,2009/05/05,0.8757,ProPublica,0.0
Bailout for Breakfast: The Stress Test 10?,2009/05/05,-0.262,ProPublica,-0.4939
"Tortured Profession: Psychologists Warned of Abusive Interrogations, Then Helped Craft Them",2009/05/05,-0.9998,ProPublica,-0.872
The DNA Flood: FBI’s DNA Workload Keeps Growing,2009/05/05,0.2263,ProPublica,0.1779
The DNA Debacle: How the Federal Government Botched the DNA Backlog Crisis,2009/05/05,-0.9996,ProPublica,-0.6249
Where States Stand on DNA Collection,2009/05/05,0.7136,ProPublica,0.0
The Small World of DNA Testing,2009/05/05,0.5106,ProPublica,0.0
Gordon Thomas Honeywell’s Role in DNA Policy: Past vs. Present,2009/05/05,0.8402,ProPublica,0.0
