article,pub_date,nltk_score,source,nltk_score_title
"La Jornada: Dentro de la ley, el blindaje en Garza García, recula el alcalde",2009-11-13,-0.1531,Jornada,0.0
La Jornada: Nada temo: Medina Mora,2009-11-13,-0.8442,Jornada,-0.4939
La Jornada: La CFE necesitará unos $5 mil millones para modernizar redes eléctricas de la zona centro,2009-11-13,0.0,Jornada,0.0
La Jornada: Rechaza el Senado el megapuente que fue aprobado por los diputados,2009-11-13,-0.5106,Jornada,-0.1027
La Jornada: ¡Basta ya! de la CEM a implicados en negocio sucio del narcotráfico,2009-11-13,-0.9552,Jornada,-0.4926
La Jornada: Exige AI a México la liberación inmediata del activista guerrerense Raúl Hernández,2009-11-13,-0.8402,Jornada,0.0
La Jornada: Ahora que la FAM pretende renovar su flota no puede adquirir aviones Pilatus C-9,2009-11-13,0.6124,Jornada,0.0
La Jornada: Militares intentan catear casa de activista,2009-11-13,0.0,Jornada,0.0
La Jornada: Aboga Fox por el retorno del Ejército a los cuarteles,2009-11-13,0.1531,Jornada,0.0
La Jornada: Gobernadores priístas y panistas frenan negociación del PEF 2010 en San Lázaro,2009-11-13,0.765,Jornada,-0.296
La Jornada: Solicita el SME a diputados mantener la partida presupuestal para LFC,2009-11-13,-0.7269,Jornada,0.0
"La Jornada: El SME, sin apoyo para una huelga nacional, dice Lozano",2009-11-13,-0.7579,Jornada,-0.4133
La Jornada: Cabildean consejeros para evitar que el recorte afecte programas del IFE,2009-11-13,-0.5267,Jornada,-0.0516
La Jornada: Antidoping a recontratados en CFE,2009-11-13,-0.5859,Jornada,0.0
La Jornada: Nos estigmatizan por ser de LFC: trabajadores,2009-11-13,-0.6808,Jornada,0.0
La Jornada: Hoy se define la situación jurídica de los 11 electricistas detenidos,2009-11-13,-0.7906,Jornada,-0.3818
La Jornada: Comisión del SME acudirá a la sede de la OIT en Ginebra,2009-11-13,-0.9501,Jornada,0.0
"La Jornada: Liberados, agresores de adherentes de la otra campaña; amenazan a la comunidad",2009-11-13,0.1027,Jornada,-0.5423
"La Jornada: Dos agentes de Chihuahua, entre las 14 víctimas de la ola violenta de ayer",2009-11-13,0.3818,Jornada,-0.7351
La Jornada: Salen de la reserva de Montes Azules 13 familias del poblado Salvador Allende,2009-11-13,-0.1779,Jornada,0.0
