article,pub_date,nltk_score,source,nltk_score_title
"La Jornada: Al menos 15 líderes estudiantiles, en listado de sospechosos de la PGR",2009-10-06,0.6249,Jornada,-0.34
"La Jornada: México escala un sitio en el índice de desarrollo humano, revela el PNUD",2009-10-06,0.4404,Jornada,0.0
La Jornada: El sol azteca presentará esta semana su propuesta de paquete económico,2009-10-06,-0.8625,Jornada,0.0
La Jornada: El país corre riesgos muy grandes si no dan recursos adecuados a universidades: Tuirán,2009-10-06,-0.5423,Jornada,-0.4668
La Jornada: Calderón: no se vale oponerse a que haya mayor recaudación y pedir más presupuesto,2009-10-06,-0.9062,Jornada,-0.1695
La Jornada: Polariza al PRI la revisión del paquete económico enviado por Felipe Calderón,2009-10-06,-0.5574,Jornada,0.0
La Jornada: El IFE multará hoy al PRD con $976 mil por irregular informe en gastos de precampaña,2009-10-06,0.1027,Jornada,0.2023
La Jornada: Podrían abandonar la cárcel otros 31 sentenciados por la masacre de Acteal,2009-10-06,0.5423,Jornada,0.0
La Jornada: Decide hoy el Senado destinatario de la medalla Belisario Domínguez,2009-10-06,0.6369,Jornada,0.4767
"La Jornada: Ante la crisis, el IMSS promueve la necesidad de utilizar las reservas de los trabajadores",2009-10-06,0.25,Jornada,-0.4019
La Jornada: Repudian maestros comité espurio,2009-10-06,-0.296,Jornada,0.0
"La Jornada: Listos, expertos que analizarán boletas de 2009",2009-10-06,0.2732,Jornada,0.3612
La Jornada: Se suman relevos para la CNDH,2009-10-06,-0.5267,Jornada,0.4767
La Jornada: ¿Sabías que el Ejecutivo creó en dos años 54 mil puestos de alto nivel?,2009-10-06,0.0,Jornada,0.25
La Jornada: Gobernadores deben entregar fondos: CAP,2009-10-06,0.0,Jornada,0.0
"La Jornada: Me tiene totalmente sin cuidado la demanda de juicio político, señala el funcionario",2009-10-06,-0.9501,Jornada,-0.128
La Jornada: Exculpa Azuela a gobiernos de violar derechos durante el conflicto oaxaqueño,2009-10-06,-0.9738,Jornada,-0.5106
La Jornada: Llamarán al suplente de Godoy Toscano,2009-10-06,0.0,Jornada,0.0
La Jornada: Consuma Lozano embate contra el SME y desconoce a Esparza,2009-10-06,-0.5994,Jornada,-0.5574
La Jornada: Ejecutan de ocho balazos a mando policiaco en Saltillo,2009-10-06,0.3182,Jornada,0.0
La Jornada: El PT ofrece todo su apoyo a electricistas,2009-10-06,0.0,Jornada,0.4019
La Jornada: Sabines apoya el impuesto de 2%,2009-10-06,0.0,Jornada,0.3612
La Jornada: Alertan sobre dramáticos índices de hambre y pobreza alimentaria,2009-10-06,-0.8934,Jornada,-0.4767
La Jornada: Criminalización del aborto aproxima a México a un Estado totalitario: Valadés,2009-10-06,0.7783,Jornada,-0.4767
La Jornada: Puede negar Semarnat 31 permisos para sembrar maíz,2009-10-06,-0.296,Jornada,-0.34
La Jornada: Novena FIL de la ciudad de México,2009-10-06,0.3182,Jornada,0.0
La Jornada: Rechaza ANUIES propuesta de Conacyt sobre financiamiento a becas de posgrado,2009-10-06,0.128,Jornada,-0.4939
La Jornada: Deudos de niños muertos en guardería ABC cuestionan actuaciones judiciales,2009-10-06,-0.4767,Jornada,-0.6369
La Jornada: Políticos usan el cambio climático para manipular,2009-10-06,-0.9382,Jornada,0.0
"La Jornada: México, líder en consumo de huevo; error, sacarlo de la dieta: científicas",2009-10-06,0.0,Jornada,-0.4019
La Jornada: Dispersa la policía protesta en Temixco,2009-10-06,0.0,Jornada,-0.4767
"La Jornada: Colima, segundo lugar nacional en dengue",2009-10-06,0.0,Jornada,0.0
La Jornada: Admite Padrés crisis heredada por Bours,2009-10-06,-0.5859,Jornada,-0.4215
La Jornada: Anuncian en Juárez cierre de maquiladoras,2009-10-06,-0.0772,Jornada,0.0
La Jornada: Arrancan campañas en Coahuila,2009-10-06,0.0,Jornada,0.0
La Jornada: Ocupan perredistas sede en Veracruz,2009-10-06,0.0,Jornada,0.0
La Jornada: Construirá la Uach unidad en Chiapas,2009-10-06,0.4939,Jornada,0.0
La Jornada: Consejero panista denuncia acoso,2009-10-06,0.0,Jornada,-0.7506
La Jornada: Proponen panistas donativos a pobres,2009-10-06,0.0,Jornada,-0.4767
La Jornada: Se reduce extensión del lago de Pátzcuaro,2009-10-06,-0.34,Jornada,0.0
"La Jornada: La Secretaría de Educación de Morelos, infestada de aviadores",2009-10-06,0.296,Jornada,0.0
La Jornada: Piden $215 millones más para el Instituto Electoral Veracruzano,2009-10-06,-0.128,Jornada,0.0
La Jornada: Cierra Nayarit puertas a cítricos del sur de México,2009-10-06,0.4939,Jornada,0.0
La Jornada: El Museo del Prado abre 12 salas,2009-10-06,-0.4019,Jornada,0.0
La Jornada: El premio Turner desata de nuevo polémica por las obras finalistas,2009-10-06,0.8979,Jornada,0.5106
La Jornada: Nefertiti vuelve a su antiguo hogar en Berlín,2009-10-06,-0.5994,Jornada,0.0
La Jornada: Artista brasileño explora canales alternativos al mercado del arte,2009-10-06,-0.9217,Jornada,0.0
La Jornada: Abren muestra en París sobre el esplendor de Teotihuacán,2009-10-06,0.0,Jornada,0.6124
La Jornada: Debaten expertos sobre la fortaleza y vigencia de la novela corta en México y el mundo,2009-10-06,-0.7269,Jornada,0.4939
"La Jornada: Posada Carriles espió a sus aliados para la CIA, que le prometió un puesto en un régimen poscastrista",2009-10-06,-0.5423,Jornada,0.3612
La Jornada: Grupo de supermercados retira publicidad de Fox News; comentarista llamó racista a Obama,2009-10-06,-0.6369,Jornada,-0.6124
"La Jornada: Ganar tiempo, la estrategia de Micheletti para debilitar a Zelaya",2009-10-06,-0.926,Jornada,0.1531
La Jornada: Gira de Lula por Europa,2009-10-06,-0.7964,Jornada,0.0
La Jornada: Ejecutivo alemán sorprende con racismo,2009-10-06,0.0,Jornada,-0.4939
"La Jornada: Morales, favorito para elecciones en Bolivia",2009-10-06,0.6369,Jornada,0.4588
La Jornada: Prisión a 4 ex militares de Chile por homicidio,2009-10-06,-0.802,Jornada,-0.5106
La Jornada: Condenan a 5 años de prisión a expresidente de Costa Rica,2009-10-06,-0.959,Jornada,-0.5267
"La Jornada: Bombas supositorios, riesgo en aeropuertos",2009-10-06,0.34,Jornada,-0.2732
"La Jornada: Berlusconi, copartícipe en caso de corrupción",2009-10-06,0.0,Jornada,0.0
La Jornada: Atentado contra oficina del PMA en Pakistán; 5 muertos,2009-10-06,-0.34,Jornada,-0.8126
La Jornada: En 2010 diversificará el gobierno la colocación de bonos de deuda,2009-10-06,0.0,Jornada,-0.3612
La Jornada: Consenso de ministros para asegurar recursos al BM,2009-10-06,-0.7351,Jornada,0.34
La Jornada: Maravillas móviles,2009-10-06,0.0772,Jornada,0.4588
La Jornada: La demanda de trabajo migrante se relanzará al terminar la recesión,2009-10-06,-0.4404,Jornada,-0.5106
"La Jornada: El sector financiero contaminó la economía y ahora debe limpiarla, dice Stiglitz",2009-10-06,-0.8126,Jornada,-0.0772
La Jornada: Pagarán consumidores los nuevos impuestos a la telecomunicación,2009-10-06,0.0,Jornada,-0.1027
La Jornada: Se perdieron 155 mil empleos en la industria automotriz en 12 meses,2009-10-06,-0.8442,Jornada,-0.3182
La Jornada: Cae el número dos de Telecom Francia,2009-10-06,-0.7717,Jornada,0.0772
La Jornada: Galileo no desafió a la Iglesia; buscaba explicaciones: expertos,2009-10-06,-0.6486,Jornada,-0.0572
"La Jornada: Para tres biólogos de Estados Unidos, el Nobel de Medicina",2009-10-06,-0.9186,Jornada,0.7269
La Jornada: Usan nanopartículas para atacar el cáncer,2009-10-06,0.3182,Jornada,-0.8176
