article,pub_date,nltk_score,source,nltk_score_title
"La Jornada: En Cananea hay desesperación ante tantas arbitrariedades, advierte Gómez Urrutia",2010-04-23,-0.926,Jornada,-0.4522
"La Jornada: Sobreseída, la última orden de captura del fuero común contra Gómez Urrutia",2010-04-23,-0.6597,Jornada,0.0
"La Jornada: La guerra antinarco es real, no un problema de imagen",2010-04-23,-0.8979,Jornada,-0.3903
"La Jornada: Aprobar la ley de seguridad sin incluir el fuero militar, pide Gómez Mont al Senado",2010-04-23,-0.0516,Jornada,0.34
"La Jornada: Pemex, culpable de las explosiones de 1992 en Guadalajara: gobernador",2010-04-23,0.0,Jornada,-0.4215
La Jornada: El crimen convirtió a México en gran mercado para empresas de seguridad,2010-04-23,0.3182,Jornada,-0.2732
La Jornada: Exige UGOCP indagar a fondo la muerte de uno de sus líderes,2010-04-23,-0.886,Jornada,-0.5994
La Jornada: Alerta de EU para quienes viajen a NL,2010-04-23,-0.7845,Jornada,0.296
"La Jornada: El Partido del Trabajo decide no mantener alianzas con PAN o PRI, excepto en Oaxaca",2010-04-23,-0.1027,Jornada,0.4019
La Jornada: Miembros del SME dañan 4 vehículos,2010-04-23,0.0772,Jornada,0.0
La Jornada: Grupo México rechaza dar mártires,2010-04-23,0.0,Jornada,0.0
La Jornada: Generales en retiro apoyan al Ejército en la lucha antinarco,2010-04-23,0.5423,Jornada,0.2263
"La Jornada: Gravar a bancos para cubrir futuros rescates, propone el FMI",2010-04-23,-0.926,Jornada,0.0
La Jornada: Acuden a Los Pinos senadores panistas,2010-04-23,0.34,Jornada,0.0
"La Jornada: Lo que menos queremos es violencia, pero estamos fatigados, dicen mineros",2010-04-23,-0.9618,Jornada,-0.7587
La Jornada: En Chihuahua fracasó la justicia penal: Gómez Mont,2010-04-23,0.7506,Jornada,-0.5106
"La Jornada: Eliminar las plurinominales va contra el espíritu democrático, dicen PRI y PVEM",2010-04-23,0.7096,Jornada,0.1779
"La Jornada: Washington y Wall Street, culpables, acusa Obama",2010-04-23,-0.9501,Jornada,-0.6369
La Jornada: Vigila el Ejército tres casas de seguridad utilizadas por lugartenientes de El Indio,2010-04-23,0.8176,Jornada,0.34
La Jornada: Elige el Senado a 4 miembros del Consejo Consultivo de la CNDH,2010-04-23,0.3182,Jornada,0.0
"La Jornada: Monterrey, bajo fuego",2010-04-23,0.6249,Jornada,-0.34
La Jornada: Militares que violen derechos en la lucha antinarco enfrentarán a la justicia civil,2010-04-23,-0.8807,Jornada,-0.34
"La Jornada: Va el Senado contra ausentismo y dádivas, pero no contra opacidad en rendición de cuentas",2010-04-23,0.1531,Jornada,0.0
La Jornada: Buscan ex líderes del 68 incidir en comicios de 2012 con candidaturas independientes,2010-04-23,0.0,Jornada,0.0
La Jornada: Por razones inconfesables avalan el dictamen de la cuenta pública de 2002,2010-04-23,-0.6249,Jornada,0.3182
La Jornada: Diputados advierten al gobierno que no trate de desalojar Cananea por la fuerza,2010-04-23,-0.5423,Jornada,-0.1027
"La Jornada: Clave, papel del BM en México: Zoellick",2010-04-23,-0.7783,Jornada,0.0
La Jornada: Critican sumisión oficial ante embate contra mexicanos en Estados Unidos,2010-04-23,0.8176,Jornada,0.0772
La Jornada: EU asiló en un año a 254 connacionales,2010-04-23,0.8316,Jornada,0.25
La Jornada: Urge fijar sanciones para funcionarios que realicen activismo político: TEPJF,2010-04-23,-0.8442,Jornada,-0.1027
"La Jornada: Cárteles mexicanos, como la mafia italiana, matan periodistas: Saviano",2010-04-23,-0.5574,Jornada,-0.4939
La Jornada: La inseguridad la tenemos enfrente y no podemos girar la cabeza: Pascual,2010-04-23,-0.6705,Jornada,-0.4215
"La Jornada: Juicio civil a militares, plantea el rector del Tec de Monterrey",2010-04-23,-0.9682,Jornada,0.0
La Jornada: CFE sólo contrata a electricistas que cobraron su liquidación: Gil Zuarth,2010-04-23,0.4019,Jornada,-0.2023
"La Jornada: El país superó la prueba pero el problema es de percepción, sostiene el Presidente",2010-04-23,-0.5423,Jornada,-0.5499
La Jornada: Estados Unidos tiene prioridad para juzgar a El Indio: SIEDO,2010-04-23,-0.2363,Jornada,0.4215
La Jornada: En dos años se triplicaron las líneas de celular en Cuba,2010-04-23,0.0,Jornada,0.0
"La Jornada: Anecdóticos y eventos aislados, los asaltos a sucursales bancarias, dice ABM",2010-04-23,-0.2732,Jornada,-0.7003
La Jornada: Se hunde plataforma frente a costas de Luisiana,2010-04-23,0.0772,Jornada,0.0
La Jornada: Modesto repunte,2010-04-23,-0.3182,Jornada,0.0
La Jornada: Concurso de foto y reality show para promover el país,2010-04-23,0.0,Jornada,0.3818
La Jornada: Rechaza IP que el Fondo Pyme sea incorporado a Nacional Financiera,2010-04-23,-0.296,Jornada,-0.4939
La Jornada: Eurostat: el déficit de Grecia llega a 13.6 por ciento del PIB,2010-04-23,-0.2732,Jornada,-0.3612
La Jornada: Ofrece Goldman Sachs capacitar y asesorar a microempresarias de México y Centroamérica,2010-04-23,-0.5106,Jornada,0.0
"La Jornada: Más créditos a la producción, pide el gobierno a la banca",2010-04-23,0.6597,Jornada,0.4201
La Jornada: EU y fundación Gates crean fondo contra pobreza y hambre,2010-04-23,-0.7269,Jornada,-0.4939
La Jornada: Grupo Salinas apoya movimiento latino,2010-04-23,0.0,Jornada,0.3612
La Jornada: BdeM: bajan 0.31% precios al consumidor,2010-04-23,0.0,Jornada,0.0
La Jornada: Brian Eno invita a disfrutar esa sensación de rendirnos y dejarnos ir,2010-04-23,0.5859,Jornada,0.5719
La Jornada: Denuncia pintor vandalismo gubernamental en Tijuana,2010-04-23,0.0772,Jornada,-0.4404
"La Jornada: Zoot Suit, respuesta al racismo creciente en EU: Luis Valdez",2010-04-23,-0.6124,Jornada,-0.5267
La Jornada: Jornada especial en el DF para celebrar al libro,2010-04-23,0.0,Jornada,0.7506
La Jornada: El ciclo Somos lectores y seremos más se realizará en el DF y 25 estados,2010-04-23,0.0,Jornada,0.0
La Jornada: José Emilio Pacheco inició en Madrid la lectura ininterrumpida de El Quijote,2010-04-23,-0.5106,Jornada,0.0
La Jornada: Reconocen labor de Luis Estrada en la divulgación de la ciencia,2010-04-23,-0.8934,Jornada,0.0
La Jornada: Piden política de Estado comprometida,2010-04-23,0.128,Jornada,0.0
La Jornada: La vida de los jóvenes no termina si no ingresan a la universidad: jesuitas,2010-04-23,-0.875,Jornada,0.0
La Jornada: Culminó con éxito primer trasplante total de cara,2010-04-23,0.5574,Jornada,0.5859
"La Jornada: Los niños bromeaban con Calderón al decirle que no estaban listos para Enlace, afirma Elba Esther",2010-04-23,0.25,Jornada,0.049
La Jornada: Llama el obispo de Tehuacán a no magnificar abusos del padre Aguilar,2010-04-23,-0.5267,Jornada,0.4449
La Jornada: Hay datos falsos en la lista de presuntos curas pederastas: CEM,2010-04-23,-0.8179,Jornada,-0.2263
La Jornada: Viajeros enfrentan largas listas de espera en vuelos a Europa,2010-04-23,-0.8316,Jornada,0.0
La Jornada: Aplauden en Alemania renuncia de sacerdote,2010-04-23,-0.7783,Jornada,0.4588
La Jornada: Urge ampliar la cobertura en educación superior: Narro,2010-04-23,-0.4019,Jornada,0.3182
La Jornada: Llama cardenal idiotas útiles a quienes denuncian a pedófilos,2010-04-23,-0.7579,Jornada,0.128
