article,pub_date,nltk_score,source,nltk_score_title
The K Street Band,2010/04/15,0.0,ProPublica,0.0
Lobbyists and Lawmakers Bond During Springsteen Concerts,2010/04/15,0.9991,ProPublica,0.0
"Senators Call for Changes to Troubled, Costly Afghan Police Training Program",2010/04/15,0.9346,ProPublica,-0.5267
Brilliant Disguise - Rep. Dutch Ruppersberger and ATK at the Springsteen Concert,2010/04/15,0.5106,ProPublica,0.4215
GE’s Own Safety Team Urged Company to Restrict MRI Drug,2010/04/15,-0.992,ProPublica,0.0516
Add-on to Health Care Bill Gives Feds More Power to Investigate Jail Conditions,2010/04/15,0.9883,ProPublica,0.4939
"Inspectors Keep Up Pressure on Alhurra, Say Effectiveness Still in Question",2010/04/15,-0.9931,ProPublica,-0.296
Investigations You Need to Read: Thursday,2010/04/15,0.9455,ProPublica,0.0
"U.S. Terror Targets Unprotected, According to Former CIA Official",2010/04/15,-0.9989,ProPublica,-0.7096
How Senator Vitter Battled the EPA Over Formaldehyde’s Link to Cancer,2010/04/15,0.9174,ProPublica,-0.765
