article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Subirán según la inflación las pensiones de electricistas,2010-04-17,0.5423,Jornada,0.0
La Jornada: Lamenta Samuel Ruiz que el Estado reprima a defensores de derechos humanos,2010-04-17,-0.9246,Jornada,-0.5423
La Jornada: Nada justifica que el SNTSS abandone la UNT,2010-04-17,0.0,Jornada,-0.3818
"La Jornada: Asesinan a 44 personas, incluidos siete policías; sólo en Chihuahua, a 13",2010-04-17,0.765,Jornada,-0.6597
La Jornada: Arraiga SIEDO a 13 presuntos narcotraficantes,2010-04-17,0.4215,Jornada,-0.6124
La Jornada: Negocian AN y PRD ir juntos por la reforma a la ley de radio y tv,2010-04-17,-0.5994,Jornada,0.0
La Jornada: Planean marcha conjunta contra la ley Lozano,2010-04-17,0.0,Jornada,0.0
La Jornada: Dolor e indignación en sepelio de víctimas del tiroteo en Acapulco,2010-04-17,-0.4939,Jornada,-0.8402
La Jornada: Minimiza Calderón las matanzas contra civiles,2010-04-17,-0.959,Jornada,-0.6705
La Jornada: Elogia el embajador de Cuba el rechazo del Senado a condenar a La Habana,2010-04-17,-0.9423,Jornada,-0.4019
La Jornada: Legisladores acuerdan no permitir la presa El Zapotillo,2010-04-17,-0.5267,Jornada,0.2105
"La Jornada: Deploran PRI, AN y PRD que desdeñe el Presidente a víctimas del fuego cruzado",2010-04-17,-0.4767,Jornada,-0.6597
La Jornada: Demanda AI libertad para líder indígena,2010-04-17,-0.6908,Jornada,0.5719
"La Jornada: Antes del primero de mayo, huelga de hambre del SME en el Zócalo",2010-04-17,0.25,Jornada,-0.3612
La Jornada: Oficina de la ONU apoya la política de Calderón contra el crimen organizado,2010-04-17,-0.9678,Jornada,-0.25
La Jornada: Cervecera se brinca la ley en espot,2010-04-17,-0.6808,Jornada,0.0
La Jornada: México busca retrasar explotación de yacimientos comunes con EU,2010-04-17,0.9337,Jornada,-0.3182
La Jornada: Duda IP de pronósticos de Hacienda sobre empleo,2010-04-17,-0.3182,Jornada,0.2023
La Jornada: Acusa EU a Goldman Sachs de fraude,2010-04-17,-0.9022,Jornada,-0.7351
La Jornada: Uno de los más grandes del mundo,2010-04-17,0.0,Jornada,0.0
"La Jornada: Indefinida, fecha para dar de baja celulares: SCT",2010-04-17,-0.6369,Jornada,0.0
