article,pub_date,nltk_score,source,nltk_score_title
"La Jornada: Universitarios y bachilleres, en empleos de bajos salarios y sin prestaciones: Inegi",2010-08-13,-0.8591,Jornada,-0.2924
La Jornada: Avanza hospital general de zona del IMSS,2010-08-13,0.3182,Jornada,0.0
"La Jornada: Mujeres que laboran en el hogar, mayoría de quienes se dice están desempleados: Imjuve",2010-08-13,-0.7783,Jornada,0.0
La Jornada: Mantendrá nuevo gobierno de Colombia política hacia Lucía Morett,2010-08-13,-0.9565,Jornada,0.0
"La Jornada: Alarmantes, violencia y tensión social en la frontera mexicana: embajador de EU",2010-08-13,-0.8316,Jornada,-0.7845
La Jornada: Ningún poder debe evadir la lucha anticrimen: senadores,2010-08-13,0.2023,Jornada,-0.5859
La Jornada: Cumple 84 años y retoma fuerzas,2010-08-13,-0.8519,Jornada,0.4939
La Jornada: Calderón y gobernadores delinean las bases de nueva estrategia contra la delincuencia,2010-08-13,-0.9423,Jornada,-0.5423
"La Jornada: AMLO ganó, pero el imperio le impidió asumir: Fidel Castro",2010-08-13,-0.9559,Jornada,0.3612
La Jornada: Libertad de expresión amenazada,2010-08-13,0.1779,Jornada,0.6369
La Jornada: Las fuerzas armadas responderán,2010-08-13,0.1027,Jornada,0.0
La Jornada: Destinará EU 600 mdd más para afrontar una inexistente emergencia fronteriza,2010-08-13,-0.8834,Jornada,-0.3818
La Jornada: Protestan trabajadores de la salud del DF y Edomex; exigen mejoras laborales,2010-08-13,-0.8591,Jornada,0.0772
"La Jornada: México, al borde del precipicio por corrupción e impunidad: Carpizo",2010-08-13,-0.802,Jornada,0.0
La Jornada: Se violaron derechos en el caso de alumnos ultimados en el Tec,2010-08-13,-0.5994,Jornada,-0.5267
"La Jornada: A casi 13 años de la matanza de Acteal, realizan Las Abejas jornada por la justicia y el no olvido",2010-08-13,0.0772,Jornada,0.5267
"La Jornada: Por unanimidad y sin debate, el IFE reduce multa a emisoras de Tv Azteca",2010-08-13,-0.8126,Jornada,0.0
La Jornada: La PGR dará trámite normal al caso Juárez,2010-08-13,0.0516,Jornada,0.0
La Jornada: La sobreoferta de juventud trabajadora lleva a aceptar salarios de hambre,2010-08-13,-0.7717,Jornada,0.1531
La Jornada: Sindicalistas extranjeros marcharon ayer,2010-08-13,0.0,Jornada,0.0
La Jornada: Agradece López Obrador comentarios favorables de Fidel Castro en Granma,2010-08-13,0.2023,Jornada,0.7184
La Jornada: Otorgan a mineros suspensión provisional para no ser desalojados de Cananea,2010-08-13,-0.2732,Jornada,0.3612
La Jornada: Condena México atentados en Bogotá,2010-08-13,0.0,Jornada,-0.6705
La Jornada: La religión católica se muestra a los jóvenes como un rito tedioso: obispo Plaza Miguel,2010-08-13,-0.9081,Jornada,0.0
La Jornada: No proceden medidas cautelares por promocionales de AMLO,2010-08-13,-0.8074,Jornada,-0.296
"La Jornada: Frenar operaciones y poderío económico del crimen organizado, demanda Ebrard",2010-08-13,-0.9705,Jornada,-0.6808
"La Jornada: Vergüenza, que haya 7.5 millones de ninis: Narro",2010-08-13,-0.0258,Jornada,-0.4767
La Jornada: Presenta el Centro Pro documental sobre campesinos ecologistas guerrerenses,2010-08-13,0.0,Jornada,0.0
"La Jornada: Gran peligro para el Estado mantener el Ejército en las calles, alerta la ONU",2010-08-13,-0.6124,Jornada,0.0772
"La Jornada: Lista de buenas intenciones, declaratoria de conferencia sobre sector juvenil: expertos",2010-08-13,-0.7783,Jornada,0.4404
La Jornada: Sin cambios en el Informe presidencial,2010-08-13,-0.296,Jornada,0.0
La Jornada: Mueren 12 civiles durante enfrentamientos de militares con narcos en Durango y NL,2010-08-13,-0.0516,Jornada,-0.6705
La Jornada: Muchachos de 12 a 15 años son presas fáciles del crimen organizado: Concha,2010-08-13,-0.8957,Jornada,-0.1531
La Jornada: Cifras negras,2010-08-13,-0.8225,Jornada,0.0
La Jornada: Anula vuelos a Madrid y Londres,2010-08-13,0.0,Jornada,-0.2263
"La Jornada: Hoy, fallo de Cofetel sobre licitación; la CFC, a favor de Televisa-Nextel",2010-08-13,0.3182,Jornada,0.4019
La Jornada: Incendios en Rusia acaban con la cuarta parte de los cultivos del grano,2010-08-13,-0.8885,Jornada,0.0
La Jornada: Destaca Cordero avances en bienestar poblacional,2010-08-13,0.6808,Jornada,0.0
La Jornada: Cae producción de Cantarell 23% en lo que va del año: CNH,2010-08-13,-0.3182,Jornada,0.0
La Jornada: El rescate financiero en EU benefició a bancos foráneos,2010-08-13,0.0,Jornada,0.296
La Jornada: Fraude maquinado por los dueños: PRI y PRD,2010-08-13,-0.8591,Jornada,-0.5859
La Jornada: Mexicana ya no es dueña de su nombre ni de su imagen,2010-08-13,-0.0772,Jornada,-0.296
La Jornada: Avalaría la SCJN recorte a prestaciones de sobrecargos,2010-08-13,0.7269,Jornada,0.3612
"La Jornada: Aún no es tiempo de preocuparse por alza del trigo, afirma Bruno Ferrari",2010-08-13,-0.5994,Jornada,-0.4404
La Jornada: Crecen 16% créditos fiscales; llegan a $555.7 mil millones,2010-08-13,0.8074,Jornada,0.3818
La Jornada: Denuncian el uso de sonidos como arma de control y represión social,2010-08-13,-0.9393,Jornada,-0.7351
La Jornada: Joven barítono mexicano ingresa al mundo operístico en Europa,2010-08-13,0.3182,Jornada,0.0
La Jornada: Distinguen a Luis Herrera de la Fuente con la primera presea cervantina a la trayectoria artística,2010-08-13,0.0772,Jornada,0.5106
La Jornada: Alerta González Casanova sobre el deliberado ocultamiento de información,2010-08-13,0.1779,Jornada,0.0
"La Jornada: Italia está a un paso de privatizar la cultura, advierten críticos del gobierno",2010-08-13,-0.4019,Jornada,-0.3818
La Jornada: Español prepara primer trasplante de pierna completa en el mundo,2010-08-13,-0.9423,Jornada,0.0
"La Jornada: España, con menos mortalidad por cáncer de mama en Europa",2010-08-13,0.0,Jornada,-0.6597
La Jornada: Atacan murciélagos a peruanos; mueren cuatro niños de rabia,2010-08-13,0.0,Jornada,-0.7906
La Jornada: Envía la ONU a visitadora por los casos de presas por aborto,2010-08-13,-0.9081,Jornada,0.0
"La Jornada: Precaria, la existencia de asociaciones civiles",2010-08-13,0.6808,Jornada,0.0
La Jornada: Reculará el gobierno en la prohibición de la comida chatarra en escuelas públicas,2010-08-13,-0.6249,Jornada,-0.5574
La Jornada: Noche triste de Cortés en su pueblo natal,2010-08-13,-0.4767,Jornada,-0.4767
La Jornada: Confía la comunidad LGBT en que la Corte apruebe la adopción gay,2010-08-13,-0.7096,Jornada,0.4939
"La Jornada: La AMP, ni a favor ni en contra",2010-08-13,0.0,Jornada,0.0
La Jornada: Negar la adopción a parejas gays es discriminatorio: ministros,2010-08-13,0.2732,Jornada,-0.34
La Jornada: Rechazados logran lugar en escuelas privadas,2010-08-13,0.1779,Jornada,-0.5106
La Jornada: Ofrecen aumento a bomberos en Edomex,2010-08-13,0.0,Jornada,0.3182
La Jornada: Ofrece Onésimo Cepeda comilona,2010-08-13,0.0,Jornada,0.0
La Jornada: Investigan a 12 empleados de hospital en Tulancingo por muerte de un bebé,2010-08-13,0.2732,Jornada,-0.5994
La Jornada: Impide el PRI juicio político a Ulises Ruiz,2010-08-13,-0.9217,Jornada,0.0772
La Jornada: Se deslinda procurador de QR de celda infantil,2010-08-13,0.0,Jornada,0.0
La Jornada: Violan todos los municipios de Morelos normas sobre manejo de basura: ONG,2010-08-13,-0.9657,Jornada,-0.7351
La Jornada: Rechazan destruir 2 estadios en Chiapas,2010-08-13,0.0,Jornada,-0.6908
La Jornada: Minimizan amenaza de Aguirre de dejar el tricolor por no ser postulado en Guerrero,2010-08-13,-0.296,Jornada,-0.5574
La Jornada: Zacatecas: pagará Telmex impuesto por publicidad,2010-08-13,-0.4939,Jornada,-0.1027
La Jornada: Se rebelan policías municipales de Lázaro Cárdenas y toman cuartel,2010-08-13,0.8834,Jornada,-0.1531
La Jornada: Abandonan comunidad de Durango por acoso de criminales,2010-08-13,-0.5267,Jornada,-0.8779
La Jornada: Declaran emergencia en siete municipios de San Luis Potosí,2010-08-13,-0.765,Jornada,-0.3818
La Jornada: BP paga multa por una explosión en 2005,2010-08-13,0.34,Jornada,0.2023
La Jornada: Rebeldes de Uganda secuestran a civiles,2010-08-13,-0.5267,Jornada,-0.2023
La Jornada: Danny Glover visita a preso cubano en California,2010-08-13,-0.6369,Jornada,-0.5423
La Jornada: Sismo en Ecuador; no se reportan víctimas,2010-08-13,-0.296,Jornada,-0.5423
La Jornada: Atentado con coche bomba en Bogotá frente a radio Caracol; 10 heridos y graves daños,2010-08-13,-0.9783,Jornada,-0.91
La Jornada: EU crea condiciones para un cambio en la política hacia Cuba: analistas,2010-08-13,0.5719,Jornada,0.2732
"La Jornada: Los bloqueos en Potosí, para conspirar y desgastar al gobierno, acusa Evo Morales",2010-08-13,-0.6597,Jornada,-0.34
La Jornada: La iraní condenada a la lapidación aparentemente confesó su adulterio,2010-08-13,-0.9337,Jornada,-0.0258
La Jornada: Comienzan a bajar las aguas en Pakistán,2010-08-13,-0.5574,Jornada,0.0
La Jornada: Fernando Lugo inicia quimioterapia en Brasil,2010-08-13,-0.8316,Jornada,0.0
La Jornada: Cientos de afganos protestan contra el asesinato de tres civiles por fuerzas de EU,2010-08-13,-0.6124,Jornada,-0.7506
La Jornada: Desmantela la policía francesa más de 40 campamentos gitanos ilegales,2010-08-13,-0.765,Jornada,-0.5945
