article,pub_date,nltk_score,source,nltk_score_title
La Jornada: The dialogue was transformed into a monologue of officials against bureaucrats,2010-12-02,-0.128,Jornada,0.0
"La Jornada: The productive sectors still do not feel the recovery, recognizes Bruno Ferrari",2010-12-02,-0.296,Jornada,0.0
La Jornada: spent the EU 5.98 bdd since 2008 in its financial sector,2010-12-02,0.1027,Jornada,0.0
"La Jornada: Consumer credit is back, bankers say",2010-12-02,0.7964,Jornada,0.3818
"La Jornada: Out of the reality the economic panorama of Calderón, say small businessmen",2010-12-02,-0.296,Jornada,0.0
La Jornada: Pemex to create new company to participate in incentive contracts,2010-12-02,-0.0772,Jornada,0.5574
La Jornada: The confidence of consumers is kept low,2010-12-02,-0.7184,Jornada,0.296
La Jornada: US Air Authorities Return Category 1 Certification to Mexico,2010-12-02,0.0,Jornada,0.0
"La Jornada: Current, the suspension of the digital blackout",2010-12-02,0.765,Jornada,0.0
"La Jornada: There is more poverty, but with a better distribution of income",2010-12-02,-0.9648,Jornada,0.3723
La Jornada: Analyze atmosphere of planet as Earth,2010-12-02,-0.296,Jornada,0.0
"La Jornada: The 5 secrets of the clerk, one of the best scientific dissemination tapes",2010-12-02,0.0,Jornada,0.6369
"La Jornada: Ofelia Medina paid homage, between verses and music, to the mestizo language",2010-12-02,0.3182,Jornada,0.0
La Jornada: Document the rise of the book industry in the Basque language; We write what we want,2010-12-02,0.0516,Jornada,0.0772
"La Jornada: FCE joins the electronic publishing market; Ready, 75 titles",2010-12-02,-0.5267,Jornada,0.3612
La Jornada: Impunity is one of the worst links in human trafficking,2010-12-02,-0.7096,Jornada,-0.6249
"La Jornada: AL literature is no longer of isms, but of regions: Piglia",2010-12-02,0.34,Jornada,-0.1531
"La Jornada: Era is an editorial that wanted to be small, but spicy: Vicente Rojo",2010-12-02,0.4215,Jornada,0.0
"La Jornada: The Txillida-Leku Museum will close its doors on the first day of 2011, announce",2010-12-02,-0.1779,Jornada,0.0
La Jornada: Google to launch platform to sell digital books,2010-12-02,-0.296,Jornada,0.0
La Jornada: More than 40 photojournalists preserve the timelessness of a quarter century of history,2010-12-02,-0.5267,Jornada,0.0
La Jornada: Denounce diversion of teachers' pensions to the campaign of Añorve,2010-12-02,0.7096,Jornada,-0.34
