article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Llama Baeza a eliminar el tema electoral,2010-02-10,0.2732,Jornada,0.0
"La Jornada: Comparece el martes, en algún local del Senado, el gabinete de seguridad",2010-02-10,0.8807,Jornada,0.34
La Jornada: Anuncia EU que la Iniciativa Mérida se mantendrá más de lo previsto,2010-02-10,0.5574,Jornada,0.0
La Jornada: Hoy decidirá la Corte sobre amparos solicitados por atenquenses presos en el penal del Altiplano,2010-02-10,0.8074,Jornada,-0.765
"La Jornada: Los subejercicios presupuestarios son prueba de la negligencia oficial, acusa Pablo Escudero",2010-02-10,0.1027,Jornada,-0.34
"La Jornada: Necesaria, una despenalización gradual de las drogas: Ferrajoli",2010-02-10,0.0,Jornada,0.0
La Jornada: Los detenidos en Colombia serán trasladados a Dallas,2010-02-10,0.6597,Jornada,-0.4019
"La Jornada: La aprehensión de los 21 narcos, resultado del trabajo conjunto: SSP",2010-02-10,-0.6369,Jornada,-0.4767
"La Jornada: El gobierno no ha cumplido recomendaciones del caso Radilla, consideran ONG y deudos",2010-02-10,-0.7845,Jornada,0.0
"La Jornada: El juez Trujillo Salceda, en la mira del CJF por notoria ineptitud recurrente",2010-02-10,-0.1027,Jornada,-0.4404
La Jornada: Ariel Gómez suma 4 faltas en la Cámara,2010-02-10,0.0,Jornada,0.0
"La Jornada: Este jueves, el Presidente presenta a juarenses nueva estrategia anticrimen",2010-02-10,0.0,Jornada,0.0
La Jornada: Presiona Lozano en favor de una reforma laboral,2010-02-10,0.25,Jornada,0.4019
"La Jornada: Cierran la garita de Nogales, Arizona, por ataques que dejaron cuatro muertos",2010-02-10,-0.3818,Jornada,-0.802
"La Jornada: Urge una reforma política: PRD, PRI y PAN",2010-02-10,0.6908,Jornada,0.0
La Jornada: Reyes Baeza presentó mal su solicitud,2010-02-10,-0.6808,Jornada,0.0
La Jornada: A 15 años de la ofensiva en Chiapas contra el zapatismo persiste la militarización,2010-02-10,-0.8591,Jornada,-0.4588
La Jornada: Líder de AN pide a Calderón reconocer su derrota en Juárez,2010-02-10,0.8271,Jornada,-0.4588
"La Jornada: Inútil, un mando único en Juárez si aplica la misma estrategia: expertos",2010-02-10,-0.743,Jornada,-0.4215
La Jornada: Solidaridad con Cananea,2010-02-10,0.5267,Jornada,0.296
