article,pub_date,nltk_score,source,nltk_score_title
"La Jornada: Herrera Caldera no rendirá protesta en Durango, advierte Aispuro Torres",2010-07-07,-0.8402,Jornada,0.0875
La Jornada: Cambios en Gobernación,2010-07-07,0.0,Jornada,0.0
La Jornada: Diputados visitan las zonas devastadas en NL,2010-07-07,0.6705,Jornada,-0.6124
"La Jornada: La decisión de la Corte no cierra la puerta a la lucha del SME, señalan especialistas",2010-07-07,-0.2023,Jornada,-0.3182
La Jornada: Pugnará el SME por que la CFE contrate a despedidos de Luz y Fuerza,2010-07-07,0.1531,Jornada,0.1531
La Jornada: Xóchitl Gálvez alista defensa jurídica,2010-07-07,-0.0258,Jornada,0.25
La Jornada: En Oaxaca hubo guerra sucia de Ebrard y Calderón: Ulises Ruiz,2010-07-07,0.6369,Jornada,-0.7783
La Jornada: La derrota del PRI en Sinaloa parte en dos el mapa político local,2010-07-07,-0.9325,Jornada,-0.4588
"La Jornada: Demanda de Obama contra la anticonstitucional ley Arizona; el flujo de personas, tema federal",2010-07-07,-0.7717,Jornada,-0.2263
La Jornada: Arraigan a escolta del gobernador de Tamaulipas,2010-07-07,0.34,Jornada,0.0
La Jornada: Calderón inventó cargo para favorecer a Rodolfo Elizondo,2010-07-07,0.0,Jornada,0.4019
La Jornada: Encuestadores del Inegi protestan por la falta de recursos para gastos de traslado,2010-07-07,-0.6705,Jornada,-0.5106
La Jornada: En caso Luz y Fuerza los ministros violaron la Constitución de manera descarada: Carrancá,2010-07-07,0.34,Jornada,-0.5267
La Jornada: Tzotziles de Mitzitón que exigen retiro de paramilitares levantan bloqueo carretero,2010-07-07,-0.959,Jornada,-0.128
La Jornada: Demandan justicia por el asesinato de dirigente de UNORCA en los Altos,2010-07-07,-0.7184,Jornada,-0.4215
La Jornada: Ortega Martínez y Camacho Solís hacen mutis sobre la derrota en Zacatecas,2010-07-07,0.296,Jornada,-0.4588
La Jornada: Daremos seguimiento puntual al proceso judicial: SRE,2010-07-07,0.0,Jornada,0.0
La Jornada: Terminaré el ayuno cuando me devuelvan mi trabajo: ingeniero Cayetano Cabrera Esteva,2010-07-07,-0.6486,Jornada,0.0
"La Jornada: Fuego amigo y de mandatarios priístas, causas de la caída del PRD en Zacatecas",2010-07-07,-0.6369,Jornada,0.2023
La Jornada: Plantea el IFE multar a Nava y PAN por atacar la fama pública del PRI,2010-07-07,-0.5267,Jornada,0.1779
La Jornada: Exigen a CFE informe sobre outsourcing,2010-07-07,-0.5267,Jornada,-0.2263
La Jornada: Advierte sindicato minero que resolución de la Corte en contra no terminará el conflicto,2010-07-07,0.3182,Jornada,0.1436
"La Jornada: SFP: este año, cifra récord en denuncias por corrupción",2010-07-07,-0.6369,Jornada,0.0772
La Jornada: La mica 03 servirá para votar hasta el 31 de diciembre,2010-07-07,0.4939,Jornada,0.0
La Jornada: Pide Calderón rebasar la lucha electoral y abrir una etapa de colaboración y diálogo,2010-07-07,-0.7584,Jornada,-0.3182
La Jornada: Aberrante fallo en huelga de gasolinera,2010-07-07,-0.6597,Jornada,-0.5859
La Jornada: Asesinan a 34 personas en nueve entidades; siete eran policías,2010-07-07,-0.5994,Jornada,-0.6597
La Jornada: Celebra EU comicios tranquilos en México,2010-07-07,0.0,Jornada,0.5719
La Jornada: AN no está a la altura de 2012: Reynoso,2010-07-07,-0.7717,Jornada,0.0
La Jornada: Acepta el PRI su derrota en Puebla; la oposición impugnará en Tlaxcala,2010-07-07,-0.8316,Jornada,-0.1779
La Jornada: Preparan Yunes y Nava la estrategia para defender el triunfo en Veracruz,2010-07-07,0.4404,Jornada,0.0
"La Jornada: Esto no acaba aquí; vamos por la disculpa del Estado, por las indemnizaciones",2010-07-07,-0.8658,Jornada,0.0516
La Jornada: Asesinan a periodista en Michoacán; fue el crimen organizado: Leonel Godoy,2010-07-07,-0.296,Jornada,-0.8402
La Jornada: Prevé Sectur un derrama de 13 mil mdd en estas vacaciones de verano,2010-07-07,0.4939,Jornada,0.0
La Jornada: Nuevo registro histórico de reservas internacionales,2010-07-07,0.6705,Jornada,0.0
La Jornada: Hoy el pleno de la Cofetel debe elegir nuevo presidente de entre 5 comisionados,2010-07-07,-0.2732,Jornada,0.0
"La Jornada: Pemex, la empresa más demandada por trabajadores",2010-07-07,0.0,Jornada,-0.2944
La Jornada: Infonavit para todos llega a trabajadores domésticos,2010-07-07,0.3612,Jornada,0.0516
"La Jornada: Vencidos, 11.45% del total de créditos de financieras populares",2010-07-07,-0.5267,Jornada,0.6486
La Jornada: Subir impuestos fue adecuado para México: Ortiz,2010-07-07,0.0,Jornada,0.2263
La Jornada: Ola de calor deja a 2 mil neoyorquinos sin electricidad,2010-07-07,0.0,Jornada,0.0
"La Jornada: Se frenará la dinámica de crecimiento económico para 2010, anticipa Inegi",2010-07-07,0.6249,Jornada,0.4215
La Jornada: Colocó el gobierno $25 mil millones en bonos a cinco años,2010-07-07,0.0,Jornada,0.0
La Jornada: Siguen pláticas con aerolíneas para obtener descuentos,2010-07-07,0.0,Jornada,0.0
La Jornada: La violencia en el país no ahuyenta a inversionistas extranjeros: Cordero,2010-07-07,-0.9633,Jornada,-0.4703
La Jornada: Recibe Chrysler 400 mdd del gobierno para producir el Fiat,2010-07-07,0.0,Jornada,0.0
"La Jornada: VW invertirá 1,000 mdd en México para fabricar motores",2010-07-07,-0.4404,Jornada,0.0
"La Jornada: Realizarán la primera versión de Hay Festival, en Zacatecas",2010-07-07,0.0,Jornada,0.4939
La Jornada: Muere la titiritera argentina Sarah Bianchi,2010-07-07,0.0,Jornada,0.0
La Jornada: Federico Silva: la realidad nos lleva más a escribir que pintar,2010-07-07,-0.926,Jornada,0.0
