article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Recibe Calderón a mandatarios electos de Tamaulipas y Sinaloa,2010-07-16,-0.5994,Jornada,0.0
"La Jornada: Dos connacionales, en lista de EU por su respaldo al narco",2010-07-16,0.0,Jornada,0.4019
"La Jornada: Ante la crisis, hasta golpistas piden el regreso de Zelaya",2010-07-16,-0.9685,Jornada,-0.6249
La Jornada: En EU dudan de la viabilidad de los aviones no tripulados,2010-07-16,0.25,Jornada,-0.3612
La Jornada: Las mafias están ligadas a la tala: José Sarukhán,2010-07-16,-0.296,Jornada,0.0
"La Jornada: Reconciliación política, primera tarea de Blake",2010-07-16,0.8519,Jornada,0.0
La Jornada: Reacciones encontradas de consejeros del IFE ante el cambio en Gobernación,2010-07-16,0.4767,Jornada,0.0
La Jornada: Convoca IDN a renovar dirigencia perredista y alistar el partido para disputar Los Pinos,2010-07-16,0.6369,Jornada,0.34
La Jornada: Niegan otra vez toma de nota a mineros,2010-07-16,0.4404,Jornada,0.0
La Jornada: Médico que atiende a los electricistas en huelga de hambre denuncia amenazas,2010-07-16,-0.7506,Jornada,-0.802
La Jornada: Chávez Chávez recibe cada 78 horas datos sobre el caso de El Jefe Diego,2010-07-16,0.5574,Jornada,0.0
"La Jornada: Asesinan plagiarios a sobrino de César Duarte, futuro gobernador de Chihuahua",2010-07-16,-0.1779,Jornada,-0.6597
La Jornada: Moreira entrega apoyos a 110 comerciantes y pequeños empresarios,2010-07-16,0.0258,Jornada,0.4019
La Jornada: Jaloneo entre PRD y PRI por la mesa directiva en la Cámara de Diputados,2010-07-16,0.7096,Jornada,0.0
"La Jornada: Solución, a largo plazo",2010-07-16,0.6808,Jornada,0.3182
La Jornada: Expone Peña Nieto a empresarios chinos fortalezas del Edomex para el capital,2010-07-16,0.0,Jornada,0.1027
La Jornada: Alertan sobre la creciente influencia de Los Zetas en el mercado boliviano de drogas,2010-07-16,0.5994,Jornada,0.4404
La Jornada: Cancelan en el Edomex todas las órdenes de captura contra los dirigentes de Atenco,2010-07-16,0.802,Jornada,-0.25
"La Jornada: Los cambios muestran la carencia de cuadros panistas, señalan académicos",2010-07-16,-0.8402,Jornada,-0.3182
La Jornada: Exige la CIDH aclarar la muerte de dos periodistas,2010-07-16,-0.3818,Jornada,-0.5994
La Jornada: Pide Calderón a Kuwait aprovechar las ventajas del sector energético,2010-07-16,-0.8481,Jornada,0.4767
La Jornada: Grupos feministas de Nuevo León acusan de antiabortista al nuevo titular de Economía,2010-07-16,-0.3182,Jornada,-0.2023
La Jornada: Atacan con explosivos un convoy de la Policía Federal en Ciudad Juárez,2010-07-16,-0.959,Jornada,-0.4767
