article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Deudos realizan jornada de vigilia en recuerdo de las víctimas,2010-06-05,-0.4404,Jornada,-0.3182
La Jornada: Ulises Ruiz niega garantías a caravana del sol azteca a San Juan Copala,2010-06-05,0.9062,Jornada,-0.4215
La Jornada: El gobernador de Sonora dice otra vez que analiza cesar al procurador,2010-06-05,-0.9623,Jornada,0.0
"La Jornada: Beatriz Paredes toma protesta a Marco Bernal, presidente de la Fundación Colosio",2010-06-05,-0.0516,Jornada,-0.2263
"La Jornada: El gobierno no dará marcha atrás en la extinción de Luz y Fuerza, dice la SG",2010-06-05,-0.8555,Jornada,0.4939
La Jornada: Van hasta ahora 37 cadáveres extraídos de una fosa en Taxco,2010-06-05,-0.296,Jornada,-0.3818
"La Jornada: Fusilan a cuatro hombres, para un total de 16, en el estado de Chihuahua",2010-06-05,-0.8834,Jornada,-0.5574
La Jornada: Detienen a priísta ligado con cártel,2010-06-05,0.0516,Jornada,-0.7506
"La Jornada: Salinas, detrás del caso Greg, señala AMLO",2010-06-05,0.34,Jornada,0.0
La Jornada: Beneficios fiscales en Juárez no tendrán gran impacto en la recaudación: SHCP,2010-06-05,0.9217,Jornada,0.3818
"La Jornada: Desde 2008, el desorden general en guarderías",2010-06-05,0.0772,Jornada,0.128
La Jornada: Ofrecerá 40 mil espacios el programa de enseñanza superior abierta y a distancia,2010-06-05,0.0258,Jornada,0.0
"La Jornada: Castigo a Televisa, Cué y la coalición que lo postula, por caso de infomercial",2010-06-05,-0.9493,Jornada,-0.4939
La Jornada: Detalla el INAH daños a puerta histórica,2010-06-05,-0.7096,Jornada,-0.4404
La Jornada: NL: capturan a operador financiero de Los Zetas,2010-06-05,0.0258,Jornada,0.0
La Jornada: Se legaliza esquema letal de subrogación: Gustavo Leal,2010-06-05,-0.5267,Jornada,0.0
La Jornada: La dependencia busca desviar la atención: Ávila,2010-06-05,-0.7783,Jornada,0.0
La Jornada: El SME expondrá ante la CIDH las sistemáticas violaciones a derechos,2010-06-05,-0.2023,Jornada,-0.5267
La Jornada: Exculpa el IFE al Ejecutivo de la difusión de espots en estados donde habrá comicios,2010-06-05,-0.891,Jornada,0.0
La Jornada: Increpa Lujambio a SSP-DF y CNTE por daños a pieza histórica,2010-06-05,-0.891,Jornada,-0.4404
La Jornada: Coalición se niega a retirar propaganda de Gregorio Sánchez; acudirá a tribunal,2010-06-05,-0.8225,Jornada,-0.25
"La Jornada: Habrá encuentros, no negociaciones, aclara Gobernación a maestros disidentes",2010-06-05,-0.296,Jornada,-0.1695
"La Jornada: Luego de tres semanas, sólo se ha recuperado el chip de Diego",2010-06-05,0.7579,Jornada,0.0
"La Jornada: Sedena: sicarios, los jóvenes ultimados en Tamaulipas",2010-06-05,-0.8591,Jornada,-0.6705
"La Jornada: Alcalde de San Pedro Garza García, contra propuesta de policía única",2010-06-05,0.9423,Jornada,0.0
La Jornada: Presentan en la Profeco quejas contra la CFE,2010-06-05,-0.3182,Jornada,-0.4019
"La Jornada: Inaceptable, que mueran niños y jóvenes en acciones que nunca se aclaran: Rojas",2010-06-05,-0.8658,Jornada,-0.7845
"La Jornada: Pese a presiones, padres de víctimas se niegan a olvidar",2010-06-05,-0.9661,Jornada,-0.7717
La Jornada: McDonald’s retira vasos contaminados,2010-06-05,0.0,Jornada,0.0
La Jornada: Nuevo acuerdo comercial entre México y Bolivia,2010-06-05,0.5106,Jornada,0.4939
La Jornada: Pospone Banobras varios proyectos de infraestructura por caída de inversión,2010-06-05,-0.5267,Jornada,-0.2732
La Jornada: Pemex y Shell renuevan convenio,2010-06-05,0.4404,Jornada,0.4939
La Jornada: Se deprecia el peso; cierra en bancos en $13.20 por dólar,2010-06-05,-0.743,Jornada,0.0
La Jornada: Paran sexto aumento a las gasolinas,2010-06-05,0.0,Jornada,0.3182
La Jornada: Pierde precio de la mezcla 3.29 dólares,2010-06-05,-0.3182,Jornada,-0.3182
"La Jornada: Hungría, a un paso de la quiebra; tiene déficit fiscal de 7.5 por ciento",2010-06-05,0.25,Jornada,-0.4019
La Jornada: Niega Corte amparo a empresa privada para explotar petróleo en el Golfo de México,2010-06-05,0.0,Jornada,-0.4939
La Jornada: Rinden cálido homenaje póstumo a Gabriel Vargas en el museo del Estanquillo,2010-06-05,-0.128,Jornada,0.2263
La Jornada: Muestran todo lo que desató la plata en la historia nacional,2010-06-05,0.0,Jornada,0.0
"La Jornada: Robert Schumann vuelve a estar de moda, señala el experto Matthias Wendt",2010-06-05,-0.7717,Jornada,0.0
La Jornada: Presentan en Jalapa autobiografía de Pitol,2010-06-05,-0.7506,Jornada,0.0
La Jornada: La música en nuestras vidas,2010-06-05,0.0,Jornada,0.0
La Jornada: Wim Wenders terminó el rodaje en 3D de su película sobre la coreógrafa Pina Bausch,2010-06-05,-0.296,Jornada,0.0
