article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Rectores iberoamericanos piden nueva relación entre instituciones y Estado,2010-06-01,0.0,Jornada,0.0
La Jornada: Identifican al detenido en avión mexicano,2010-06-01,0.0,Jornada,-0.5423
La Jornada: Plagiarios contactaron otra vez a la familia de Fernández de Cevallos: fuentes oficiales,2010-06-01,0.5267,Jornada,0.0
La Jornada: Está por definirse destino del patrimonio de LFC,2010-06-01,0.0,Jornada,0.0
"La Jornada: Islas Marías, de los muros de agua y castigos al actual modelo de readaptación para presos",2010-06-01,-0.9081,Jornada,-0.7579
La Jornada: Cartones,2010-06-01,0.0,Jornada,0.0
La Jornada: La defensa de Greg presentará hoy inconsistencias de testigos protegidos,2010-06-01,0.296,Jornada,0.5267
La Jornada: Reaparece en tv el ex tesorero,2010-06-01,0.128,Jornada,0.0
La Jornada: El asalto de Israel provoca casi unánime condena internacional,2010-06-01,-0.8591,Jornada,-0.8637
"La Jornada: Partidos, culpables de la infiltración del narco en campañas: Magdy Martínez",2010-06-01,0.0,Jornada,-0.0258
La Jornada: Demanda Narro presupuesto y comprensión para universidades,2010-06-01,-0.8807,Jornada,-0.128
La Jornada: Investiga el CJF a titular de tribunal colegiado por favorecer a trasnacional,2010-06-01,0.296,Jornada,0.4019
La Jornada: Se mantienen en huelga de hambre 41 integrantes del SME; nueve son mujeres,2010-06-01,-0.5719,Jornada,-0.3612
La Jornada: Decomisa la Armada seis buques en Sinaloa,2010-06-01,-0.296,Jornada,0.0
La Jornada: Trasladan a Caro Quintero de un penal de alta seguridad a una cárcel municipal,2010-06-01,0.9231,Jornada,-0.2263
"La Jornada: Ejecutan a director de primaria frente a sus alumnos, en la capital duranguense",2010-06-01,0.5574,Jornada,0.0
La Jornada: Consignan a 15 por narcofosa de Taxco,2010-06-01,-0.8934,Jornada,0.0
La Jornada: Preocupa a rectores clima de vilolencia que enfrentan universidades de 6 estados,2010-06-01,-0.0258,Jornada,-0.6249
La Jornada: Israel mata a 19 activistas de una misión de ayuda,2010-06-01,-0.3612,Jornada,-0.1027
"La Jornada: Casi lista, licitación para construir 12 penales federales concesionados, afirma García Luna",2010-06-01,-0.2263,Jornada,0.2975
La Jornada: Gobernación revela 559 incidentes de interrupción del servicio eléctrico,2010-06-01,-0.3612,Jornada,-0.3612
La Jornada: Llama Calderón a participar en el censo de población,2010-06-01,0.4939,Jornada,0.0
La Jornada: La CFC emite lineamientos para detonar competencia de tortilleros,2010-06-01,0.0,Jornada,0.0
La Jornada: BM: países emergentes pagarán crisis de UE,2010-06-01,0.0,Jornada,-0.6705
La Jornada: Desdeña la STPS críticas por desempleo,2010-06-01,-0.4404,Jornada,-0.7003
"La Jornada: Recuperación, pese a todo",2010-06-01,-0.872,Jornada,0.0
"La Jornada: Hoy, cuarta alza al precio del gas LP; queda en $9.57 el kilo",2010-06-01,0.7351,Jornada,0.0
"La Jornada: La Habana, ciudad hechicera e intensa: en 20 años atrajo más de 30 millones de turistas",2010-06-01,0.25,Jornada,0.4767
"La Jornada: El crédito de bancos al sector productivo cae 4.2% al cierre de abril, según el BdeM",2010-06-01,0.9744,Jornada,0.0
"La Jornada: México, país de AL con la menor recaudación tributaria: Cepal",2010-06-01,0.1779,Jornada,-0.3818
La Jornada: Se inicia el registro; cada pregunta cuesta al Estado $150 millones: Inegi,2010-06-01,0.0258,Jornada,0.0
La Jornada: Crece 0.7% el PIB de naciones de la OCDE,2010-06-01,0.0,Jornada,0.3818
La Jornada: Fallece la escultora Louise Bourgeois,2010-06-01,0.0,Jornada,0.0
La Jornada: Anuncia Televisa la repatriación de la obra de Paul Strand realizada en México,2010-06-01,0.2023,Jornada,0.0
La Jornada: El INAH comenzará en tres días el análisis etnogenético de los héroes exhumados,2010-06-01,0.4939,Jornada,0.5106
La Jornada: Presentan el primer dinosaurio con cuernos hallado en México,2010-06-01,0.34,Jornada,0.0
La Jornada: Cubanos centenarios comparten secretos,2010-06-01,-0.5267,Jornada,0.296
La Jornada: Cinvesniñ@s busca convertir a los participantes en científicos por un día en torno a la biodiversidad,2010-06-01,-0.3818,Jornada,0.0
La Jornada: Anuncia la CNTE nuevas acciones mientras cumple 8 días en plantón,2010-06-01,-0.5719,Jornada,-0.25
La Jornada: No hay prevención ni campañas efectivas,2010-06-01,0.1779,Jornada,0.2263
La Jornada: Murió el migrante mexicano apaleado por la Border Patrol,2010-06-01,-0.9274,Jornada,-0.4215
La Jornada: Denuncia diputada ante la PGR a los legionarios,2010-06-01,-0.9136,Jornada,-0.296
"La Jornada: Cruz Roja, lista para temporada de huracanes",2010-06-01,-0.7717,Jornada,0.3612
La Jornada: Invierten tabacaleras mucho dinero en campañas para atraer a más mujeres,2010-06-01,-0.8442,Jornada,0.3612
La Jornada: Pide el INE eliminar subsidios perversos para la agricultura,2010-06-01,0.0,Jornada,-0.4215
La Jornada: Hay 10.9 millones de fumadores en México de más de 15 años,2010-06-01,-0.9325,Jornada,0.0
La Jornada: Rechaza PGR indagar levantón de periodista,2010-06-01,0.2732,Jornada,0.0
La Jornada: Piden ayuda afectados por desbordamientos,2010-06-01,-0.296,Jornada,0.2732
La Jornada: Protestan maestros de la CNTE en Michoacán,2010-06-01,-0.296,Jornada,-0.25
La Jornada: Querétaro: despiden a 45 por pedir aumento,2010-06-01,0.0,Jornada,0.3182
La Jornada: Eligen rector en la Autónoma de Nayarit,2010-06-01,-0.25,Jornada,0.0
La Jornada: Comienzan colecta para dar tratamiento a niños sobrevivientes de la guardería ABC,2010-06-01,-0.7184,Jornada,0.5994
La Jornada: Perecen cuatro campesinos al combatir incendio en Guerrero,2010-06-01,-0.9062,Jornada,-0.8555
La Jornada: BC: mantienen pena de cárcel a padres que no paguen pensión,2010-06-01,-0.0772,Jornada,0.0762
La Jornada: Descartan sanciones por fallas en el caso Paulette,2010-06-01,0.0772,Jornada,-0.4588
La Jornada: Se inicia proceso para destituir a edil,2010-06-01,0.2023,Jornada,0.0
La Jornada: Dirigentes del PRI en Zacatecas acusan al gobierno de amenazas,2010-06-01,-0.4404,Jornada,-0.5574
"La Jornada: Riña con antorchistas en Hidalgo deja 30 heridos, tres de gravedad",2010-06-01,-0.4019,Jornada,-0.4019
La Jornada: Bala perdida mata a un niño en el Edomex,2010-06-01,-0.5574,Jornada,-0.7003
"La Jornada: Choferes, sospechosos por robo de maíz y frijol",2010-06-01,0.5267,Jornada,-0.6808
La Jornada: Difundirán las normas canónicas sobre aborto,2010-06-01,-0.875,Jornada,0.0
La Jornada: Busca BP apuntalar campaña para limpiar su imagen,2010-06-01,0.6705,Jornada,0.4019
"La Jornada: Borrados, después de siglo y medio, los partidos tradicionales de Colombia",2010-06-01,0.7506,Jornada,0.4019
La Jornada: Alcaldía de Moscú reprime manifestación opositora y detiene a más de 100 activistas,2010-06-01,-0.6486,Jornada,-0.5859
La Jornada: EU debe explicar cómo va a resolver el problema de las drogas: Fidel Castro,2010-06-01,-0.8316,Jornada,-0.2263
La Jornada: Reportan la muerte del número tres de Al Qaeda,2010-06-01,-0.7269,Jornada,-0.5574
"La Jornada: Pasada la euforia electoral, la guerra que desangra a Colombia sigue ahí: jurista",2010-06-01,-0.9678,Jornada,0.1027
La Jornada: Tragedia y devastación deja Agatha en Centroamérica,2010-06-01,-0.9493,Jornada,-0.802
La Jornada: El presidente alemán renuncia tras polémicas declaraciones,2010-06-01,-0.7003,Jornada,-0.4767
