article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Tiroteo entre presuntos sicarios y marinos deja seis muertos en NL,2010-03-26,0.3612,Jornada,-0.7351
La Jornada: Estudiantes exigen parar la guerra sin sentido,2010-03-26,-0.3818,Jornada,-0.8519
La Jornada: Acusan al Papa de encubrir a pederasta,2010-03-26,-0.0258,Jornada,-0.296
"La Jornada: Calderón sólo arrecia la mano dura, con militares en las calles: AMLO",2010-03-26,-0.6705,Jornada,0.4215
La Jornada: Demandan senadores que militares vuelvan a cuarteles antes de los comicios de 2012,2010-03-26,-0.946,Jornada,-0.128
La Jornada: SSP: no hay condiciones para llevar a Kuri a QR,2010-03-26,-0.5859,Jornada,-0.296
"La Jornada: Intentan difamar a Benedicto XVI a cualquier costo, revira el Vaticano",2010-03-26,-0.7579,Jornada,0.0
La Jornada: Cae El rey de la heroína; EU solicita su extradición,2010-03-26,-0.8225,Jornada,-0.4939
"La Jornada: De 47 mil denuncias ciudadanas ante el Ejército, sólo 20 corresponden a Juárez",2010-03-26,-0.4019,Jornada,-0.4019
La Jornada: CNDH: mueren civiles por los malos operativos,2010-03-26,-0.765,Jornada,-0.8126
La Jornada: Reprueban legisladores que Calderón considere ridícula minoría a narcos,2010-03-26,-0.7906,Jornada,-0.3612
La Jornada: Perciben violencia escolar excesiva 315 mil estudiantes de secundaria: INEE,2010-03-26,-0.9552,Jornada,-0.6249
La Jornada: Impone PGR reserva a 13 casos relacionados con LFC y SME,2010-03-26,0.0,Jornada,0.0
"La Jornada: El otro narcomenudista de Santa Catarina está bien, pero teme por su vida: CEDH",2010-03-26,0.6705,Jornada,-0.4854
La Jornada: Tráfico y consumo de drogas cuesta 215 mil millones de dólares anuales a EU,2010-03-26,0.7717,Jornada,0.0
"La Jornada: Riesgo de albazo en el Congreso para aprobar la reforma laboral panista, alertan sindicatos",2010-03-26,0.765,Jornada,0.0258
La Jornada: Demuestra Chiapas voluntad para actuar preventivamente: CIDH,2010-03-26,0.4588,Jornada,0.2732
La Jornada: Presenta Pablo Gómez iniciativa para regular el derecho de réplica,2010-03-26,0.7351,Jornada,0.0
La Jornada: Liberan por falta de pruebas a ejidatario adherente a la otra campaña de Mitzitón,2010-03-26,0.296,Jornada,0.25
La Jornada: Aprueban dictamen de ley de protección de datos personales,2010-03-26,-0.128,Jornada,0.0
La Jornada: Documentan ataques de militares a dos comunicadores en Chihuahua,2010-03-26,-0.128,Jornada,-0.4404
La Jornada: Satisface a abogados de electricistas decisión de la Corte,2010-03-26,0.0,Jornada,0.4588
"La Jornada: Soldados abatieron a alumnos del Tec, según fuentes castrenses",2010-03-26,-0.34,Jornada,-0.6705
"La Jornada: Fundamental, reformas electorales en comunicación política: Valdés",2010-03-26,-0.4939,Jornada,0.0
La Jornada: Promueve IFAI ordenamiento de archivos oficiales,2010-03-26,0.5859,Jornada,0.34
