article,pub_date,nltk_score,source,nltk_score_title
Business Owners and Insiders: Tell Us How the Unemployment Insurance System Really Works,2010/03/25,-0.9216,ProPublica,-0.4404
What Information Can You Share About the Unemployment Insurance System?,2010/03/25,0.5106,ProPublica,-0.1779
How Do Unemployment Issues Affect Your Business?,2010/03/25,0.5106,ProPublica,-0.4404
How Has Unemployment Affected You?,2010/03/25,0.5106,ProPublica,-0.5423
More on Lehman and Repo 105: The Auditors Attempt to Explain,2010/03/25,-0.1154,ProPublica,0.0
"Frustration Abounds With Afghan Army, Police Force",2010/03/25,-0.8129,ProPublica,-0.4767
How to Join the Reporting Recipe Conference Call,2010/03/25,0.9934,ProPublica,0.296
"Treasury, Ahem, Clarifies Goals for the Mortgage Mod Program",2010/03/25,0.9604,ProPublica,0.4019
State Department’s Solution: Hire New Contractors to Oversee Naughty Contractor,2010/03/25,0.0034,ProPublica,0.3182
The Stimulus ‘Loser’ List Loses Some Members,2010/03/25,0.9673,ProPublica,-0.3182
Investigations You Need to Read: Thursday,2010/03/25,0.9455,ProPublica,0.0
