article,pub_date,nltk_score,source,nltk_score_title
"La Jornada: La violación de derechos humanos, riesgo para la gobernabilidad: CNDH",2010-05-06,-0.8625,Jornada,-0.34
La Jornada: Grupo opositor minero impugnará los acuerdos de la convención nacional,2010-05-06,-0.6486,Jornada,0.34
"La Jornada: Débil nexo entre educación, ciencia y problemática social, dicen expertos",2010-05-06,-0.7717,Jornada,-0.6808
La Jornada: Faltan fármacos para 32 mil portadores de VIH: Censida,2010-05-06,-0.8074,Jornada,-0.296
La Jornada: Aumento del nivel del mar afecta mangles,2010-05-06,-0.296,Jornada,0.0
La Jornada: Convoca la CNTE al mitin del 15 de mayo,2010-05-06,-0.25,Jornada,0.0
"La Jornada: Pobre, visión pedagógica de la SEP",2010-05-06,-0.6705,Jornada,-0.2732
"La Jornada: Calderón, uno de los jinetes del Apocalipsis: diputados",2010-05-06,-0.8402,Jornada,0.0
"La Jornada: Dios ya juzgó los comportamientos criminales de Marcial Maciel, afirma arzobispo emérito",2010-05-06,0.128,Jornada,-0.3182
La Jornada: Elaboran en el IPN fresas libres de virus,2010-05-06,0.0,Jornada,0.5106
La Jornada: Responde el Centro Pro a Calderón,2010-05-06,0.25,Jornada,0.0
La Jornada: Recrean ante Calderón la Batalla de Puebla,2010-05-06,-0.3818,Jornada,-0.3818
La Jornada: Arraigan a dos colombianos vinculados al cártel de Pereira,2010-05-06,0.0,Jornada,0.0
La Jornada: La ultraderecha busca dañar a Cuba: Aguilera,2010-05-06,-0.6249,Jornada,-0.5423
La Jornada: Calderón exalta arrojo del Ejército,2010-05-06,0.0258,Jornada,0.3612
"La Jornada: Mayúsculo, el problema de la criminalidad: Marina",2010-05-06,-0.3612,Jornada,-0.4019
La Jornada: Soslayó la PGJDF entrevistar a un implicado en muerte de Digna Ochoa,2010-05-06,-0.9442,Jornada,-0.5994
"La Jornada: Detenidos, tres empleados de Reporte Índigo por vigilar a familia de Genaro García Luna",2010-05-06,-0.5719,Jornada,-0.4767
La Jornada: Al aceptar la visa de EU México se convierte en Estado asociado: French,2010-05-06,0.6597,Jornada,0.3818
"La Jornada: Ante ley Arizona, emprenderán México y EU programa de repatriación voluntaria",2010-05-06,-0.8658,Jornada,0.0
La Jornada: Demanda Ebrard que la izquierda vaya unida a la elección presidencial de 2012,2010-05-06,-0.4019,Jornada,0.7506
La Jornada: Apremian a modificar el sistema penal,2010-05-06,-0.0258,Jornada,0.0
"La Jornada: La delincuencia organizada va hacia la autodestrucción, vaticina Gómez Mont",2010-05-06,-0.9501,Jornada,-0.5423
La Jornada: Renuncia en NL jefe policiaco a quien se investiga por homicidio,2010-05-06,-0.4767,Jornada,0.0
La Jornada: Vacaciones en San Lázaro,2010-05-06,-0.128,Jornada,0.3818
La Jornada: Atletas profesionales retan a la ley Arizona,2010-05-06,-0.743,Jornada,0.0772
La Jornada: Obama encabeza celebración del 5 de mayo,2010-05-06,-0.3182,Jornada,0.0
La Jornada: Aprueba la Corte supresión de derechos laborales de agentes policiacos y del MP,2010-05-06,-0.4404,Jornada,0.4019
"La Jornada: Hoy, diputados de PRD, PT y PAN negocian periodo extraordinario",2010-05-06,0.8442,Jornada,0.0
"La Jornada: Lavado de dinero, área con pocas indagatorias",2010-05-06,0.6808,Jornada,0.0
"La Jornada: El secretario, mentiroso y poco serio; tiene sueños guajiros, dicen senadores",2010-05-06,-0.6124,Jornada,-0.0416
La Jornada: Prevén DEA y FBI aumento de la violencia del narco en México,2010-05-06,-0.8591,Jornada,-0.4215
La Jornada: Comprador anónimo de óleo de Picasso hace historia en el mercado del arte: Christie’s,2010-05-06,0.5994,Jornada,0.0
"La Jornada: La tragedia debe ir acompañada de humor o ironía, si no queda plana: Vila-Matas",2010-05-06,-0.743,Jornada,-0.5423
La Jornada: Las obras más caras,2010-05-06,-0.296,Jornada,0.0
La Jornada: La ley Arizona evidencia el racismo metido en la venas de EU: Luis Valdez,2010-05-06,-0.9796,Jornada,-0.6249
"La Jornada: Pacheco, Monsiváis y yo vimos en la literatura nuestro mundo: Pitol",2010-05-06,0.3182,Jornada,0.0
La Jornada: Empiezan a hacer radiografía de la Pirámide del Sol con equipo de física,2010-05-06,-0.4588,Jornada,0.0
La Jornada: Dormir mal contribuye al aumento de diabetes,2010-05-06,-0.296,Jornada,-0.2023
La Jornada: Llaman a la SCJN a hacer historia,2010-05-06,0.0,Jornada,0.0
