article,pub_date,nltk_score,source,nltk_score_title
The Day: Mass protests in Seoul against the G-20 summit,2010-11-08,-0.296,Jornada,-0.2263
La Jornada: Low in degree in air safety causes loss of 500 thousand passengers in 3 months,2010-11-08,-0.6705,Jornada,-0.1531
La Jornada: Guevara Manzo opens Mexico pavilion at the London fair,2010-11-08,0.0,Jornada,0.3182
La Jornada: Aviacsa ready to resume operations in December,2010-11-08,-0.296,Jornada,0.3612
La Jornada: 5.2% arrivals increase to 61 country airports: Sectur,2010-11-08,0.4939,Jornada,0.3182
"La Jornada: Correction mid-course, announces Obama",2010-11-08,-0.8176,Jornada,0.0
La Jornada: Frictions and rivalries cloud APEC ministerial meeting,2010-11-08,-0.4939,Jornada,0.0
The Day: China hopes to boost recovery,2010-11-08,0.0,Jornada,0.6705
La Jornada: Isusacell accuses Nextel of hiding reports to the SEC,2010-11-08,-0.765,Jornada,-0.5574
La Jornada: Financial alert: in 4 years grew the debt of states and municipalities 70%,2010-11-08,0.34,Jornada,-0.0772
La Jornada: In the stock market they are financed from companies to state governments,2010-11-08,0.5719,Jornada,0.0
La Jornada: Consultations begin to define interconnection rates,2010-11-08,-0.6705,Jornada,0.0
The Journey: Zacatecas: Hugo Gutiérrez Vega Chair,2010-11-08,0.0,Jornada,0.0
The Day: Four lucid glances reveal to India the mystique of Day of the Dead,2010-11-08,-0.9313,Jornada,-0.6486
La Jornada: Gajuca demystifies butoh and evokes chinchorros rites,2010-11-08,-0.8126,Jornada,0.0
La Jornada: Cuban joy and flavor put an end to the Cervantine cultural festival,2010-11-08,0.8689,Jornada,0.7906
"La Jornada: Exploring the body without limits, proposed by the Company Marie Chouinard",2010-11-08,-0.2732,Jornada,0.0
La Jornada: For FIC 2011 invited companies will be asked to give a free function,2010-11-08,-0.7862,Jornada,0.5106
La Jornada: 8 bondholders of Hidalgo released on bail,2010-11-08,0.8442,Jornada,0.0
"La Jornada: A Topo Chico, a youth accused of homicide",2010-11-08,-0.5267,Jornada,-0.296
La Jornada: Investigates IPN in Neza soil movements,2010-11-08,-0.1779,Jornada,0.0
