article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Llegan a México 13 mil 800 mdd en un año en capitales golondrinos,2010-10-25,0.7351,Jornada,0.0
"La Jornada: Confidencial, el precio al que Pemex venderá etano por 10 años",2010-10-25,0.0,Jornada,0.0
La Jornada: Proponen reformas a la ley de aeropuertos y asignación de slots,2010-10-25,-0.128,Jornada,0.0
La Jornada: ASPA: buscarán trabajadores capitalizar a Mexicana para reiniciar operaciones,2010-10-25,-0.7783,Jornada,0.0
"La Jornada: Firme, el negocio de Televisa y Nextel, según Mediatelecom",2010-10-25,-0.296,Jornada,0.0
"La Jornada: Revertir la baja inversión en vivienda y educación en el presupuesto, pide la IP",2010-10-25,0.1531,Jornada,-0.2732
La Jornada: Con Obama no habrá un replanteo estratégico hacia Cuba: académico,2010-10-25,-0.886,Jornada,-0.296
La Jornada: Obispo brasileño lanza campaña abierta contra la candidatura de Dilma Rousseff,2010-10-25,-0.8779,Jornada,0.0
La Jornada: Soldados de EU mataron a más de 680 civiles en puestos de control en Irak,2010-10-25,-0.9694,Jornada,-0.6705
La Jornada: Descarta la ONU que haya un nuevo foco de epidemia de cólera en Puerto Príncipe,2010-10-25,-0.1027,Jornada,-0.25
La Jornada: Abuelas de Plaza de Mayo cumplen 33 años de luchar contra la impunidad en Argentina,2010-10-25,0.8225,Jornada,0.296
La Jornada: HRW insta al gobierno iraquí a procesar a torturadores,2010-10-25,-0.2732,Jornada,-0.802
La Jornada: Chávez firma acuerdos con premier de Portugal,2010-10-25,0.4588,Jornada,0.2732
"La Jornada: El climático, único cambio desde que el demócrata llegó a la Casa Blanca: Juventud Rebelde",2010-10-25,0.0,Jornada,0.0
La Jornada: Netanyahu advierte a palestinos que no es realista recurrir a instancias internacionales,2010-10-25,0.7351,Jornada,-0.1027
La Jornada: Se estudiarán problemas de Roma: Rivera,2010-10-25,0.0,Jornada,-0.4019
La Jornada: En 2012 ganaremos por 20 puntos: AMLO,2010-10-25,-0.9136,Jornada,0.5859
La Jornada: Policías de Saltillo matan a tres miembros de una familia,2010-10-25,0.128,Jornada,-0.6908
"La Jornada: Roberto Gil Zuarth, candidato a dirigir el PAN; lo consideran incondicional de Felipe Calderón",2010-10-25,-0.7351,Jornada,0.0
"La Jornada: El titular de la SEP, a rendir cuentas por los gastos del bicentenario: legisladores",2010-10-25,0.34,Jornada,0.0
"La Jornada: Desaprovechada, la riqueza petrolera mexicana: Ortiz",2010-10-25,-0.5267,Jornada,0.4939
"La Jornada: Preocupante, el curso de las políticas económicas en este país y en el mundo",2010-10-25,-0.2263,Jornada,-0.34
La Jornada: Exigen al gobierno federal más libros y menos armas,2010-10-25,-0.9686,Jornada,-0.4779
"La Jornada: La lucha anticrimen, viable sólo si se acompaña del combate a la pobreza, afirman juzgadores",2010-10-25,-0.9623,Jornada,-0.8176
La Jornada: Analizan extremar sanciones contra las entidades que desvíen recursos federales,2010-10-25,-0.296,Jornada,0.0
"La Jornada: El ataque en Juárez estaba dirigido a un joven apodado El Ratón, indican pesquisas",2010-10-25,-0.8658,Jornada,-0.4767
La Jornada: Propone Slim red nacional de bienestar social mínimo,2010-10-25,-0.0516,Jornada,0.0
La Jornada: Garantiza Gabino Cué que su gobierno investigará el asesinato de Pazos Ortiz,2010-10-25,-0.9022,Jornada,-0.6908
"La Jornada: La seguridad social para deudos de agentes federales muertos en su labor, mero discurso",2010-10-25,0.802,Jornada,-0.7351
La Jornada: Da a conocer el tricolor propuesta de reforma laboral,2010-10-25,-0.743,Jornada,0.0
La Jornada: Mitin del SME en el Cereso de Puebla por la libertad de Miguel Márquez,2010-10-25,-0.6908,Jornada,0.6369
"La Jornada: Al menos 2 mil trabajadores de la CFE, sancionados por anomalías y corrupción",2010-10-25,-0.9313,Jornada,-0.4588
"La Jornada: Con militares, otro rasero",2010-10-25,0.34,Jornada,0.0
"La Jornada: Acuerdo nacional y no cálculos políticos, pide González Barrera",2010-10-25,0.5859,Jornada,0.4939
La Jornada: Falsos imaginarios sobre la delgadez,2010-10-25,0.0,Jornada,0.0
La Jornada: En México aumentan los casos de anorexia y bulimia en hombres,2010-10-25,-0.9337,Jornada,0.3182
"La Jornada: Trauma por golpes o accidentes, principal causa de muerte en niños de uno a 4 años",2010-10-25,-0.9612,Jornada,-0.8402
La Jornada: Elude Sedeso atender a niño jornalero mutilado,2010-10-25,-0.9393,Jornada,0.0
"La Jornada: Purgan reclusas condenas entre abusos y discriminación, en prisiones para varones",2010-10-25,-0.0516,Jornada,-0.8074
La Jornada: Subrogan el IMSS e ISSSTE atención médica a particulares,2010-10-25,0.4939,Jornada,0.0
La Jornada: Urge invertir en proyectos contra cambio climático,2010-10-25,0.0,Jornada,0.0
"La Jornada: Avances tecnológicos en la vida cotidiana, en la semana de la ciencia",2010-10-25,-0.296,Jornada,0.0
"La Jornada: Asociaciones civiles, en riesgo por falta de profesionalización",2010-10-25,-0.5994,Jornada,-0.5267
La Jornada: Limitan universidades fondos en ciertas áreas por escasos recursos,2010-10-25,-0.8074,Jornada,0.0516
La Jornada: El problema de la osteoporosis puede producir una epidemia de fracturas,2010-10-25,-0.8126,Jornada,-0.4019
La Jornada: Detienen a 2 líderes de la CETEG,2010-10-25,0.25,Jornada,-0.4767
La Jornada: Estampida por pánico en NL; un lesionado,2010-10-25,0.0,Jornada,-0.8316
La Jornada: Consejeros del CEIG conservarán salario,2010-10-25,0.0,Jornada,0.0
La Jornada: Chihuahua: un reo muerto y 6 heridos en riña,2010-10-25,-0.8957,Jornada,-0.7906
La Jornada: Alerta en cinco estados por el huracán Richard,2010-10-25,-0.128,Jornada,0.296
La Jornada: El miedo persiste en Tlacotalpan,2010-10-25,-0.2023,Jornada,-0.4939
La Jornada: Retiene Fidel Herrera fondos a ediles: IP,2010-10-25,0.2023,Jornada,0.0
La Jornada: Respalda obispo cierre de mina en Chiapas,2010-10-25,0.0,Jornada,0.0
La Jornada: Sanadores de gays les preguntan si practican brujería o fueron violados,2010-10-25,-0.7003,Jornada,-0.6808
"La Jornada: Neva, puesta que aborda las tensiones sociales no resueltas",2010-10-25,-0.9633,Jornada,-0.4019
"La Jornada: Los siete dedos de la mano, por la renovación del género circense",2010-10-25,0.6705,Jornada,0.4939
La Jornada: Otra cara de Ciudad Juárez en el FIC,2010-10-25,0.3182,Jornada,0.0
"La Jornada: Las palabras de Alí Chumacero viven entre nosotros, sus lectores",2010-10-25,-0.8271,Jornada,0.0
La Jornada: Faltan músicos en el país que toquen por puro amor al arte: Rivero Weber,2010-10-25,-0.6808,Jornada,0.6597
La Jornada: Analiza Kelly A.K. la permanencia de la bella durmiente en la literatura universal,2010-10-25,-0.3612,Jornada,0.5859
La Jornada: En noviembre llevarán a Miami un mosaico de la literatura mexicana,2010-10-25,0.2023,Jornada,0.0
La Jornada: In memoriam,2010-10-25,-0.2732,Jornada,0.0
La Jornada: Morelia: evocan a Chumacero en encuentro latino de poetas,2010-10-25,0.7845,Jornada,0.0
La Jornada: Digitalizarán legado literario del escritor Alejo Carpentier,2010-10-25,-0.4939,Jornada,0.0
