article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Temen empresarios nuevos aumentos de impuestos si se baja un punto del IVA,2010-10-18,-0.296,Jornada,-0.5719
La Jornada: Televisa podría asestar un golpe demoledor al gobierno federal,2010-10-18,-0.9001,Jornada,-0.7003
"La Jornada: Campaña de terror, denuncian empleados de confianza de Mexicana",2010-10-18,-0.872,Jornada,0.0516
La Jornada: Pilotos piden considerar la aviación actividad prioritaria del Estado,2010-10-18,-0.7845,Jornada,0.0
"La Jornada: Empresarios del turismo, reacios a usar la marca México",2010-10-18,-0.5267,Jornada,-0.25
La Jornada: Francia enfrenta el martes nueva jornada de huelga general,2010-10-18,-0.3818,Jornada,-0.128
"La Jornada: Al mes, 3 de cada 4 mexicanos se quedan sin dinero antes de tiempo",2010-10-18,0.886,Jornada,0.0
"La Jornada: La ocupación hotelera en playas, en menor nivel que en 2008",2010-10-18,0.0,Jornada,-0.296
La Jornada: El Partido Verde de Brasil anuncia postura independiente rumbo a la segunda vuelta,2010-10-18,-0.5267,Jornada,0.4019
"La Jornada: Mineros en Chile exigen su finiquito al grito de no somos 33, somos 300",2010-10-18,-0.9531,Jornada,-0.5574
La Jornada: Wikileaks no reveló datos delicados: Gates,2010-10-18,-0.6908,Jornada,0.0
La Jornada: NYT: Milicias pro-EU se unen a Al Qaeda en Irak,2010-10-18,0.0,Jornada,0.296
"La Jornada: Un fracaso, prohibir el uso de la mariguana",2010-10-18,-0.9702,Jornada,-0.7845
La Jornada: Siguen rescates en minas de Ecuador y China,2010-10-18,0.0,Jornada,0.3182
La Jornada: Protesta la Liga Árabe por llevar a cabo en Jerusalén reunión de la OCDE sobre turismo,2010-10-18,-0.4767,Jornada,-0.2263
La Jornada: Ahmadinejad pide respeto en el nuevo diálogo sobre su proyecto nuclear,2010-10-18,-0.5719,Jornada,0.4767
La Jornada: Correa pide a Uribe entregar información sobre bombardeo a campamento de las FARC,2010-10-18,0.1027,Jornada,0.0
La Jornada: Para la izquierda nacionalista no hay otra vía que la pacífica para la independencia: Otegi,2010-10-18,-0.8779,Jornada,0.25
La Jornada: Periodistas de Bolivia suspenden ayuno,2010-10-18,-0.5859,Jornada,-0.3182
La Jornada: Violencia en Pakistán; 25 muertos y 70 heridos,2010-10-18,-0.8834,Jornada,-0.8555
La Jornada: Adherentes de la otra campaña denuncian agresiones de paramilitares,2010-10-18,0.6369,Jornada,-0.6486
La Jornada: Ola de críticas contra el líder del SNTSS,2010-10-18,0.0,Jornada,-0.4404
La Jornada: Se complica garantizar la protección de datos personales: Peschard,2010-10-18,-0.9231,Jornada,0.25
La Jornada: Recula el PRI en su promesa de reducir de 16 a 15% el IVA,2010-10-18,0.4588,Jornada,0.3182
La Jornada: Todo lo que divida a la izquierda favorecerá a Peña Nieto: Ebrard,2010-10-18,0.25,Jornada,0.4019
La Jornada: La Policía Federal no apoya a los familiares de sus héroes caídos,2010-10-18,-0.991,Jornada,-0.1174
La Jornada: Sostiene el Ifai que está en el abandono oficial desde 2004,2010-10-18,0.3818,Jornada,-0.5267
La Jornada: La dirigencia nacional del PRD ya pactó con Calderón ir juntos en 2012: AMLO,2010-10-18,0.5994,Jornada,0.2732
"La Jornada: Chiapas, pionero en atención de urgencias obstétricas y en reanimación neonatal",2010-10-18,0.0,Jornada,0.1531
La Jornada: Crimen organizado y televisoras pueden incidir en las elecciones,2010-10-18,0.2263,Jornada,-0.5423
La Jornada: PGR convirtió en enemigo público a uno de los jueces que liberaron a ediles del michoacanazo,2010-10-18,-0.296,Jornada,-0.5423
La Jornada: Guía de vacunación por celular,2010-10-18,0.0,Jornada,0.0
La Jornada: Mueren dos triquis que fueron emboscados por grupo armado,2010-10-18,0.25,Jornada,-0.6705
La Jornada: El cártel de Los Zetas ha convertido el secuestro de migrantes en su mina de oro,2010-10-18,0.891,Jornada,0.0
La Jornada: Estufas ahorradoras de leña y cisternas cambian la vida a mujeres de La Teresa,2010-10-18,-0.4019,Jornada,0.0
La Jornada: Critica Arizmendi la progresiva liberación de indígenas sentenciados por el caso Acteal,2010-10-18,0.8176,Jornada,-0.3612
La Jornada: Inicia Cáritas la octava edición de su colecta Por un México sin hambre,2010-10-18,-0.4588,Jornada,0.1877
La Jornada: La PGR no avanza en el caso Radilla: ONG,2010-10-18,-0.8442,Jornada,0.0
"La Jornada: Despiden a 40 agentes federales asignados a Ciudad Juárez, tras hallarles droga y armas",2010-10-18,-0.6908,Jornada,-0.4404
La Jornada: La PGR bloquea una denuncia contra el Grupo México por el caso Pasta de Conchos,2010-10-18,-0.8079,Jornada,-0.4767
La Jornada: Condena SG asesinato de comisario,2010-10-18,-0.6908,Jornada,-0.743
La Jornada: No cuadran las cifras sobre agentes ultimados,2010-10-18,-0.7096,Jornada,0.0
La Jornada: Marchan para exigir que aparezcan 31 michoacanos,2010-10-18,-0.5423,Jornada,-0.128
La Jornada: Aumentar la plantilla docente piden rectores de universidades,2010-10-18,-0.4019,Jornada,0.3182
La Jornada: Reducen presupuesto a instituciones educativas,2010-10-18,0.0,Jornada,0.0
"La Jornada: Pobres y sin acceso al bachillerato, más de un millón de jóvenes: INEE",2010-10-18,-0.9493,Jornada,-0.4767
"La Jornada: Echarán del SNI a 324 miembros de UNAM, Poli, UAM y UACh",2010-10-18,-0.8555,Jornada,0.0
La Jornada: Daña cambio climático a la vaquita marina: INE,2010-10-18,-0.6486,Jornada,-0.4404
La Jornada: Ayuda Fundación Diarq a las víctimas de violencia a retomar las riendas de su vida,2010-10-18,-0.9825,Jornada,-0.5859
La Jornada: Guardias vecinales amenazan con más linchamientos en Chihuahua,2010-10-18,0.872,Jornada,-0.3818
La Jornada: Refuerza Tamaulipas combate al crimen,2010-10-18,0.8481,Jornada,-0.7184
La Jornada: Incierto futuro de damnificados en zona irregular de Monterrey,2010-10-18,-0.5859,Jornada,-0.5423
"La Jornada: Amaga violencia en Coxquihui, Veracruz, tras anular el TEPJF victoria del PRI",2010-10-18,-0.9382,Jornada,-0.6249
La Jornada: Inauguran sede consular en Tapachula,2010-10-18,0.4939,Jornada,0.0
La Jornada: Ex munícipe de La Paz intenta volver al cargo,2010-10-18,0.0,Jornada,0.0
"La Jornada: Riqueza botánica, en la mira de extranjeros",2010-10-18,0.0,Jornada,0.4939
La Jornada: Cafetaleros piden alternativas para quedarse en Jaltenango,2010-10-18,-0.926,Jornada,0.0
La Jornada: Frena el INAH obras de casas para indígenas,2010-10-18,0.0,Jornada,0.0
"La Jornada: Activistas de Zimapán, en contra de acueducto",2010-10-18,0.1027,Jornada,0.0
La Jornada: Denuncian la desaparición de 45 migrantes,2010-10-18,0.6597,Jornada,-0.34
La Jornada: Mil 500 militantes toman sede del PRD en Jalisco,2010-10-18,-0.296,Jornada,0.0
"La Jornada: Jazz, barroco y danza japonesa, en emblemáticos recintos de Guanajuato",2010-10-18,0.4404,Jornada,0.0
La Jornada: Zacatecas: hacen festival de teatro con 75% menos de recursos,2010-10-18,-0.296,Jornada,0.4939
La Jornada: Desinformación provoca fricciones entre performanceros y activistas en el Ángel,2010-10-18,-0.0516,Jornada,0.0
La Jornada: Con gran convocatoria transcurrió el primer fin de semana del Cervantino,2010-10-18,-0.3182,Jornada,0.0
La Jornada: Aclaman en el Cervantino la amalgama de artes milenarias de Cloud Gate Theatre,2010-10-18,0.8779,Jornada,0.0
"La Jornada: “Miss Narco no es una apología del crimen organizado, sino otra mirada”: Valdez",2010-10-18,-0.7506,Jornada,-0.3867
La Jornada: Destruyen mural en Coacalco porque se refería a Atenco y Aguas Blancas,2010-10-18,-0.5267,Jornada,-0.5423
La Jornada: Extienden la estancia de Rostros de la Divinidad en el MNA,2010-10-18,-0.2732,Jornada,0.6597
La Jornada: Expertos analizarán en un coloquio los problemas del arte contemporáneo,2010-10-18,-0.4939,Jornada,-0.4019
