article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Conservar y usar la diversidad genética de cultivos y silvestre evitará riesgo alimentario,2010-10-27,0.4019,Jornada,-0.5106
"La Jornada: Guillermo Ortiz, nuevo presidente del consejo de administración de Banorte",2010-10-27,-0.0516,Jornada,0.0
"La Jornada: México, incapaz de consolidar un proyecto de nación, dice CI",2010-10-27,0.0,Jornada,0.0
"La Jornada: Pese a la recesión, aumentó el valor de las acciones en la bolsa",2010-10-27,0.5574,Jornada,0.4404
"La Jornada: Partida en el PEF para centrales de abasto, piden comerciantes",2010-10-27,0.8957,Jornada,0.0
La Jornada: Aumentará la población pobre en zonas urbanas,2010-10-27,-0.4939,Jornada,-0.2023
La Jornada: Invierte Telmex $11 mil millones en infraestructura y tecnología este año,2010-10-27,0.0,Jornada,0.0
La Jornada: Reporta Cemex pérdida de 86 millones de dólares en el tercer trimestre del año,2010-10-27,-0.8126,Jornada,-0.5994
La Jornada: Suárez Coppel: fue un chisguete la reforma de Pemex hace 2 años,2010-10-27,-0.9287,Jornada,0.0
La Jornada: Donación de Soros a favor de legalizar la mariguana,2010-10-27,0.1779,Jornada,0.4019
La Jornada: Primer triunfo de la izquierda en Lima en casi 30 años,2010-10-27,0.6808,Jornada,0.0
La Jornada: Exige ONU a EU por decimonoveno año consecutivo eliminar el boicot a Cuba,2010-10-27,-0.9931,Jornada,-0.3182
La Jornada: Por falta de marco legal siguen en Cuba obstáculos en las telecomunicaciones,2010-10-27,-0.9643,Jornada,-0.5267
"La Jornada: Sismo, tsunami y erupción dejan al menos 123 muertos en Indonesia en dos días",2010-10-27,-0.6249,Jornada,-0.6705
La Jornada: Correa destituye al titular de inteligencia por no alertar de la sublevación policiaca,2010-10-27,0.7845,Jornada,0.4767
La Jornada: Bagdad condena a muerte al ex canciller Tarik Aziz por crímenes contra chiítas,2010-10-27,-0.959,Jornada,-0.802
La Jornada: Emplazamiento de la isla a EU en la OMC,2010-10-27,0.0,Jornada,0.0
La Jornada: Irán inicia carga de combustible en el reactor de su central nuclear,2010-10-27,-0.802,Jornada,0.0
La Jornada: Aumentan a 284 las víctimas fatales por el cólera en Haití,2010-10-27,-0.8316,Jornada,0.0
"La Jornada: Gobernación, al margen de alianzas",2010-10-27,0.4939,Jornada,0.0
La Jornada: EU debe ser congruente en sus acciones contra el narco: Calderón,2010-10-27,-0.9652,Jornada,0.0
La Jornada: Disparan militares a ciudadano de EU por ir en una camioneta sospechosa,2010-10-27,-0.0772,Jornada,-0.7269
"La Jornada: En 1993, Salinas ofreció a EU abrir Pemex al capital extranjero",2010-10-27,0.7003,Jornada,0.0
La Jornada: Usa foto de Calderón y mapa de México campaña racista en EU,2010-10-27,-0.836,Jornada,-0.6124
La Jornada: Narro: no quebrará las finanzas otorgar uno por ciento a la ciencia,2010-10-27,0.0,Jornada,0.5423
"La Jornada: Al gobierno le ha faltado organización en la lucha anticrimen, reconoce Blake",2010-10-27,0.0258,Jornada,-0.3818
La Jornada: Reprueban ONG cambio a fuero castrense,2010-10-27,-0.296,Jornada,0.0
La Jornada: El MULT niega implicación de tres escoltas en el asesinato del líder Heriberto Pazos,2010-10-27,-0.3182,Jornada,-0.7717
La Jornada: La relación bilateral ha sido frustrante,2010-10-27,-0.9001,Jornada,-0.4404
La Jornada: Aprueba el Senado la Ley de Ingresos 2011,2010-10-27,-0.6249,Jornada,0.4019
"La Jornada: La corrupción es general, pero abajo hay mordidas y arriba tarascadas: AMLO",2010-10-27,-0.4215,Jornada,0.296
"La Jornada: Ley de Refugiados, un paso adelante: Muñoz Ledo",2010-10-27,-0.6808,Jornada,0.0
"La Jornada: Fracaso, la estrategia antinarco",2010-10-27,0.0516,Jornada,-0.5106
La Jornada: Ex procuradora de Chihuahua ofrece su vida a cambio de la de su hermano,2010-10-27,0.296,Jornada,0.0
La Jornada: Presenta Creel iniciativa contra lavado,2010-10-27,-0.4767,Jornada,0.0
La Jornada: Productores de tabaco piden más apoyo,2010-10-27,-0.8402,Jornada,0.4576
"La Jornada: Rectifique, pide Espino a Calderón",2010-10-27,0.3612,Jornada,0.4215
La Jornada: Rechaza Corte controversia del Ifai,2010-10-27,0.6808,Jornada,-0.4939
La Jornada: Se perfila que PRI y PAN se repartirán los puestos en el Consejo General del IFE,2010-10-27,-0.9118,Jornada,0.3818
La Jornada: Propone el SNSP instaurar el mando único de policía de manera escalonada,2010-10-27,0.3612,Jornada,0.0
La Jornada: Molinar Horcasitas insiste en su campaña para proteger la licitación 21 y a Nextel,2010-10-27,-0.93,Jornada,0.3818
La Jornada: Atacan base policial en NL; renuncian los agentes,2010-10-27,-0.969,Jornada,-0.6705
La Jornada: Ley del Primer Empleo creará 250 mil puestos: Beltrones,2010-10-27,-0.296,Jornada,0.2732
"La Jornada: Peña Nieto, prototipo del espot y la nota pagada, fustiga Lujambio",2010-10-27,-0.8957,Jornada,0.0
La Jornada: México requiere un nuevo contrato social: Fuentes,2010-10-27,-0.7003,Jornada,0.0
La Jornada: Opinión,2010-10-27,-0.9572,Jornada,0.0
La Jornada: Hay en Juárez tres veces más consumo de drogas que el promedio nacional: Conadic,2010-10-27,-0.8316,Jornada,0.0
La Jornada: Inaugura la Marina base en Michoacán; servirá de cuña para enfrentar el hampa,2010-10-27,0.2263,Jornada,0.0
La Jornada: No considera el Ejecutivo dar más recursos a centros de desintoxicación el año próximo,2010-10-27,-0.802,Jornada,0.0
La Jornada: Pide Godoy Toscano conocer a sus acusadores ante juicio de desafuero,2010-10-27,-0.6808,Jornada,-0.25
La Jornada: Desciende el desarrollo democrático de México a niveles de 2005,2010-10-27,-0.1779,Jornada,0.0
La Jornada: Cuba agradece a México rechazo al bloqueo de EU,2010-10-27,0.5423,Jornada,-0.1531
La Jornada: Han fallecido 191 militares en la lucha contra el narco de 2006 a agosto pasado,2010-10-27,-0.9287,Jornada,-0.7351
La Jornada: El voceador también es víctima de quienes buscan silenciar a la prensa: Raúl Ramos,2010-10-27,-0.34,Jornada,-0.2732
La Jornada: Busca el SME llenar el estadio Azteca con quienes lo apoyan,2010-10-27,0.0,Jornada,0.4404
La Jornada: Aprueban que el IMSS dé vales de medicinas a derechohabientes,2010-10-27,-0.7096,Jornada,0.0
La Jornada: Apoyan en Mecanismo de Tuxtla acciones contra el cambio climático,2010-10-27,0.0,Jornada,0.4019
"La Jornada: Necesario, renovar las políticas públicas sobre el agua",2010-10-27,-0.25,Jornada,0.0
"La Jornada: México, entre los países de AL con más desigualdad social, dice informe",2010-10-27,-0.3612,Jornada,0.0
La Jornada: Se prevé caída de 0.9% en el financiamiento para universidades públicas estatales en 2011,2010-10-27,-0.5267,Jornada,0.0
La Jornada: Repudian sindicatos y organizaciones sociales la privatización descarada,2010-10-27,-0.5267,Jornada,0.0
La Jornada: Peligra la diversidad genética de plantas que sirven de alimento,2010-10-27,-0.0516,Jornada,0.0
La Jornada: Fumar duplica riesgo de padecer Alzheimer,2010-10-27,-0.6597,Jornada,-0.2732
La Jornada: Edil electo de Culiacán niega riqueza malhabida,2010-10-27,0.0,Jornada,0.1027
La Jornada: Cambia Peña Nieto secretarios de Desarrollo Social y Turismo,2010-10-27,0.0,Jornada,0.0
La Jornada: Pedirán priístas juicio político contra el gobernador de Jalisco,2010-10-27,0.4019,Jornada,-0.2263
La Jornada: Pide Moreira esperar investigación sobre muerte de civiles en Coahuila,2010-10-27,-0.7579,Jornada,-0.5423
La Jornada: El gobierno de Jalisco pagará a 29 empresas cursos en el Centro Fox,2010-10-27,-0.296,Jornada,-0.1027
La Jornada: Ratifica el TEPJF triunfo de Javier Duarte en Veracruz,2010-10-27,-0.296,Jornada,0.4767
La Jornada: Solicitará el IEEM $50 millones extras,2010-10-27,0.0,Jornada,0.0
La Jornada: Opositores a La Parota acudirán ante la CIDH,2010-10-27,0.0,Jornada,0.0
La Jornada: Concluye el Ejército Plan DN-III en Veracruz,2010-10-27,-0.8225,Jornada,0.0
"La Jornada: Negociaciones de la UdeG, estancadas",2010-10-27,-0.6124,Jornada,0.0
La Jornada: Ordena el TEPJF realizar elecciones extraordinarias en San Juan Chamula,2010-10-27,0.0,Jornada,0.0
La Jornada: Proponen crear radio ecuménica en Chiapas,2010-10-27,-0.296,Jornada,0.2732
La Jornada: Ampliarán queja contra Luisa María Calderón,2010-10-27,0.5267,Jornada,-0.296
La Jornada: Rechazados toman la Nicolaíta,2010-10-27,-0.8807,Jornada,-0.5106
La Jornada: El Senado auspicia obras para documentar la instauración y reconstrucción de México,2010-10-27,-0.8271,Jornada,0.0
La Jornada: La Secretaría de Cultura tiene un techo presupuestal de $430 millones de pesos,2010-10-27,-0.5994,Jornada,0.0
"La Jornada: El Museo de la Revolución Mexicana abre sus puertas en Saltillo, Coahuila",2010-10-27,-0.3818,Jornada,0.0
"La Jornada: García Canclini pide invertir en cultura, no en fastos efímeros",2010-10-27,-0.9783,Jornada,0.0
"La Jornada: Monteverdi nos permite improvisar y crear algo muy contemporáneo, afirma Christina Pluhar",2010-10-27,0.4404,Jornada,0.2732
"La Jornada: Mínimos, los recursos federales para festejos patrios en los estados",2010-10-27,-0.296,Jornada,0.0
La Jornada: La FILIJ llega a 30 años y ha logrado una transformación social de los lectores infantiles,2010-10-27,0.4939,Jornada,0.0516
La Jornada: Qatar manifiesta interés por adquirir la casa de subastas Christie’s; no hay oferta oficial: emir,2010-10-27,-0.8402,Jornada,0.2023
La Jornada: Resalta legisladora las bondades del estímulo fiscal para revitalizar el teatro a escala nacional,2010-10-27,-0.296,Jornada,-0.1027
