article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Aprueba Senado ingreso de contingentes navales extranjeros para el desfile,2010-09-10,-0.296,Jornada,0.0
La Jornada: Expulsan 170 bases zapatistas de Chilón,2010-09-10,-0.875,Jornada,-0.25
La Jornada: Suspenden las fiestas patrias en tres municipios de SLP,2010-09-10,0.5859,Jornada,-0.128
"La Jornada: Delincuentes y arbitrarios, los del sindicato minero: Lozano",2010-09-10,-0.9246,Jornada,0.0
La Jornada: Comparecerán Vega Casillas y Lujambio,2010-09-10,0.0,Jornada,0.0
La Jornada: Intentan los criminales infiltrar los mecanismos de toma de decisiones,2010-09-10,0.7579,Jornada,-0.5719
La Jornada: Rechazan senadores que EU condicione la Iniciativa Mérida al tema derechos humanos,2010-09-10,-0.8402,Jornada,-0.5106
"La Jornada: Adquiridas en EU, 75% de las armas usadas para perpetrar delitos en México",2010-09-10,-0.9792,Jornada,-0.1779
"La Jornada: Grave, que la SCJN se pronuncie contra sentencia de la CIDH",2010-09-10,0.5267,Jornada,-0.3818
La Jornada: Amenaza Hacienda con recortar las transferencias a entidades federativas,2010-09-10,0.8176,Jornada,-0.3612
La Jornada: Ya son ocho arraigados por matanza,2010-09-10,0.0,Jornada,0.0
La Jornada: Firman Yucatán e Infonavit convenio para que mediadores cobren créditos,2010-09-10,0.0258,Jornada,0.6908
La Jornada: Litigio contra Echeverría devela fortuna que amasó en su sexenio,2010-09-10,0.5423,Jornada,-0.2023
"La Jornada: El proyecto económico presentado por el gobierno es inútil para crecer, dice el PRI",2010-09-10,0.1027,Jornada,-0.4215
La Jornada: Preparan en el Senado discusión del paquete,2010-09-10,0.0,Jornada,0.0
La Jornada: Responsabilidad del Estado en violencia escalofriante que viven los migrantes: AI,2010-09-10,0.4215,Jornada,-0.6369
La Jornada: Los pueblos indígenas a 200 años de exclusión,2010-09-10,0.0,Jornada,-0.296
La Jornada: Reunión de Calderón con el presidente de El Salvador,2010-09-10,0.0,Jornada,0.0
La Jornada: Prevén más violencia entre La Familia y La Resistencia,2010-09-10,-0.4019,Jornada,-0.6478
"La Jornada: Tiende a la recesión el presupuesto que plantea el gobierno, advierten economistas",2010-09-10,-0.296,Jornada,-0.4939
"La Jornada: Improcedente, extradición de Sandra Ávila",2010-09-10,-0.4767,Jornada,-0.4767
La Jornada: Debaten en la UNAM sobre legalizar drogas,2010-09-10,-0.5267,Jornada,0.0
La Jornada: La Barbie negocia con la DEA su extradición a EU,2010-09-10,-0.9601,Jornada,0.0
