article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Sobrecargos prorrogan emplazamiento a huelga contra Mexicana de Aviación,2010-09-14,-0.0516,Jornada,0.0516
La Jornada: Logra la SCT resolución para no pagar a Unefon,2010-09-14,-0.4215,Jornada,0.0762
La Jornada: OCDE: probable desaceleración en países desarrollados,2010-09-14,0.0,Jornada,0.0
"La Jornada: México, ¿en picada lenta?",2010-09-14,-0.9584,Jornada,0.0
La Jornada: Cierra la BMV 16 y 17; los bancos no darán servicio esos días,2010-09-14,0.25,Jornada,0.0
"La Jornada: El mercado laboral, en situación desesperada, advierte el FMI",2010-09-14,-0.969,Jornada,-0.4019
"La Jornada: Se deben crear empleos, pero de calidad: OIT",2010-09-14,-0.9545,Jornada,0.128
La Jornada: Alivio en mundo financiero con las nuevas normas de Basilea,2010-09-14,-0.2732,Jornada,0.4767
La Jornada: Bancomer no cumple con transparencia en contratos de cuenta de depósito con tarjeta,2010-09-14,-0.6124,Jornada,0.0
La Jornada: Estragos económicos en comercios del AICM,2010-09-14,0.25,Jornada,0.0
"La Jornada: México, con capitalización adecuada",2010-09-14,0.4939,Jornada,0.2263
"La Jornada: Según el presupuesto, el crecimiento será claramente insuficiente en 2011: Invex",2010-09-14,-0.2023,Jornada,0.6486
La Jornada: Geithner impulsa en EU un paquete de estímulos,2010-09-14,0.4019,Jornada,0.0
La Jornada: Sarkozy ordenó desmantelar campamentos ilegales y en primer lugar los de gitanos,2010-09-14,-0.6908,Jornada,-0.5574
La Jornada: Le Monde demandará al Estado francés por violar ley sobre confidencialidad de fuentes periodísticas,2010-09-14,-0.7351,Jornada,-0.5423
La Jornada: Ex jefes de DEA piden no legalizar mariguana,2010-09-14,0.0,Jornada,0.0
La Jornada: Policía mata a 13 personas en India,2010-09-14,0.0,Jornada,-0.5423
La Jornada: Las FARC pudieron violar derechos: ONU,2010-09-14,0.4767,Jornada,-0.4939
La Jornada: Condenan a ex jefe de ETA a 83 años de cárcel,2010-09-14,-0.802,Jornada,-0.5267
La Jornada: Arranca el nuevo modelo cubano con más de medio millón de despidos,2010-09-14,0.6124,Jornada,0.0
La Jornada: Fidel Castro fue citado con exactitud: Goldberg,2010-09-14,-0.5267,Jornada,0.0
La Jornada: Japón pide perdón a ex prisioneros de guerra,2010-09-14,-0.8316,Jornada,-0.6908
La Jornada: Internautas chinos critican al gobierno,2010-09-14,0.5267,Jornada,-0.3818
La Jornada: Se estrella avión de aerolínea venezolana con 51 personas a bordo; mueren 15 y sobreviven 36,2010-09-14,-0.8316,Jornada,-0.5994
La Jornada: Lamenta la AIEA el veto iraní a dos de sus inspectores más experimentados,2010-09-14,-0.5106,Jornada,-0.3612
La Jornada: Reconoce OTAN víctimas civiles,2010-09-14,-0.8271,Jornada,-0.3182
La Jornada: Irán reprocha a Obama no haber condenado la propuesta de quema del Corán en Florida,2010-09-14,-0.5267,Jornada,-0.34
La Jornada: Rechazan en EU a hijos de inmigrantes,2010-09-14,0.34,Jornada,-0.5106
La Jornada: Rechaza Washington informe de AI sobre Irak,2010-09-14,0.0,Jornada,-0.4939
"La Jornada: Al jefe Diego lo abandonaron su familia y amigos, dicen plagiarios",2010-09-14,-0.4939,Jornada,0.4767
La Jornada: Presentan la declaración de la ONU sobre derechos de pueblos indígenas en tzeltal,2010-09-14,0.5106,Jornada,0.0
La Jornada: Cordero comparece hoy en la Cámara de Diputados,2010-09-14,0.3612,Jornada,0.0
"La Jornada: Se adelantó, la sucesión: Beltrones",2010-09-14,-0.2023,Jornada,0.2023
La Jornada: Exige Jacinta Francisco reparación del daño ocasionado por el proceso penal en su contra,2010-09-14,-0.9698,Jornada,-0.765
La Jornada: Ligas entre FARC y cárteles mexicanos,2010-09-14,0.0,Jornada,0.0
La Jornada: Realiza IFE ajustes a fecha de sustitución de credenciales 03,2010-09-14,0.2732,Jornada,0.0
La Jornada: Niega Marina que La Barbie haya ayudado a detener a El Grande,2010-09-14,-0.9423,Jornada,-0.6124
"La Jornada: En 10 años de gobiernos panistas, la SSP federal sextuplicó su presupuesto, reporta la Cámara",2010-09-14,0.6908,Jornada,0.2732
La Jornada: Agreden a balazos a un elemento de la escolta del gobernador de Chihuahua,2010-09-14,-0.9517,Jornada,-0.4767
"La Jornada: A consulta nacional, el plan alternativo de López Obrador",2010-09-14,-0.9349,Jornada,0.0
La Jornada: Tramitará embajada de EU visas de inmigrante,2010-09-14,0.0,Jornada,0.0
