article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Alertas para seis estados,2010-09-05,-0.5719,Jornada,0.0
La Jornada: La delincuencia organizada se toma un descanso: sólo 11 ejecuciones en el país,2010-09-05,-0.7964,Jornada,-0.5423
La Jornada: La situación es de desastre en Juchitán; imposible hacer más,2010-09-05,-0.7096,Jornada,-0.6249
La Jornada: Evalúan EU y México política antidrogas,2010-09-05,0.34,Jornada,0.0
"La Jornada: De las estimaciones iniciales, la CFE triplica montos en los recibos de luz",2010-09-05,-0.296,Jornada,0.0
La Jornada: Discutirán problemática de las mujeres indígenas,2010-09-05,-0.4215,Jornada,-0.4019
La Jornada: La Barbie y siete cómplices pasarán 40 días bajo arraigo,2010-09-05,0.0772,Jornada,0.0
"La Jornada: Justifican la extinción de LFC con una falacia, dice Taibo II",2010-09-05,-0.9201,Jornada,0.0
"La Jornada: Abandono y ensañamiento, de las principales sensaciones en mujeres presas, revela estudio",2010-09-05,-0.9042,Jornada,-0.891
"La Jornada: Reactualizadas, las premisas de revolucionarios del siglo XX",2010-09-05,0.296,Jornada,0.0
"La Jornada: Ya se moviliza la ayuda, dice Calderón vía Twitter",2010-09-05,0.0,Jornada,0.0
"La Jornada: Sin cambios en 23 años, problemas de jóvenes en México: Castillo Berthier",2010-09-05,-0.802,Jornada,-0.4019
La Jornada: Familiares de desaparecidos llevan dos años de protestar ante la Corte,2010-09-05,-0.7096,Jornada,-0.5719
"La Jornada: En riesgo, los archivos históricos por las malas condiciones del AGN",2010-09-05,-0.5267,Jornada,-0.6808
"La Jornada: Comunidades zapatistas, en resistencia contra las altas tarifas de la CFE",2010-09-05,-0.6249,Jornada,0.0
La Jornada: Desalojan en Tabasco a 5 mil 200 personas por las inundaciones,2010-09-05,-0.296,Jornada,0.0
La Jornada: Preocupa más a Lujambio llegar a presidente que la educación: Gordillo,2010-09-05,-0.6712,Jornada,-0.1832
"La Jornada: La salud mental, afectada por la violencia: José Ángel Córdova",2010-09-05,-0.6124,Jornada,-0.6908
"La Jornada: Un error, precarizar condiciones laborales",2010-09-05,-0.6249,Jornada,-0.34
La Jornada: Retira el PRI apoyo a la iniciativa de Calderón sobre asociaciones IP-Estado,2010-09-05,-0.296,Jornada,0.4019
La Jornada: Definirá el PAN qué partido controlará la mesa directiva,2010-09-05,-0.4588,Jornada,0.4019
"La Jornada: Cientos de comunidades están anegadas en cuatro estados; sólo en Tlacotalpan, 7 mil casas afectadas",2010-09-05,-0.4404,Jornada,-0.1531
La Jornada: Salario en la manufactura es aquí de 2.91 dólares por hora; en EU es de 10,2010-09-05,0.0,Jornada,0.0
La Jornada: La deuda del gobierno equivale a un tercio del valor de la economía,2010-09-05,-0.0772,Jornada,-0.0258
La Jornada: Rezago en inversión pública y privada en telecomunicaciones y transportes,2010-09-05,0.4939,Jornada,-0.34
La Jornada: SRE apoyará a cementera mexicana ante Bolivia,2010-09-05,-0.0772,Jornada,0.4019
La Jornada: Delinea G-20 estrategias para la seguridad alimentaria,2010-09-05,0.8126,Jornada,0.34
La Jornada: Escasean gasolina y efectivo tras disturbios por alzas al precio del pan en Mozambique,2010-09-05,-0.8074,Jornada,-0.5106
"La Jornada: Calderón invade funciones del Legislativo en la transición digital de televisión, acusan",2010-09-05,-0.5574,Jornada,-0.2023
La Jornada: Dan a conocer el catálogo de la muestra Pioneros del muralismo,2010-09-05,-0.7506,Jornada,0.0
La Jornada: Romance per se,2010-09-05,0.8074,Jornada,0.5574
La Jornada: Historia de secuestro,2010-09-05,-0.3818,Jornada,0.0
La Jornada: Dona Rowling 10 millones de libras para nueva clínica de esclerosis múltiple,2010-09-05,-0.0516,Jornada,0.0
La Jornada: Encrucijada geográfica,2010-09-05,0.8555,Jornada,0.0
La Jornada: Joshua Bell pondera las virtudes sociales de la música; hoy se presenta con la OSN,2010-09-05,0.6369,Jornada,0.3612
La Jornada: Costuras y amor,2010-09-05,0.0772,Jornada,0.6369
"La Jornada: Pérdida de luz, una protesta enérgica contra la pederastia",2010-09-05,-0.9601,Jornada,-0.1027
La Jornada: A Monterrey,2010-09-05,0.2263,Jornada,0.0
La Jornada: Anuncia Gloria Contreras la temporada 84 del TCUNAM,2010-09-05,0.5574,Jornada,0.0
"La Jornada: Madame Bovary, conejita de Playboy a los 154 años de edad",2010-09-05,0.2263,Jornada,0.0
La Jornada: Sony lleva al pianista Lang Lang a todos los soportes,2010-09-05,0.0,Jornada,0.3612
La Jornada: Llaman a evitar visión mercantilista en la atención médica de personas,2010-09-05,-0.8934,Jornada,0.4588
"La Jornada: Sin ciencia, seremos país de mano de obra: AMC",2010-09-05,0.7506,Jornada,0.0
La Jornada: Carece sector salud de mecanismos para optimizar recursos: Córdova Villalobos,2010-09-05,0.0516,Jornada,0.4939
"La Jornada: Regresivo, medir la velocidad de lectura en escuelas: especialistas",2010-09-05,-0.34,Jornada,0.0
La Jornada: Anuncia CNTE movilización contra cierre de turnos y fusión de grupos,2010-09-05,-0.4939,Jornada,0.0
La Jornada: Afecta al país plaga liberada por EU para reducir cedros asiáticos,2010-09-05,-0.8625,Jornada,0.0
"La Jornada: Éxodo de médicos en Zapotitlán, por la violencia",2010-09-05,-0.9274,Jornada,-0.6249
La Jornada: Asaltan en Michoacán a funcionaria de migración,2010-09-05,-0.3182,Jornada,-0.5267
"La Jornada: Tres mil 600 familias de Ecatepec, sin servicio regular de agua desde julio",2010-09-05,-0.6808,Jornada,0.0
La Jornada: Sepultan hoy a diputados panistas fallecidos en accidente,2010-09-05,-0.5423,Jornada,-0.8225
La Jornada: Exige el CCTI protección para luchadores sociales en Guerrero,2010-09-05,-0.875,Jornada,0.0
La Jornada: Vuelca una camioneta en Izcalli; 10 heridos,2010-09-05,0.0,Jornada,-0.6597
La Jornada: Piden aclarar asesinato de periodista en Sinaloa,2010-09-05,-0.8225,Jornada,-0.6908
"La Jornada: Guanajuato, en alerta roja por el dengue",2010-09-05,0.0,Jornada,0.296
La Jornada: Crean consejo que negociará con talibanes,2010-09-05,0.5423,Jornada,0.0
La Jornada: Despojó la dictadura argentina de sus bienes a 604 empresarios: investigación,2010-09-05,-0.9001,Jornada,-0.34
La Jornada: Admite una agente que espió a magistrados que juzgan a políticos aliados de Álvaro Uribe,2010-09-05,0.7845,Jornada,0.296
La Jornada: Miles se manifiestan en Francia y Europa contra el racista Sarkozy,2010-09-05,-0.8689,Jornada,-0.6124
"La Jornada: Reciben a Tony Blair en Dublín con lluvia de huevos, botellas y zapatos",2010-09-05,-0.5994,Jornada,0.0
La Jornada: Polémica sobre migrantes islamitas obliga al gobierno alemán a convocar a debate,2010-09-05,-0.5267,Jornada,0.0
