article,pub_date,nltk_score,source,nltk_score_title
"La Jornada: Se reúne Calderón con la dirigencia del PRI; seguridad pública, el tema central",2010-09-07,0.7906,Jornada,0.34
La Jornada: Pide tricolor presupuesto sin simulación a Ejecutivo,2010-09-07,-0.5267,Jornada,0.0
La Jornada: Instan constructores al Congreso a dar seguimiento al gasto para obra pública,2010-09-07,0.4939,Jornada,0.0
La Jornada: Llama Vázquez Mota a una elección de consejeros del IFE sin cuotas partidistas,2010-09-07,-0.296,Jornada,0.0
La Jornada: Estudia el Sutin en su 18 congreso política contra la reforma laboral,2010-09-07,-0.3612,Jornada,0.0
"La Jornada: Autoridades no se atreven a aplicar la ley ante ataques del clero al Estado, acusan",2010-09-07,-0.3612,Jornada,-0.5719
La Jornada: Presentan los 114 aviones y helicópteros que participarán en el desfile militar,2010-09-07,-0.128,Jornada,0.0
La Jornada: Se inician indagatorias,2010-09-07,-0.4404,Jornada,0.0
"La Jornada: Poco claro, el uso del gasto público: Ifai",2010-09-07,-0.5267,Jornada,-0.25
La Jornada: Diputados rechazan acusación de que el pueblo de México es corrupto y asesino,2010-09-07,0.296,Jornada,-0.836
La Jornada: Demandará el SME al Congreso establecer tarifa social en el consumo de electricidad,2010-09-07,0.1779,Jornada,-0.128
La Jornada: Elementos de la Armada detuvieron a 12 presuntos delincuentes en Tamaulipas,2010-09-07,-0.9313,Jornada,-0.6249
La Jornada: La PF localiza en Veracruz a 80 inmigrantes centroamericanos ocultos en un tractocamión,2010-09-07,-0.4767,Jornada,0.0
La Jornada: Mueren 26 personas en acciones ligadas a la delincuencia organizada,2010-09-07,-0.802,Jornada,-0.8402
"La Jornada: Necesaria, mayor presencia de Estado para vencer al narco, afirma la OEA",2010-09-07,-0.2732,Jornada,-0.128
La Jornada: Demanda AI que cumpla el Estado,2010-09-07,-0.7351,Jornada,-0.128
La Jornada: Exigen reintegrarse al sindicato nacional minero 900 trabajadores,2010-09-07,0.4404,Jornada,-0.128
La Jornada: Precandidatos acusan a líder de la CNC de comprar conciencias,2010-09-07,-0.5267,Jornada,-0.2023
La Jornada: Funes no demandará a México,2010-09-07,-0.296,Jornada,0.0
