article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Marcha antisandinista degenera en disturbios,2011-04-03,0.0,Jornada,-0.5106
La Jornada: Otra fuga de agua radiactiva de Fukushima se filtra al Pacífico,2011-04-03,0.34,Jornada,-0.34
La Jornada: La elección de Obama envalentonó a la derecha de EU: Mumia Abu-Jamal,2011-04-03,-0.9717,Jornada,0.0
La Jornada: Renuncia Rodríguez Zapatero a la tercera postulación presidencial,2011-04-03,-0.9753,Jornada,-0.3182
La Jornada: Aún no indaga la OTAN errores de la coalición que mataron a decenas de civiles,2011-04-03,-0.8271,Jornada,-0.5252
La Jornada: Se extienden las protestas en Afganistán contra la quema de un ejemplar del Corán en Gainsville,2011-04-03,-0.6808,Jornada,-0.2263
"La Jornada: Por ignorancia, la negativa chilena de una salida al mar para Bolivia: Evo Morales",2011-04-03,0.2023,Jornada,-0.3612
La Jornada: Empiezan Estados Unidos y Europa amplio despliegue de asesores en torno a Bengasi,2011-04-03,-0.7906,Jornada,0.4215
"La Jornada: Por errores, fuerzas de OTAN matan a 23 civiles en dos días",2011-04-03,-0.9716,Jornada,-0.7964
La Jornada: Fallece policía católico norirlandés tras estallar una bomba escondida en su coche,2011-04-03,-0.875,Jornada,-0.7783
"La Jornada: Infiltrados, culpables de la violencia: Santos",2011-04-03,0.0,Jornada,-0.7845
La Jornada: Mueren al menos 800 marfileños en Duekoue en luchas intercomunitarias,2011-04-03,-0.8957,Jornada,-0.7906
La Jornada: Juzgan en Arabia Saudita a miles de seguidores de Al Qaeda,2011-04-03,0.34,Jornada,0.4404
La Jornada: Investigadores denuncian hostigamiento,2011-04-03,-0.6705,Jornada,-0.5423
La Jornada: Detienen en Durango a 15 narcos con arsenal,2011-04-03,-0.8807,Jornada,-0.4767
La Jornada: Un caso de falsificación da vuelco y alcanza a ex funcionarios de la PGR,2011-04-03,-0.9423,Jornada,0.0516
La Jornada: Familiares de víctimas de Sucumbíos rechazan la visita de Álvaro Uribe,2011-04-03,0.4404,Jornada,-0.6124
La Jornada: Campaña en Internet contra dos empresas de Carlos Slim,2011-04-03,-0.6369,Jornada,0.0
"La Jornada: Reportan 3 mil 195 asesinatos en el primer trimestre; en marzo, el mayor número",2011-04-03,0.8126,Jornada,-0.5719
La Jornada: Destraba el Senado reforma para reclasificar personal de la Sedena,2011-04-03,0.6124,Jornada,0.0
La Jornada: Capturan en Nayarit a 5 tratantes de personas,2011-04-03,-0.8225,Jornada,0.0
La Jornada: Sempra opera de forma irregular puerto de altura y cabotaje concesionado en 2007,2011-04-03,0.2732,Jornada,0.0
"La Jornada: Diarios de AL usan la tecnología, pero temen a la interacción",2011-04-03,-0.5994,Jornada,-0.6486
La Jornada: La poesía ya no existe en mí,2011-04-03,-0.9062,Jornada,-0.296
"La Jornada: De seguir así, llegaremos a un punto sin retorno: Sicilia",2011-04-03,-0.9825,Jornada,0.1027
La Jornada: Aprehenden a presuntos plagiarios,2011-04-03,0.0,Jornada,0.0
"La Jornada: Reconocer la consulta, exige Bravo Mena a perredistas opositores a la alianza en el Edomex",2011-04-03,0.4019,Jornada,0.0
La Jornada: Facilita el despido la reforma laboral de PRI y AN: abogado,2011-04-03,-0.6249,Jornada,0.0
La Jornada: Acciones de grupos criminales dejan 29 muertos en Chihuahua,2011-04-03,-0.7003,Jornada,-0.836
La Jornada: Buscan usar tv del Estado para campañas de 2012: expertos,2011-04-03,-0.4939,Jornada,0.0
La Jornada: Participará la Marina en las maniobras del Comando Sur,2011-04-03,0.34,Jornada,0.0
"La Jornada: Presentación de desaparecidos, exige Hijos",2011-04-03,-0.2732,Jornada,-0.296
La Jornada: Me quieren matar porque yo no me hago pendejo,2011-04-03,-0.9892,Jornada,-0.3716
La Jornada: Reporta la CNDH más de 5 mil extraviados en este sexenio,2011-04-03,-0.9413,Jornada,-0.3744
"La Jornada: Un honor, que me culpen del fracaso de la alianza en el Edomex: AMLO",2011-04-03,-0.25,Jornada,-0.3612
La Jornada: Encinas hace hoy la presentación formal de su precandidatura al gobierno mexiquense,2011-04-03,-0.25,Jornada,0.0
La Jornada: La rebelión en Egipto acabó con Mubarak y con la prensa censurada y ajena al lector,2011-04-03,0.5994,Jornada,-0.2732
La Jornada: Rencuentro,2011-04-03,-0.4767,Jornada,0.0
"La Jornada: Quakebook, iniciativa desde Internet para apoyar a víctimas de terremoto en Japón",2011-04-03,-0.765,Jornada,0.1027
La Jornada: Integra Ripstein registro audiovisual de destacadas figuras de la cultura y el arte,2011-04-03,0.0,Jornada,0.6124
