article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Keiko Fujimori apologizes to Peruvians for the excesses of her father's government,2011-04-26,-0.765,Jornada,0.3612
La Jornada: Tepco to reduce wages,2011-04-26,0.0,Jornada,0.0
La Jornada: About 500 prisoners are fleeing from an Afghan prison; The majority are Taliban,2011-04-26,-0.9201,Jornada,-0.765
La Jornada: EU tries to contain WikiLeaks damage in Guantánamo case,2011-04-26,-0.4019,Jornada,-0.4939
La Jornada: Military operations in Syria to restore calm; 25 dead,2011-04-26,-0.6486,Jornada,-0.2023
La Jornada: It will take 50 years to ensure that Chernobyl is no longer a danger,2011-04-26,-0.9633,Jornada,-0.4588
"La Jornada: Yemeni opposition accepts agreement for Saleh's departure, amid more protests",2011-04-26,0.9287,Jornada,0.5118
La Jornada: Extradite Colombia to presumed leader of the FARC,2011-04-26,-0.6808,Jornada,0.0
The Day: More than one hundred thousand are manifested in Germany against atomic energy,2011-04-26,-0.4939,Jornada,0.2732
"La Jornada: Gaddafi, well, safe and in good spirits after bombardment of his bunker: Libyan government",2011-04-26,-0.8591,Jornada,0.7845
La Jornada: Deputies will work hard,2011-04-26,-0.6369,Jornada,-0.1027
La Jornada: Procrastination in the appointment of electoral counselors delays work,2011-04-26,-0.5267,Jornada,0.0
"La Jornada: Tourism in Sonora did not fall, despite warnings in Spain and US: Padrés",2011-04-26,-0.5859,Jornada,-0.1673
"La Jornada: On Thursday, AMLO begins a tour of several states",2011-04-26,0.0,Jornada,0.0
La Jornada: Senators agree to approve political reform in general,2011-04-26,0.2732,Jornada,0.3612
"La Jornada: Rejection of the labor reform of PRI-PAN, main flag this May 1: UNT",2011-04-26,-0.6908,Jornada,-0.5423
La Jornada: Increases to 75 the number of bodies found in narcofosas of Durango,2011-04-26,-0.2732,Jornada,0.0772
La Jornada: Denounce a woman's uprising by federal police,2011-04-26,-0.6124,Jornada,-0.34
La Jornada: Arrages military on death of doctor in NL,2011-04-26,-0.6597,Jornada,-0.5994
La Jornada: Lozano must explain in San Lázaro why he has not managed to throw Mexicana to fly,2011-04-26,-0.9186,Jornada,0.0
La Jornada: Sedena comes out in defense of the proposal,2011-04-26,-0.3612,Jornada,0.128
La Jornada: Local deputy of Guerrero denounces robbery and aggression by army personnel,2011-04-26,-0.25,Jornada,-0.6249
"La Jornada: One dead and six wounded, balance of attacks on shops in Tampico",2011-04-26,0.5267,Jornada,-0.802
La Jornada: Reject relection in ASSA,2011-04-26,0.0,Jornada,-0.4019
"La Jornada: Women's homes burn in Pikote, denounces JBG",2011-04-26,-0.7906,Jornada,-0.4404
La Jornada: Fear of NGOs seeking to create a police-military state in Mexico,2011-04-26,0.25,Jornada,-0.2732
La Jornada: NGO calls to protect migrants,2011-04-26,0.5574,Jornada,0.3818
La Jornada: Arrests in Arizona who hide illegal immigrants,2011-04-26,-0.8689,Jornada,-0.802
"La Jornada: Irregularities in the IFE, to be reviewed tomorrow",2011-04-26,-0.7269,Jornada,0.0
"La Jornada: After execution of livestock, businessmen demand that an end to the crime in La Laguna",2011-04-26,-0.8779,Jornada,-0.6124
"La Jornada: Against poverty, facts and not words, says Calderón",2011-04-26,-0.9552,Jornada,-0.5106
"La Jornada: It is a virtual coup d'état, warns Jaime Cárdenas Gracia",2011-04-26,0.8176,Jornada,-0.1027
La Jornada: The hostel La 72 is born in Tenosique,2011-04-26,0.3818,Jornada,0.0
La Jornada: Transfer to El Piolín to the Command Center of the Federal Police,2011-04-26,0.1027,Jornada,0.0
"La Jornada: Outside the law, more than 90% of the carboniferous",2011-04-26,-0.0772,Jornada,0.0
La Jornada: Nothing justifies the urgency of AN to approve changes to the LFT: Moreira,2011-04-26,-0.9682,Jornada,0.0
La Jornada: Work begins to clean up the Atoyac-Zahuapan basin,2011-04-26,0.1779,Jornada,0.4019
"La Jornada: The tricolor, in favor of the military jurisdiction",2011-04-26,-0.926,Jornada,0.4019
La Jornada: Gonzalo Rojas opens a door for young people to enter poetry,2011-04-26,0.4215,Jornada,0.0
The Day: Coal,2011-04-26,0.34,Jornada,0.0
"La Jornada: They report the discovery of a Mayan staircase covered with hieroglyphics in El Palmar, Campeche",2011-04-26,0.0,Jornada,0.0
La Jornada: The Amparo Museum will be rehabilitated; Receives $ 5 million from local government,2011-04-26,-0.9001,Jornada,0.0
"La Jornada: Gonzalo Rojas died, author of the poetry of Latin America",2011-04-26,-0.8074,Jornada,-0.5574
La Jornada: Three new conflagrations in Coahuila; Is revived in Nuevo Leon one that was already controlled,2011-04-26,-0.6369,Jornada,0.0
La Jornada: Jalisco: accidents left at Easter 41 dead,2011-04-26,-0.8885,Jornada,-0.765
The Journey: Losing in Guerrero the record of the murder of Armando Chavarría,2011-04-26,-0.8689,Jornada,-0.8074
La Jornada: Arrest of university doctor linked to murder of Triqui leader in Oaxaca,2011-04-26,0.296,Jornada,-0.7964
"La Jornada: Veracruz, tourist destination of high level: Duarte",2011-04-26,0.4404,Jornada,0.0
La Jornada: Edomex: calls the SME not to vote for Bravo Mena,2011-04-26,-0.5267,Jornada,0.0
La Jornada: Cultural route to be promoted in Acapulco,2011-04-26,0.3182,Jornada,0.4215
La Jornada: Demand to release four detainees in Guerrero,2011-04-26,0.0,Jornada,-0.128
La Jornada: Increases attendance at the Casa del Migrante,2011-04-26,0.0,Jornada,0.0
"The Day: QR, the most affected state of the country; Owes more than $ 10 billion",2011-04-26,0.1027,Jornada,-0.2247
La Jornada: Defraudados by Red Box in Guanajuato 7 years ago still do not recover their savings,2011-04-26,-0.3612,Jornada,0.0
La Jornada: Request compensation for low cost of maize,2011-04-26,0.0,Jornada,-0.2732
La Jornada: Only 3% of inborn errors of metabolism are detected in time,2011-04-26,-0.8834,Jornada,-0.34
