article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Fallecen dos personas durante protesta en Perú,2011-04-08,-0.5994,Jornada,-0.7096
La Jornada: Dos muertos y un centenar de heridos deja un sismo de 7.1 grados Richter en noreste de Japón,2011-04-08,-0.6486,Jornada,-0.6705
La Jornada: Un hombre mata a tiros a 12 niños de una escuela en Brasil y se suicida,2011-04-08,-0.802,Jornada,-0.836
La Jornada: Central Obrera Boliviana declara huelga general; exige 10% de aumento salarial,2011-04-08,0.8271,Jornada,0.2023
"La Jornada: Expulsa EU al embajador de Ecuador; tomará otras represalias, amenaza",2011-04-08,-0.802,Jornada,-0.5267
La Jornada: Perecen 13 rebeldes en nuevo error de fuerzas de la OTAN,2011-04-08,-0.9858,Jornada,-0.4939
"La Jornada: Humala y Fujimori, a segunda vuelta: sondeo",2011-04-08,0.0,Jornada,0.0
La Jornada: Difícil que venzan a Kadafi: militar de EU,2011-04-08,0.1779,Jornada,-0.6705
La Jornada: Bombardeos israelíes contra la franja de Gaza provocan cinco decesos y 37 heridos,2011-04-08,-0.34,Jornada,0.0
La Jornada: Bashar otorga a kurdos la nacionalidad siria,2011-04-08,0.1779,Jornada,0.2263
"La Jornada: Armas gratis, ofrecen tiendas estadunidenses",2011-04-08,0.0,Jornada,0.1027
La Jornada: Revelan amplia relación de la bananera Chiquita con paramilitares colombianos,2011-04-08,0.9698,Jornada,0.0
"La Jornada: Cada día es peor que el anterior, dice soldado de la ONU en Abiyán",2011-04-08,-0.9485,Jornada,-0.4767
La Jornada: La ONU exhorta a Laurent Gbagbo a renunciar,2011-04-08,0.0,Jornada,-0.34
La Jornada: Detienen a otros dos activistas en China,2011-04-08,0.0,Jornada,-0.4767
La Jornada: Un millón rechazan en Colombia TLC con EU,2011-04-08,0.0,Jornada,-0.4019
La Jornada: Exigen liberar a comerciantes acusados de asesinar a un militar en Acapulco,2011-04-08,-0.802,Jornada,-0.7906
La Jornada: Indígenas violadas por soldados exigen al Estado cumplir sentencia de la CIDH,2011-04-08,-0.9337,Jornada,-0.7269
La Jornada: Exigen garantizar el acceso de los pueblos indígenas a los medios,2011-04-08,0.296,Jornada,0.128
La Jornada: Ganan activistas de Chihuahua y Oaxaca premio Méndez Arceo,2011-04-08,-0.5423,Jornada,0.8074
La Jornada: Es necesaria la etapa de dureza,2011-04-08,-0.5994,Jornada,0.0
La Jornada: Admite EU que la guerra antinarco es un fracaso,2011-04-08,-0.9781,Jornada,-0.7184
La Jornada: AMLO critica la designación: es una abogada que actúa por consigna,2011-04-08,-0.8425,Jornada,-0.34
La Jornada: Comienza la mudanza del Senado a su nueva sede,2011-04-08,-0.296,Jornada,0.0
La Jornada: Pide el EPR a indígenas y campesinos exigir aparición de compañeros,2011-04-08,0.0,Jornada,-0.128
"La Jornada: No aprobar una reforma laboral lesiva, demanda AMLO a diputados",2011-04-08,-0.9136,Jornada,-0.128
La Jornada: Organización Mundial contra la Tortura exige preservar integridad de 5 tzeltales,2011-04-08,-0.5994,Jornada,-0.3182
La Jornada: Marisela Morales ofrece romper inercias que encubren la corrupción en la PGR,2011-04-08,-0.9678,Jornada,0.0
La Jornada: Indagan diputados posible corrupción en reparto de la cuenca de Burgos,2011-04-08,0.4215,Jornada,0.0
La Jornada: Ultimátum de la corte interamericana en caso de mineros de Pasta de Conchos,2011-04-08,-0.4767,Jornada,0.0
La Jornada: Firman convenios en Puebla para emprender la revolución educativa,2011-04-08,0.0772,Jornada,0.2732
La Jornada: La DEA pide rectificar estrategias de combate contra los grupos criminales,2011-04-08,-0.4404,Jornada,-0.7003
La Jornada: Senado aprueba reformas contra la trata de personas,2011-04-08,-0.8834,Jornada,0.4019
La Jornada: Acuerdo de la CCC y senadores para atender emergencia alimentaria,2011-04-08,0.0,Jornada,0.1531
"La Jornada: La reforma laboral se desmorona, clamor en megamarcha de trabajadores",2011-04-08,-0.5994,Jornada,-0.296
"La Jornada: México, seguro para invertir, dice Pascual",2011-04-08,-0.9337,Jornada,0.4404
La Jornada: Ordena Ifai a PGR dar informe completo sobre drogas incautadas,2011-04-08,-0.296,Jornada,0.0
La Jornada: Levantan a la subdelegada de la PGR en Durango y un agente del Ministerio Público,2011-04-08,-0.1027,Jornada,0.0
La Jornada: Declinan más de 100 ONG asistir a reunión convocada por la cancillería y Gobernación,2011-04-08,-0.7269,Jornada,0.0
"La Jornada: La izquierda debe presentar propuestas viables, señala Cuauhtémoc Cárdenas",2011-04-08,-0.4215,Jornada,0.0
La Jornada: Las narcofosas confirman el fracaso de Calderón: AI,2011-04-08,-0.6597,Jornada,-0.5106
"La Jornada: Alto al hostigamiento policiaco, exigen al gobierno de Chiapas",2011-04-08,0.0,Jornada,-0.7351
La Jornada: Peña Nieto demanda revisar la estrategia federal de seguridad,2011-04-08,0.0,Jornada,0.34
"La Jornada: La aprobación será pospuesta, dice el Congreso del Trabajo",2011-04-08,-0.5267,Jornada,0.3182
La Jornada: PGR y SSP vigilarán la labor de la procuraduría de Morelos,2011-04-08,-0.8074,Jornada,0.0
La Jornada: Afirma El Vicentillo que delinquió con la autorización de funcionarios de EU,2011-04-08,-0.2023,Jornada,0.2732
La Jornada: Hay 14 detenidos por el hallazgo de 59 cuerpos en narcofosas en San Fernando,2011-04-08,-0.3182,Jornada,-0.4767
"La Jornada: El gobierno federal reforzará la seguridad en carreteras, dice Poiré",2011-04-08,0.6486,Jornada,0.6249
La Jornada: Admite la Corte controversia contra licitación internacional de Pemex sobre hidrocarburos,2011-04-08,0.872,Jornada,0.296
La Jornada: En Montana e Idaho regalan armas si se suscriben a la tv satelital,2011-04-08,-0.936,Jornada,-0.4404
"La Jornada: PRI, PRD y PVEM deploran la asistencia de niños en debate sobre trata de personas",2011-04-08,-0.9325,Jornada,0.0
La Jornada: Calderón espera la gloria del triunfo; mantendrá su plan sin ambigüedades,2011-04-08,-0.9873,Jornada,0.7845
"La Jornada: Asunto jurídico, no ético, petición de AN para que Alanís se excuse en un caso: IFE",2011-04-08,-0.5267,Jornada,-0.4215
La Jornada: Frailes apoyaron independencias en países de AL,2011-04-08,-0.296,Jornada,0.3182
La Jornada: Gran adiós a actor asesinado en Palestina,2011-04-08,0.0,Jornada,-0.1027
"La Jornada: Carlos Acosta, premio de danza en Cuba",2011-04-08,0.0,Jornada,0.5106
"La Jornada: La Fiesta del Libro y la Rosa se suma al reclamo de tranquilidad, paz y confianza en el país",2011-04-08,0.3182,Jornada,0.9042
La Jornada: La poesía y la negritud de Aimé Césaire ingresan al Panteón de Francia,2011-04-08,0.765,Jornada,0.0
La Jornada: La música,2011-04-08,0.0,Jornada,0.0
"La Jornada: La ruptura entre educación y arte, pérdida para el país, afirma Teresa Vicencio",2011-04-08,0.2263,Jornada,-0.3182
La Jornada: Recrea escultor balacera entre sicarios y militares en NL,2011-04-08,-0.7783,Jornada,0.0
La Jornada: Anuncian vasto programa cultural para celebrar el Día Mundial del Libro,2011-04-08,-0.296,Jornada,0.5719
La Jornada: Asume Diemecke la titularidad de la OFCM,2011-04-08,0.3182,Jornada,0.0
La Jornada: Protestan más de 9 mil profesores en Michoacán,2011-04-08,0.0516,Jornada,-0.25
La Jornada: Señalan fallas de diputados sonorenses,2011-04-08,0.4939,Jornada,-0.4588
La Jornada: Michoacán: diputado del PRD va tras postulación,2011-04-08,0.0,Jornada,0.0
La Jornada: Investigan a ex vocero del gobierno de BCS,2011-04-08,0.3182,Jornada,0.0
La Jornada: Mantienen amenaza de cárcel a opositores a El Zapotillo,2011-04-08,-0.296,Jornada,-0.4588
La Jornada: Fracasa alianza con el PAN en el Consejo Estatal del PRD-Edomex,2011-04-08,-0.1779,Jornada,-0.5106
La Jornada: Piden revocar permiso a proyecto turístico,2011-04-08,0.5423,Jornada,0.0
La Jornada: Policías de Tonalá y Culiacán reclaman incremento salarial,2011-04-08,-0.6597,Jornada,0.2023
"La Jornada: El campo de Querétaro y SLP, en alerta por sequía",2011-04-08,-0.5267,Jornada,0.296
La Jornada: Mueren 3 obreros en obras de agua potable,2011-04-08,-0.4767,Jornada,-0.6705
La Jornada: Rentarán Coahuila y Conafor 11 aeronaves para combatir fuego,2011-04-08,-0.8271,Jornada,-0.6124
La Jornada: Daños menores por sismo en Veracruz,2011-04-08,0.0,Jornada,-0.4939
La Jornada: Roban equipo a constructoras del Mexibús,2011-04-08,-0.6249,Jornada,-0.5106
"La Jornada: Ssa: estable, brote de A",2011-04-08,0.0,Jornada,0.296
La Jornada: Acusan a edil de tráfico de influencias,2011-04-08,0.0,Jornada,-0.296
"La Jornada: Descubren nueva fuerza natural; no es del bosón de Higgs, afirman",2011-04-08,-0.4019,Jornada,0.3612
"La Jornada: La biotecnología, opción para tratar varios tipos de cáncer",2011-04-08,-0.8689,Jornada,-0.4019
La Jornada: Perdieron eficacia por el abuso los antibióticos esenciales: OMS,2011-04-08,-0.765,Jornada,-0.3182
La Jornada: Con el voto del PRI y el PAN regresa el Senado minuta sobre ley antiobesidad,2011-04-08,-0.1779,Jornada,0.0
"La Jornada: Tabasco, con mejores condiciones para enfrentar fenómenos naturales: Granier",2011-04-08,-0.8834,Jornada,0.6597
La Jornada: Bloquean paso a la caravana ganadera con sus 50 vacas,2011-04-08,-0.5859,Jornada,-0.4404
La Jornada: Piden al Senado aprobar reforma sobre erogaciones para igualdad de género,2011-04-08,-0.7506,Jornada,0.0
La Jornada: Crea la UAM laboratorio de análisis socioterritorial,2011-04-08,0.0,Jornada,0.2732
La Jornada: Revivirá Conacyt programa de estímulos para promover inversión: Villa Rivera,2011-04-08,0.2732,Jornada,0.6124
La Jornada: El comercio mundial resentirá la crisis hasta entrado 2012: OMC,2011-04-08,0.0,Jornada,-0.7003
La Jornada: BM: la criminalidad le cuesta a América Central 8% del PIB,2011-04-08,0.0,Jornada,-0.5423
La Jornada: Aprueban legisladores de EU presupuesto,2011-04-08,0.0,Jornada,0.0
La Jornada: Bajó en marzo el índice de precios mundiales de alimentos,2011-04-08,0.0,Jornada,0.0
La Jornada: Opinión,2011-04-08,-0.9572,Jornada,0.0
La Jornada: Televisión Azteca retiró publicidad de Dish,2011-04-08,0.0,Jornada,0.0
La Jornada: Plantea Niño de Rivera transformación del mercado de las telecomunicaciones,2011-04-08,-0.4588,Jornada,0.0
La Jornada: Portugal pide rescate financiero a la CE,2011-04-08,0.0,Jornada,-0.1027
La Jornada: Llama Carstens a atemperar el optimismo sobre la recuperación,2011-04-08,-0.743,Jornada,0.1779
La Jornada: Riesgo de que usen el poder de la tv para promocionar o hundir a cualquiera: Mondragón,2011-04-08,-0.8885,Jornada,0.128
La Jornada: Demanda de petróleo superará la oferta: FMI,2011-04-08,0.0,Jornada,-0.128
La Jornada: Televisa compra 50% de Iusacell: única vía para frenar monopolio Telmex-Telcel,2011-04-08,0.6486,Jornada,-0.296
