article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Opponents in Libya report progress,2011-08-12,-0.128,Jornada,0.4215
La Jornada: Promote research in Cuba on homosexual abuses in UMAP,2011-08-12,-0.6597,Jornada,-0.25
La Jornada: Today ends Chávez's second chemo,2011-08-12,0.0,Jornada,0.0
La Jornada: Defense Ministry shooting in Estonia,2011-08-12,0.0,Jornada,0.128
La Jornada: Request to cancel state aid to participants in the riots,2011-08-12,0.0,Jornada,-0.6486
La Jornada: Cameron threatens to take the army to the streets and impose a curfew,2011-08-12,-0.926,Jornada,-0.5859
The Day: The Pentagon loses contact with supersonic aircraft,2011-08-12,-0.3818,Jornada,-0.3182
La Jornada: Downing Street Initiative to suspend mobile telephony in case of social outbreak,2011-08-12,0.34,Jornada,-0.3182
The Journey: Demand the deputy head of the British Parliament's Liberal Parliament to the Murdoch Consortium,2011-08-12,0.5267,Jornada,-0.128
La Jornada: Peasants in Bolivia collide,2011-08-12,-0.2263,Jornada,-0.0772
La Jornada: Challenges Piñera to Chilean students and unilaterally signs education law,2011-08-12,0.0,Jornada,0.0772
The Journey: Calls on the US to Russia and China to impose sanctions on the Syrian government for the repression of civilians,2011-08-12,-0.296,Jornada,-0.5859
La Jornada: They share the dream of a world free and without power of oppression,2011-08-12,0.8779,Jornada,0.7579
"La Jornada: Plantea writer ""rebuilding evil from modernity""",2011-08-12,0.0,Jornada,-0.6597
"La Jornada: A scene, a cry of dignity and rage against violence and war",2011-08-12,-0.936,Jornada,-0.9186
La Jornada: Researcher traces the pearls of Monsivais' torn optimism,2011-08-12,0.891,Jornada,0.3612
La Jornada: Cofetel has not received a report due to 3G failure,2011-08-12,-0.6808,Jornada,-0.5106
La Jornada: The BMV had its biggest rise of the year,2011-08-12,-0.296,Jornada,0.0
La Jornada: Nextel remains unable to exploit the spectrum awarded in tender 21,2011-08-12,-0.296,Jornada,0.3182
La Jornada: Obama deplores political clashes that led to credit degradation,2011-08-12,-0.8176,Jornada,-0.2023
La Jornada: Subsidiary of OHL obtains credit to build urban toll road,2011-08-12,0.7579,Jornada,0.3818
La Jornada: Wave of sales in the Mexican stock market cost 721 thousand 690.2 million pesos,2011-08-12,0.1027,Jornada,0.0
"La Jornada: Public consultation on the regulation of savings systems, announce",2011-08-12,0.0,Jornada,0.0
La Jornada: Risk of another gas war between Russia and Ukraine,2011-08-12,-0.8074,Jornada,-0.7184
La Jornada: Unasur seeks out of the crisis and the neoliberal scaffolding,2011-08-12,-0.296,Jornada,-0.6249
La Jornada: 21.2% increase in loans to buy cars,2011-08-12,-0.872,Jornada,0.3182
La Jornada: Values ​​refuge,2011-08-12,-0.5267,Jornada,0.4019
La Jornada: Bags are recovered; Earn up 4%,2011-08-12,-0.4404,Jornada,0.0
La Jornada: Reactivate financing to support small business,2011-08-12,0.25,Jornada,0.4019
La Jornada: CFC is notified of suspension of appeal against the fine of Telcel,2011-08-12,-0.7783,Jornada,0.2023
La Jornada: Tamaulipas: Panistas hold protests,2011-08-12,0.0516,Jornada,-0.2263
"La Jornada: Mexico, hand tied to deal with childhood cancer: specialist",2011-08-12,-0.9892,Jornada,-0.296
"La Jornada: Zavala Segura, new head of the State Electoral Council in Sonora",2011-08-12,0.25,Jornada,0.0
La Jornada: Admits lags in schools of Zacatecas,2011-08-12,0.0,Jornada,-0.0772
