article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Colombia denounces homicide of candidates,2011-08-17,-0.9337,Jornada,-0.4404
La Jornada: Stalled port of Latakia denounced,2011-08-17,0.0,Jornada,-0.2023
"La Jornada: Forces loyal to Gaddafi launch Scud missile; The regime, desperate, says NATO",2011-08-17,-0.7351,Jornada,0.2023
La Jornada: Russia presents hunting developed with India,2011-08-17,0.0,Jornada,0.0
La Jornada: Study of the British government imposing a curfew to prevent unrest,2011-08-17,-0.9186,Jornada,-0.0772
La Jornada: Alarming rate of child deaths in Somali refuge in Ethiopia,2011-08-17,-0.7269,Jornada,-0.128
"La Jornada: Telephone espionage discussed at Rupert Murdoch weekly meetings, journalist says",2011-08-17,-0.6705,Jornada,0.0
"La Jornada: Confirmed, the use of napalm: Cuban vice president",2011-08-17,0.4767,Jornada,0.0
Obama fears more of a solo attack,2011-08-17,0.0,Jornada,-0.7322
La Jornada: Vigilance around Chinese monastery,2011-08-17,-0.34,Jornada,0.0
La Jornada: Chilean artists occupy Unicef ​​headquarters in Santiago in support of students in fasting,2011-08-17,-0.8885,Jornada,0.4019
"La Jornada: Indian police detain more than 1,400 anti-corruption protesters",2011-08-17,-0.25,Jornada,-0.5719
La Jornada: CIA report declassified on failed Bay of Pigs Operation,2011-08-17,0.7003,Jornada,-0.5106
La Jornada: Chávez and Ajmadineyad talk about peace,2011-08-17,0.0,Jornada,0.5423
La Jornada: SAS suspends flight for a mouse,2011-08-17,0.0,Jornada,0.0
La Jornada: The UNAM creates the University Youth Orchestra Eduardo Mata,2011-08-17,0.0258,Jornada,0.2732
La Jornada: Convokes curator to live the experience of aesthetic language from the vision,2011-08-17,-0.1027,Jornada,0.25
La Jornada: Artist poses search of chaos with sculptures in kinwashi paper,2011-08-17,-0.6249,Jornada,-0.5719
La Jornada: Reapparece the Egyptologist and former minister Hawass,2011-08-17,-0.2263,Jornada,0.0
