article,pub_date,nltk_score,source,nltk_score_title
La Jornada: The left comes to power in Croatia,2011-12-05,0.0,Jornada,0.0
The Day: Triumphs the official United Russia in the legislative elections,2011-12-05,-0.296,Jornada,0.7003
La Jornada: World War II Bomb Disarmed,2011-12-05,-0.5994,Jornada,-0.7964
La Jornada: A label used to limit the flow of ideas,2011-12-05,-0.9975,Jornada,0.0
La Jornada: Brazil and Bolivia will share key information to face drug trafficking,2011-12-05,0.2732,Jornada,0.296
La Jornada: Iranian forces topple UN drone on border with Afghanistan,2011-12-05,-0.4939,Jornada,0.0
"La Jornada: For corruption, Brazilian sixth minister resigns",2011-12-05,0.0,Jornada,-0.3182
"La Jornada: Terrorist, ideal accusation to silence newspapers",2011-12-05,-0.9973,Jornada,-0.5106
La Jornada: Humala negotiates with farmers in Cajamarca,2011-12-05,0.0772,Jornada,0.0
La Jornada: Bahrain: bomb explodes outside embassy of Great Britain,2011-12-05,0.0,Jornada,0.2263
La Jornada: EU hires Iraqi tribes to protect withdrawal,2011-12-05,0.4939,Jornada,0.4019
La Jornada: Afghans vulnerable to weak judicial system: HRW,2011-12-05,-0.3612,Jornada,-0.5859
La Jornada: Increasing violations of human rights in Colombia: a verification mission,2011-12-05,0.2732,Jornada,-0.5267
La Jornada: EU sanctions Syrian media to pressure the Assar regime,2011-12-05,0.4588,Jornada,-0.296
La Jornada: La Cebra Danza Gay celebrates its 15 in the Palace of Fine Arts,2011-12-05,-0.9246,Jornada,0.6705
La Jornada: Chile will repeat as a guest country of FIL in 2012,2011-12-05,0.0,Jornada,0.0
"La Jornada: The Pérez Gay Method, a unique way to get into life",2011-12-05,-0.6808,Jornada,0.0
La Jornada: Pay tribute to Diego Rivera with a live mural,2011-12-05,0.4939,Jornada,-0.1027
"La Jornada: Demián Flores presents Estados, drawings on paper and gold leaves",2011-12-05,0.1779,Jornada,0.0
"La Jornada: Evil is not an option, it is part of man, defines Rüdiger Safranski",2011-12-05,0.8402,Jornada,-0.6597
"La Jornada: In Italy, austerity package for 30 billion euros",2011-12-05,-0.5574,Jornada,0.0
"La Jornada: In 9 months, the current account deficit soared 195%; Reaches 6.5 billion dollars",2011-12-05,0.4215,Jornada,-0.3612
La Jornada: Qatar agrees with Shell to build a petrochemical complex,2011-12-05,0.0,Jornada,0.2023
"La Jornada: Music, poetry and theater, expressions more and more frequent of Occupy Wall Street",2011-12-05,-0.5267,Jornada,0.0
La Jornada: The dynamism of national industry slows,2011-12-05,0.1531,Jornada,0.3818
La Jornada: Opens government of Peru dialogue with opponents of gold project,2011-12-05,0.0,Jornada,0.0
PDVSA receives credit from China to finance refinery in Brazil,2011-12-05,0.8126,Jornada,0.3818
La Jornada: Papandreou accuses his predecessors of not seeing a crisis approaching,2011-12-05,-0.4215,Jornada,0.2249
"La Jornada: Government City of Zacatecas, an award-winning white elephant",2011-12-05,-0.34,Jornada,0.0
La Jornada: Renres leadership of section 15 of the SNTE,2011-12-05,0.0,Jornada,0.0
IPS calls for austere campaigns in Yucatan,2011-12-05,0.0,Jornada,0.0
La Jornada: Three Panistas seek senaduría for Veracruz,2011-12-05,0.0,Jornada,0.0
"La Jornada: Alfredo Rodríguez, after applying in Yucatán",2011-12-05,0.0,Jornada,0.0
La Jornada: Students are forgotten in Huixquilucan,2011-12-05,-0.8591,Jornada,-0.2263
La Jornada: Maltreatment of seropositive people in Matamoros,2011-12-05,0.0516,Jornada,0.0
"The Journey: In hours, Trump nullifies the ATP, attacks NAFTA and scores with border taxes",2011-12-05,0.4767,Jornada,-0.4404
La Jornada: A woman who stole a goat to feed her daughters is arrested,2011-12-05,-0.8689,Jornada,-0.4767
La Jornada: NL: cut spending to electoral bodies,2011-12-05,0.0,Jornada,-0.2732
La Jornada: Retain scholarships to poor nayaritas,2011-12-05,0.0,Jornada,-0.4767
La Jornada: Guerrero's government blames for death of ecologist peasant in Cereso de Iguala,2011-12-05,-0.5859,Jornada,-0.765
