article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Today Noriega is extradited to Panama; Will remain in jail,2011-12-11,-0.91,Jornada,0.0
La Jornada: Ellen Johnson Sirleaf and Leymah Gbowee welcome the Nobel Peace Prize,2011-12-11,0.926,Jornada,0.8689
La Jornada: Taliban announce peace talks with Pakistani government,2011-12-11,0.9062,Jornada,0.5423
La Jornada: Basque political prisoners demand the end of the policy of dispersion,2011-12-11,-0.7845,Jornada,-0.5859
The Day: Multitudinous protest in Moscow against the falsification of the electoral results,2011-12-11,-0.9274,Jornada,-0.25
La Jornada: Venezuelan Consul in Miami Involved in Cyber ​​Attack Plans Against US,2011-12-11,0.3182,Jornada,0.0
La Jornada: Cristina Fernandez assumes her second term accompanied by a crowd,2011-12-11,-0.6705,Jornada,0.0
"La Jornada: For the first time, since 1901, the Nobel Prize was awarded to a deceased",2011-12-11,0.0258,Jornada,0.7184
La Jornada: Winners of the Rufino Tamayo Biennial,2011-12-11,0.0,Jornada,0.4767
"La Jornada: The tango is renewed, despite the reluctance of the Orthodox, says César Olguín",2011-12-11,-0.8225,Jornada,0.2584
La Jornada: Flows on,2011-12-11,0.0,Jornada,0.0
"La Jornada: Mexico, at a disadvantage to countries that do support research",2011-12-11,-0.4019,Jornada,-0.0258
"La Jornada: Cell phones, pernicious?",2011-12-11,0.2732,Jornada,0.0
La Jornada: Ecos of a traveler,2011-12-11,0.3182,Jornada,0.0
La Jornada: Reconstruction of a family history,2011-12-11,0.3182,Jornada,0.0
La Jornada: Illusions failed,2011-12-11,0.9493,Jornada,-0.5106
La Jornada: Taibo II gave an advance of the project Morena Cultura in the sixth Remate of Books,2011-12-11,-0.25,Jornada,0.0
La Jornada: Displays Gabriel Macotela in Cadiz,2011-12-11,0.0,Jornada,0.0
"La Jornada: The OFCM premiered in AL the musical tale El oso, by Tristan Schulze",2011-12-11,0.0258,Jornada,0.0
"La Jornada: Agreements reached at European summit will solve debt crisis, Germany",2011-12-11,-0.875,Jornada,-0.5106
La Jornada: Mexico will no longer charge additional tariffs on 209 Chinese products,2011-12-11,-0.7184,Jornada,-0.296
La Jornada: It will take years to recover from US: Obama,2011-12-11,-0.3612,Jornada,0.0
La Jornada: Evicted anti-Wall Street camp in Boston's financial district,2011-12-11,-0.8176,Jornada,0.0
La Jornada: Congress urges CFE to evaluate potential impacts on the mining project,2011-12-11,0.5267,Jornada,0.0
La Jornada: Edil hidalguense refuses to comply with an award that requires him to indemnify 42 employees,2011-12-11,0.5267,Jornada,0.5423
La Jornada: Heavy storms forecast in 5 states,2011-12-11,0.3182,Jornada,0.0
La Jornada: They evict firefighters and remove vehicles,2011-12-11,0.0,Jornada,0.0
La Jornada: Fifth car of formal prison against Salazar,2011-12-11,-0.9042,Jornada,-0.5106
La Jornada: Construction of naval base in Coahuila with investment of $ 200 million,2011-12-11,0.1779,Jornada,0.0
La Jornada: Law passed in NL calling for more equality,2011-12-11,0.0,Jornada,0.0
La Jornada: Fear of Veracruz before the next operation of the mine Caballo Blanco,2011-12-11,-0.4404,Jornada,-0.4939
La Jornada: Outbreak in drainage damages homes and sidewalks,2011-12-11,-0.5267,Jornada,-0.4404
La Jornada: Ssa warns of increased respiratory conditions in the winter season,2011-12-11,-0.7845,Jornada,0.1779
La Jornada: They admit that the Issste failed to receive prescription drugs,2011-12-11,-0.6705,Jornada,-0.3612
"La Jornada: Stagnant in the Senate, victim assistance law",2011-12-11,-0.4404,Jornada,-0.2732
La Jornada: There would be indications of plagiarists of activists: Aguirre Rivero,2011-12-11,0.0,Jornada,0.0
"La Jornada: Commitment to human rights, the challenge of anthropologists",2011-12-11,0.5267,Jornada,0.4404
La Jornada: Violence in the country has increased internal displacement: experts,2011-12-11,-0.8481,Jornada,-0.4588
La Jornada: Trade union organizations repudiate increased hunger at minimum,2011-12-11,0.3612,Jornada,0.0258
"La Jornada: Forced, update agreement with US to fight narco",2011-12-11,-0.34,Jornada,-0.34
