article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Anuncian cambios a la Constitución,2011-02-07,0.3182,Jornada,0.0
La Jornada: Assange comparece hoy en el juicio de extradición pedido por Suecia,2011-02-07,-0.9081,Jornada,0.0
La Jornada: Un rayo golpeó avión del presidente Evo Morales,2011-02-07,0.0,Jornada,-0.25
La Jornada: Soldados se niegan a salir del sur de Sudán,2011-02-07,-0.6597,Jornada,-0.34
La Jornada: AI solicita a Suiza abrir proceso judicial contra George W. Bush por torturas,2011-02-07,-0.802,Jornada,-0.5994
La Jornada: Al menos la Hermandad Musulmana está implicada en el diálogo que hemos estimulado: Hillary Clinton,2011-02-07,-0.25,Jornada,0.2263
La Jornada: Tiroteo en universidad de Ohio; un muerto,2011-02-07,-0.7269,Jornada,-0.6486
La Jornada: Wikileaks golpea el papel de Suleiman como mediador,2011-02-07,0.3182,Jornada,0.0
La Jornada: Marcha en Milán para exigir la renuncia de Berlusconi,2011-02-07,-0.5859,Jornada,-0.4019
La Jornada: Policías ocupan sin resistencia 9 favelas en Río de Janeiro,2011-02-07,0.0516,Jornada,0.0
La Jornada: Brasil busca el apoyo de Cuba para un sitio permanente en el Consejo de Seguridad,2011-02-07,0.5267,Jornada,0.6249
La Jornada: Prueban en California nuevo avión drone,2011-02-07,-0.7184,Jornada,0.0
La Jornada: El estadunidense Gross planeaba fomentar oposición al régimen cubano,2011-02-07,-0.8519,Jornada,-0.4767
"La Jornada: El gobierno de Mubarak ofrece concesiones, pero nada de renuncia",2011-02-07,-0.9337,Jornada,-0.4215
"La Jornada: Calderón, de fin de semana en Puerto Vallarta",2011-02-07,0.0,Jornada,0.0
La Jornada: Despide MVS a Carmen Aristegui por transgredir el código de ética,2011-02-07,-0.5267,Jornada,-0.5423
La Jornada: Anuncian cambios a la Constitución,2011-02-07,0.3182,Jornada,0.0
La Jornada: Escasa respuesta al paseo ciclista organizado en el Campo Militar 1,2011-02-07,-0.9796,Jornada,0.0
"La Jornada: La situación actual obliga a proteger a periodistas, reconoce Gobernación",2011-02-07,-0.6705,Jornada,0.3818
La Jornada: Llama Rafael Ochoa a no convertir el SNTE en maquinaria electoral,2011-02-07,-0.765,Jornada,0.0
La Jornada: Nadie ha tomado en sus manos la defensa de las indígenas presas,2011-02-07,-0.93,Jornada,-0.1779
"La Jornada: Jalisco, Nayarit y Colima, campo de batalla entre grupos de narcos",2011-02-07,-0.7184,Jornada,-0.3818
La Jornada: Disparan contra casa de dirigente triqui,2011-02-07,0.7906,Jornada,-0.34
"La Jornada: El gobierno de Mubarak ofrece concesiones, pero nada de renuncia",2011-02-07,-0.9337,Jornada,-0.4215
La Jornada: Seminario sobre lavado de dinero,2011-02-07,0.5267,Jornada,0.0
La Jornada: Fustiga la Iglesia católica a quienes proponen pactar con narcotraficantes,2011-02-07,-0.9712,Jornada,-0.5719
"La Jornada: Hallan militares cinco cuerpos mutilados en Los Ramones, NL",2011-02-07,0.4404,Jornada,-0.6486
La Jornada: Al menos la Hermandad Musulmana está implicada en el diálogo que hemos estimulado: Hillary Clinton,2011-02-07,-0.25,Jornada,0.2263
La Jornada: Wikileaks golpea el papel de Suleiman como mediador,2011-02-07,0.3182,Jornada,0.0
La Jornada: La Reina del Pacífico cumplió con la condena que le fue impuesta,2011-02-07,-0.9325,Jornada,0.4215
