article,pub_date,nltk_score,source,nltk_score_title
La Jornada: Protestas en Bahrein; chiítas condenan la represión,2011-02-16,-0.8126,Jornada,-0.7269
La Jornada: Irak: protestas contra gobernantes corruptos,2011-02-16,-0.4404,Jornada,-0.2263
"La Jornada: Internet, acelerador de cambios: Clinton",2011-02-16,0.0,Jornada,0.0
La Jornada: Aplazan otra vez juicio a Luis Posada Carriles,2011-02-16,0.4019,Jornada,-0.2023
La Jornada: Sudán del Sur: mueren cientos en ataques,2011-02-16,-0.7003,Jornada,-0.7783
La Jornada: Periodista de CBS sufre ataque sexual,2011-02-16,-0.4767,Jornada,-0.7845
La Jornada: Ocho años de cárcel a ex jefe de la policía política colombiana por espionaje telefónico,2011-02-16,0.802,Jornada,0.0
La Jornada: Sacar a Cuba de lista terrorista: Richardson,2011-02-16,0.0,Jornada,-0.6908
"La Jornada: Tras redada de corruptos, dimite el jefe policial de Río de Janeiro",2011-02-16,-0.128,Jornada,-0.3182
La Jornada: ¿Cómo se defenderá el premier?,2011-02-16,-0.8519,Jornada,0.0
"La Jornada: Prostitución de menor y abuso de poder, cargos a Il Cavaliere",2011-02-16,-0.8074,Jornada,-0.743
La Jornada: Piden legisladores de Irán pena de muerte para líderes de la oposición,2011-02-16,0.8126,Jornada,-0.7845
La Jornada: Políticamente incorrecto,2011-02-16,0.128,Jornada,0.0
La Jornada: División en Egipto por el ritmo para aplicar reformas,2011-02-16,-0.6486,Jornada,0.0
"La Jornada: Argentina, por preservar la soberanía luego del decomiso de armas y drogas a avión oficial de EU",2011-02-16,-0.1779,Jornada,-0.4404
La Jornada: Miles protestan en Bolivia por alzas de los precios de alimentos y el transporte,2011-02-16,0.7906,Jornada,-0.25
La Jornada: Reunión de Fidel Castro con intelectuales de izquierda,2011-02-16,-0.8689,Jornada,0.3818
"La Jornada: México, tan peligroso como Irak para los periodistas: CPJ",2011-02-16,-0.9859,Jornada,-0.4767
"La Jornada: Agotar la fase jurídica del caso Cassez, pidió Calderón a Sarkozy",2011-02-16,-0.6808,Jornada,-0.25
"La Jornada: Senadores de PRI, PAN y PRD plantean reformar ley antisecuestro",2011-02-16,-0.9423,Jornada,0.0
La Jornada: Fallo sobre la ley de extinción de dominio,2011-02-16,-0.8591,Jornada,0.0
La Jornada: Legisladores apoyan al gobierno y exigen sancionar a Genaro García,2011-02-16,-0.8074,Jornada,0.296
La Jornada: SRE: no adoptamos decisiones de política exterior consultando a presidiarios,2011-02-16,-0.5994,Jornada,-0.1326
La Jornada: Pacientes de escasos recursos denuncian malos tratos y cobro excesivo en el INER,2011-02-16,-0.7269,Jornada,-0.8074
"La Jornada: Exigen PRI, PRD y PT investigar la agresión",2011-02-16,-0.891,Jornada,-0.4019
La Jornada: Políticamente incorrecto,2011-02-16,0.128,Jornada,0.0
