article,pub_date,nltk_score,source,nltk_score_title
La Jornada: ONG critica la fallida ayuda de EU a Haití,2011-01-07,-0.5994,Jornada,-0.6908
La Jornada: Difundirá La Habana los estados financieros de empresas públicas y la ejecución del presupuesto,2011-01-07,-0.296,Jornada,0.0
La Jornada: Allanan en Argentina empresas agrícolas con peones esclavos,2011-01-07,-0.9633,Jornada,0.0
"La Jornada: Mafias penetran equipos de futbol de Bulgaria, revela Wikileaks",2011-01-07,0.25,Jornada,0.0
La Jornada: Designa el presidente Barack Obama a William Daley como jefe de asesores de la Casa Blanca,2011-01-07,0.6486,Jornada,0.0
La Jornada: Cambios en la cúpula del gobierno de Cuba,2011-01-07,0.91,Jornada,0.2023
La Jornada: El Congreso panameño no investigará a Martinelli,2011-01-07,-0.25,Jornada,0.0
La Jornada: Muerte a lo bonzo de un ambulante desata protestas en Túnez,2011-01-07,-0.9423,Jornada,-0.7003
La Jornada: Anuncia Robert Gates recortes por 78 mil millones de dólares en el Pentágono,2011-01-07,0.4404,Jornada,0.0
"La Jornada: EU, confortado por el apoyo de AL, pese a las filtraciones",2011-01-07,0.1779,Jornada,0.4019
La Jornada: Jorge Esquinca vuelca su amor filial en Descripción de un brillo azul cobalto,2011-01-07,-0.9808,Jornada,0.6369
La Jornada: Importantes museos del mundo apuestan a las redes sociales para atraer visitantes,2011-01-07,0.8625,Jornada,0.5106
"La Jornada: Mil amigos en Facebook, pero ninguno evitó su suicidio",2011-01-07,-0.7184,Jornada,0.7798
"La Jornada: Amplia visión latinoamericana, en la edición 30 de la feria ARCOmadrid",2011-01-07,0.0258,Jornada,0.5106
La Jornada: La comunidad organizada logra rescatar la plaza Gómez Farías,2011-01-07,0.986,Jornada,0.5106
La Jornada: Malkovich debuta en ópera como el seductor Casanova,2011-01-07,0.0,Jornada,0.0
"La Jornada: México, cuarto en la OCDE con la inflación más alta",2011-01-07,0.2732,Jornada,0.0
La Jornada: Lanza Dilma Rousseff plan para erradicar la pobreza extrema en Brasil,2011-01-07,-0.9001,Jornada,-0.5106
La Jornada: Reconoce Renault estar amenazada por espionaje industrial,2011-01-07,0.0,Jornada,-0.4588
La Jornada: CMA demandará a su socio español AENA,2011-01-07,-0.25,Jornada,0.0
La Jornada: Propone EU etapas para restablecer la circulación de camiones mexicanos,2011-01-07,0.7845,Jornada,0.296
La Jornada: Caficultores piden apoyo aun con altas cotizaciones,2011-01-07,-0.296,Jornada,0.4019
La Jornada: Entraron a GB huevos contaminados por dioxinas,2011-01-07,0.0,Jornada,0.0
La Jornada: Elevados precios de alimentos impulsan inflación de dos dígitos,2011-01-07,-0.4019,Jornada,0.4019
"La Jornada: Detenidas, obras en Chimalhuacán",2011-01-07,-0.4767,Jornada,-0.4767
La Jornada: Comunidad de Sonora aislada por nevadas,2011-01-07,0.0,Jornada,-0.3182
La Jornada: Rechazan AMLO y Encinas alianza con AN en Edomex,2011-01-07,-0.8074,Jornada,-0.4019
La Jornada: Retienen a funcionarios en Oaxaca,2011-01-07,-0.5994,Jornada,0.0
"La Jornada: Puerto Vallarta, endeudado con empresa de Alejandro Fernández",2011-01-07,-0.0516,Jornada,0.0
La Jornada: Incumple ICA entrega del Acueducto II,2011-01-07,-0.296,Jornada,-0.4215
La Jornada: Detienen a 3 por robo de medicinas del IMSS,2011-01-07,0.0,Jornada,-0.296
La Jornada: Parteaguas en la historia de los derechos humanos en Chiapas,2011-01-07,0.0258,Jornada,0.0
La Jornada: Arranca el proceso electoral en Nayarit,2011-01-07,-0.34,Jornada,0.0
"La Jornada: El gabinete de Malova, de cuates y cuotas",2011-01-07,0.4019,Jornada,0.0
La Jornada: Maestros tamaulipecos exigen cargos públicos,2011-01-07,-0.5994,Jornada,-0.128
"La Jornada: Hallan irregularidades por $1,369 millones en Zapopan",2011-01-07,-0.5267,Jornada,0.0
La Jornada: Atenderá el INEA a sólo 46 mil 400 analfabetos,2011-01-07,-0.4019,Jornada,0.0
La Jornada: Protestas en primer acto público de Felipe Calderón de este año,2011-01-07,-0.0772,Jornada,-0.2263
La Jornada: Apoyan mineros a empleados de la Honda que buscan sindicalizarse,2011-01-07,0.4588,Jornada,0.4019
La Jornada: Detectan altas tasas de mortalidad por consumo de alcohol en zonas indígenas,2011-01-07,-0.8271,Jornada,0.0
La Jornada: Creará la SEP 20 instituciones de educación superior en 2011,2011-01-07,-0.4019,Jornada,0.2732
La Jornada: Se niegan a vivir con sus agresores 60% de mujeres víctimas de violencia,2011-01-07,-0.9738,Jornada,-0.8591
La Jornada: Documentan ONG en Chihuahua acciones de red de trata de blancas,2011-01-07,-0.296,Jornada,0.0
La Jornada: Por temor a la deportación no denuncié maltratos,2011-01-07,-0.7906,Jornada,0.0433
La Jornada: Jueces en Juárez se estrenan exonerando a 3 imputados,2011-01-07,-0.4939,Jornada,0.25
La Jornada: Se vive situación grave por los constantes aumentos a combustibles: Beatriz Paredes,2011-01-07,0.34,Jornada,-0.0772
La Jornada: PGR investiga anuncios en medios de sexo,2011-01-07,-0.9022,Jornada,0.0
La Jornada: Gobernadores hacen pasarela en Los Pinos,2011-01-07,0.8934,Jornada,0.0
"La Jornada: Criminales agreden a centroamericanos y, esporádicamente, policías: embajador",2011-01-07,-0.5994,Jornada,-0.7783
La Jornada: 214 plagios colectivos de indocumentados el año pasado: CNDH,2011-01-07,0.3182,Jornada,0.0
"La Jornada: Felipe Calderón ha sido ingrato con el PRI, recrimina Humberto Moreira",2011-01-07,-0.9246,Jornada,-0.4588
"La Jornada: Pobreza, migración e inseguridad se han apoderado del campo, asegura la CNC",2011-01-07,-0.7717,Jornada,-0.7269
"La Jornada: Prisiones del país, espacio para formación de criminales: activistas de derechos humanos",2011-01-07,-0.3182,Jornada,-0.5719
"La Jornada: Difícil, saber cuál instancia legal podría juzgar a Assange, dice María Marván",2011-01-07,0.4215,Jornada,-0.25
La Jornada: Burlan en San Lázaro cuota de género decretada en el Cofipe,2011-01-07,-0.6369,Jornada,0.0
La Jornada: Activistas protestarán hoy a bordo de tren en Arriaga,2011-01-07,-0.296,Jornada,-0.25
"La Jornada: Al borde del colapso, el sistema de radares de la Defensa Nacional",2011-01-07,0.25,Jornada,-0.4019
La Jornada: Módulos del IFE atienden a rezagados,2011-01-07,0.0,Jornada,0.0
"La Jornada: Con antecedenes de falsificación, funcionario que dejó ir a reos",2011-01-07,-0.7964,Jornada,0.0
"La Jornada: Recibe en 10 años la PF 3,388 quejas por violar garantías",2011-01-07,0.25,Jornada,-0.7351
La Jornada: Promovió el ombudsman mexiquense repatriación de 300 indocumentados,2011-01-07,-0.802,Jornada,0.4215
La Jornada: Lanzan granadas y disparan armas de largo alcance contra penal de Topo Chico,2011-01-07,-0.296,Jornada,-0.6486
La Jornada: Investigan levantón de alcalde de Zaragoza,2011-01-07,0.0,Jornada,0.0
"La Jornada: Insuficientes, las modificaciones legales respecto de tráfico de personas: expertos",2011-01-07,-0.9674,Jornada,0.128
"La Jornada: La trata de personas, entre los tres delitos que dejan mayores ganancias",2011-01-07,-0.9022,Jornada,0.4019
"La Jornada: Hacer que la imagen de México corresponda a la realidad, pide la SRE al cuerpo diplomático",2011-01-07,-0.6908,Jornada,0.0
La Jornada: Alerta en Ecuador ante anuncio de que el cártel de Sinaloa opera en su territorio,2011-01-07,0.4939,Jornada,0.296
"La Jornada: El INM está podrido; hay que hacer una limpia, dice senador",2011-01-07,0.6249,Jornada,-0.1531
La Jornada: Se reforzará la vigilancia en centros médicos: Ssa,2011-01-07,0.296,Jornada,0.4215
La Jornada: Abusos en México socavan nuestra posición en EU: Arturo Sarukhán,2011-01-07,0.5267,Jornada,-0.7003
La Jornada: Aplican nuevas formas de revisión a tripulaciones,2011-01-07,0.8779,Jornada,0.0
"La Jornada: Cada año, más de 4 millones de mujeres son reclutadas para ser explotadas sexualmente",2011-01-07,-0.8555,Jornada,-0.4588
