article,pub_date,nltk_score,source,nltk_score_title
"La Jornada: La labor de las ONG, fundamental para la solidaridad y la reconstrucción de Haití",2011-01-09,0.0772,Jornada,0.296
"La Jornada: Bravuconada, el ataque de las FARC que dejó 9 muertos: Bogotá",2011-01-09,-0.9337,Jornada,-0.8126
La Jornada: Pide Corte de EU a Twitter datos de personas ligadas a Wikileaks,2011-01-09,-0.3182,Jornada,0.0
"La Jornada: Hoy, histórico referendo que puede decidir si Sudán se divide en 2 países",2011-01-09,-0.1531,Jornada,0.0
La Jornada: Atacante mata a seis personas y hieregrave en la cabeza a congresista de EU,2011-01-09,-0.988,Jornada,-0.802
La Jornada: Ensayo interior,2011-01-09,0.4019,Jornada,0.0
La Jornada: Mariana Bernárdez da cuenta de lo esencial de Ramón Xirau en el terreno de las ideas,2011-01-09,0.8442,Jornada,0.0
La Jornada: Insolencia por bandera,2011-01-09,0.802,Jornada,0.0
La Jornada: Gerardo Serrano se propone robarle la inocencia al lector con Último edén,2011-01-09,0.926,Jornada,-0.1531
La Jornada: Crónica teatral,2011-01-09,0.4939,Jornada,0.0
La Jornada: Dr. Lakra trasciende la subcultura del tatuaje hacia el arte a escala internacional,2011-01-09,-0.5267,Jornada,0.0
La Jornada: Misterio y niebla,2011-01-09,-0.4939,Jornada,0.0
La Jornada: Regocijo para despistar,2011-01-09,-0.6808,Jornada,0.0
La Jornada: Puñado de relatos,2011-01-09,0.4404,Jornada,0.0
"La Jornada: La obra de Tennessee Williams, aún por ser descubierta en México",2011-01-09,-0.9136,Jornada,0.0
La Jornada: Agrupación de choferes aumenta 30% tarifas de transporte de forma unilateral,2011-01-09,0.7269,Jornada,0.0
La Jornada: Red de espionaje obtiene información sobre automóviles eléctricos de Renault,2011-01-09,-0.4939,Jornada,0.0
La Jornada: Agencias dudan que Mexicana reinicie operaciones este mes,2011-01-09,-0.6369,Jornada,-0.3612
La Jornada: Vecinos de Tizayuca exigen reinstalar servicio de electricidad,2011-01-09,0.3182,Jornada,-0.128
La Jornada: El PAN analiza postular a Bravo Mena como candidato en el Edomex: dirigentes,2011-01-09,-0.0258,Jornada,0.0
La Jornada: “Tzeltales que tomaron rancho iban armados”,2011-01-09,0.0,Jornada,0.0
La Jornada: Exigen destituir al procurador de Justicia de Colima,2011-01-09,-0.1531,Jornada,0.4404
La Jornada: Ordena juez frenar obras en tramo del Circuito Exterior Mexiquense,2011-01-09,-0.0258,Jornada,0.0
La Jornada: Jesús Sabido presidirá el IEE de Campeche,2011-01-09,0.0,Jornada,0.0
La Jornada: Suman 18 decesos por el frío en Chihuahua,2011-01-09,0.6369,Jornada,0.0
La Jornada: Reconstruyen puentes dañados por Álex en NL,2011-01-09,0.0,Jornada,-0.4404
"La Jornada: Edil electo en Cotzocón, Oaxaca, no acatará anulación de comicios",2011-01-09,-0.8402,Jornada,0.0
"La Jornada: En vigor, desde el lunes, reglas contra comida chatarra",2011-01-09,0.0,Jornada,0.4767
La Jornada: Abre la UNAM convocatoria de ingreso a licenciatura,2011-01-09,0.4939,Jornada,0.0
La Jornada: Cofepris advierte sobre suplementos alimenticios,2011-01-09,-0.6124,Jornada,-0.1027
La Jornada: Once universidades concentran los recursos para aumentar matrícula,2011-01-09,0.0772,Jornada,0.3182
La Jornada: Marcadores biológicos ayudarían al diagnóstico de autismo: Ciren,2011-01-09,-0.93,Jornada,0.4019
La Jornada: Acuartelan a agentes de tránsito en dos municipios de NL ante ataques del hampa,2011-01-09,-0.7184,Jornada,-0.4404
"La Jornada: Frenar alzas a combustibles para transporte público, demanda GDF",2011-01-09,-0.5267,Jornada,-0.128
La Jornada: Exige PRD liberar al último edil preso por michoacanazo,2011-01-09,-0.802,Jornada,-0.6369
"La Jornada: En 2010, se cometieron 45 mil 529 delitos más que el año anterior: estudio de la SG",2011-01-09,-0.9217,Jornada,0.2732
La Jornada: Facultades y características,2011-01-09,0.0,Jornada,0.0
"La Jornada: Cambios en el gabinete, otra muestra del fracaso de Calderón, dice López Obrador",2011-01-09,-0.9686,Jornada,-0.5106
La Jornada: Priístas: Kessel y Molinar no dejan buenos resultados en Energía y SCT,2011-01-09,-0.3182,Jornada,-0.0408
La Jornada: Pide caravana reconocer como grupo vulnerable a migrantes,2011-01-09,-0.8176,Jornada,-0.2263
La Jornada: Inscriben nombre de Marisela Escobedo en cruce fronterizo,2011-01-09,0.9118,Jornada,0.0
La Jornada: Genera CEM confusión sobre continuidad de Pierre como nuncio apostólico en el país,2011-01-09,0.2585,Jornada,-0.296
La Jornada: Oculta Calderón tema de la violencia para limpiar su imagen en el exterior,2011-01-09,-0.7783,Jornada,-0.34
La Jornada: Entra en funciones el Consejo Estatal de los Derechos Humanos de Chiapas,2011-01-09,-0.4939,Jornada,0.0
La Jornada: El gobierno federal condena los hechos y ofrece colaboración,2011-01-09,0.1531,Jornada,-0.5106
"La Jornada: Celulares, gas natural doméstico y tv de paga, a la canasta básica",2011-01-09,-0.1027,Jornada,0.2732
La Jornada: Demandan retorno de desaparecidos políticos,2011-01-09,0.0,Jornada,-0.34
La Jornada: El Jefe Diego no ha formalizado la denuncia contra sus captores,2011-01-09,-0.5267,Jornada,0.2235
La Jornada: Anima al SME salida de Kessel,2011-01-09,-0.5574,Jornada,0.4019
La Jornada: Quince decapitaciones en oleada de 29 ejecuciones en Acapulco,2011-01-09,-0.4215,Jornada,0.0
"La Jornada: El ciclo del PAN, a punto de llegar a su fin, afirma Moreira",2011-01-09,0.1779,Jornada,0.0
La Jornada: La otra campaña indaga y detiene asaltantes,2011-01-09,0.0,Jornada,-0.1531
"La Jornada: Alzas de impuestos hasta de 1,000% generan protestas",2011-01-09,0.3182,Jornada,-0.2263
La Jornada: Jornada sangrienta del hampa al empezar el año; ayer ejecutó a 56 en varios estados,2011-01-09,-0.6369,Jornada,-0.4404
La Jornada: Emite CNDH queja a la Marina por abatir a civil,2011-01-09,-0.5719,Jornada,-0.7184
La Jornada: Industriales de la tortilla exigen blindar precio del maíz,2011-01-09,-0.296,Jornada,-0.128
