article,pub_date,nltk_score,source,nltk_score_title
"La Jornada: No se relegirá en 2014, promete presidente de Túnez; pide no disparar a manifestantes",2011-01-14,-0.6124,Jornada,0.6488
La Jornada: Rechaza máximo tribunal ley que impide procesar a Silvio Berlusconi,2011-01-14,0.0,Jornada,-0.7269
"La Jornada: Estamos cansados de la guerra, mensaje de Hussein a Bush en 1990",2011-01-14,-0.7506,Jornada,-0.7783
La Jornada: Poco interés de políticos italianos en combatir a la mafia: Wikileaks,2011-01-14,0.3612,Jornada,0.0534
La Jornada: Daños sicológicos en 90% de la población haitiana por el sismo: documentalistas,2011-01-14,-0.9705,Jornada,-0.4939
La Jornada: Dejan lluvias torrenciales en el estado de Río de Janeiro más de 440 muertos,2011-01-14,-0.296,Jornada,-0.6969
La Jornada: Donación del portal para la defensa del soldado Manning,2011-01-14,0.1027,Jornada,0.128
La Jornada: Aprueban en Honduras reforma zelayista,2011-01-14,0.0,Jornada,0.4215
La Jornada: Desolación en la ciudad de Brisbane tras las más devastadoras inundaciones en décadas,2011-01-14,0.0,Jornada,-0.6801
"La Jornada: Abierta provocación, encuentro de diplomáticos de EU con opositores: Cuba",2011-01-14,0.0,Jornada,0.0
La Jornada: Emotivo adiós a la niña de nueve años muerta en el atentado en Tucson,2011-01-14,-0.6369,Jornada,-0.6705
La Jornada: Seis ejemplos,2011-01-14,0.0,Jornada,0.0
La Jornada: El primer museo de Estados Unidos con temática gay abre sus puertas,2011-01-14,0.0,Jornada,0.0
"La Jornada: Devela experto a un Borges de entrecasa, el más cotidiano, visto por sus amigos",2011-01-14,0.8625,Jornada,0.4767
"La Jornada: Por primera vez, la UNAM difundirá radioteatro improvisado en vivo",2011-01-14,-0.128,Jornada,0.0
La Jornada: Certamen de poesía en Mazatlán,2011-01-14,0.0,Jornada,0.0
La Jornada: No estamos obligados a utilizar el léxico de otra sociedad: lingüista,2011-01-14,-0.4767,Jornada,0.0
La Jornada: Incumplimiento del CNCA,2011-01-14,-0.5423,Jornada,0.0
La Jornada: La realidad en la literatura siempre está por descubrirse: Mario González Suárez,2011-01-14,-0.1531,Jornada,0.0
La Jornada: Proponen hoteleros un fondo para afectados por inseguridad,2011-01-14,-0.6249,Jornada,-0.5267
La Jornada: El sector turismo y convenciones deja derrama por 500 mdd,2011-01-14,0.0,Jornada,0.0
La Jornada: Consigue la UE sumistro de gas natural de Azerbaiyán,2011-01-14,0.7506,Jornada,0.3612
"La Jornada: Ingresos de Pemex repuntaron 37.5% en 11 meses de 2010, reportan en EU",2011-01-14,0.2263,Jornada,0.0
La Jornada: Dinero,2011-01-14,0.8689,Jornada,0.0
"La Jornada: Anuncia Repsol que invertirá 1,400 mdd en Bolivia",2011-01-14,0.7096,Jornada,0.0
La Jornada: Invertirá la IP en transformar edificios históricos para turismo,2011-01-14,-0.296,Jornada,0.0
"La Jornada: Reservas por 116 mil mdd y crédito del FMI blindan economía, asegura Calderón",2011-01-14,-0.7906,Jornada,0.3818
"La Jornada: Prevé Luis Téllez que el PIB suba 4.5% este año, más de la previsión oficial",2011-01-14,0.1779,Jornada,0.0
La Jornada: Aumentaron 75% las tomas clandestinas de hidrocarburos,2011-01-14,-0.6249,Jornada,0.2732
"La Jornada: Asesinan al munícipe de Amoltepec, Oaxaca",2011-01-14,-0.9136,Jornada,-0.6808
La Jornada: Aprueba Tlaxcala prohibir cultivo y experimentos con maíz transgénico,2011-01-14,-0.296,Jornada,-0.2263
La Jornada: Debaten candidatos en BCS invitados por Coparmex; el panista los desaira,2011-01-14,0.8625,Jornada,0.0
La Jornada: Muere escolta del alcalde de Temoac,2011-01-14,0.5267,Jornada,0.0
La Jornada: Renuncia al PAN edil acusado de corrupción,2011-01-14,0.0,Jornada,-0.296
La Jornada: Planea PRI desestabilizar Guerrero: Zambrano,2011-01-14,-0.9712,Jornada,0.0
La Jornada: Envía Marín su último informe al Congreso,2011-01-14,-0.128,Jornada,0.0
La Jornada: Envían 300 policías a Yaveo para liberar a funcionarios,2011-01-14,-0.0772,Jornada,0.0
La Jornada: Sánchez Nava sigue grave tras golpiza,2011-01-14,-0.743,Jornada,-0.5106
La Jornada: Exigen anular la victoria del PRI en Hidalgo,2011-01-14,0.4939,Jornada,-0.128
La Jornada: Pide Amalia García más tiempo para aclarar presuntos desvíos,2011-01-14,-0.2023,Jornada,-0.2263
La Jornada: Anuncia PRD-Edomex convocatoria a internas,2011-01-14,0.0,Jornada,0.0
La Jornada: Transfieren a maestra acusada de abuso,2011-01-14,0.0,Jornada,-0.7506
La Jornada: Diputados nayaritas van tras candidaturas,2011-01-14,0.4019,Jornada,0.0
La Jornada: Detendrá la policía de Colima a los jóvenes que halle en caminos rurales,2011-01-14,0.128,Jornada,-0.296
La Jornada: Cinco carambolas en Saltillo por neblina y heladas; 10 lesionados,2011-01-14,-0.9403,Jornada,-0.4019
La Jornada: Pescadores de Cuitzeo se quedan sin trabajo,2011-01-14,0.0,Jornada,0.0
La Jornada: Querétaro: tipifican delitos informáticos,2011-01-14,0.0,Jornada,0.0
"La Jornada: Niños sin leche materna, con más riesgo de enfermar y morir: Ssa",2011-01-14,-0.7783,Jornada,-0.7351
La Jornada: Agudizarán la desnutrición normas para venta de chatarra en escuelas: diputada,2011-01-14,-0.7845,Jornada,0.0
"La Jornada: En riesgo, futuro de México por sobrepeso y obesidad: OCDE",2011-01-14,0.4404,Jornada,-0.5574
"La Jornada: Hoy, protesta de trabajadores del IMSS",2011-01-14,-0.296,Jornada,-0.25
La Jornada: Con Calderón hay menos respeto por las libertades civiles: Freedom House,2011-01-14,0.2263,Jornada,0.8836
La Jornada: Combate el IMSS colusión en licitaciones,2011-01-14,0.0,Jornada,-0.2023
"La Jornada: Reinicia el SME la lucha por recuperar empleos y fondos sindicales, dice Esparza",2011-01-14,-0.4588,Jornada,-0.3182
"La Jornada: El purgatorio no es un lugar, explica el Papa",2011-01-14,-0.7717,Jornada,0.0
La Jornada: Bandas trasnacionales son la mayor amenaza a migrantes,2011-01-14,-0.1779,Jornada,0.2023
La Jornada: Hallan seis especies de ranas en Haití que se creían extinguidas,2011-01-14,-0.5267,Jornada,0.0
"La Jornada: En riesgo, los pingüinos marcados para estudios",2011-01-14,-0.5719,Jornada,-0.2732
La Jornada: Modifican genes de pollos para evitar que transmitan gripe aviar,2011-01-14,-0.8885,Jornada,-0.3612
La Jornada: Diseñan prueba para identificar males antes de concebir un bebé,2011-01-14,0.0,Jornada,0.0
La Jornada: Sancionarán a estados y municipios con subejercicios en fondos para seguridad,2011-01-14,0.5106,Jornada,0.34
