article,pub_date,nltk_score,source,nltk_score_title
The Day: Poland Presides over EU,2011-07-02,-0.0258,Jornada,0.0
La Jornada: US and Latin American governments express desire for Hugo Chávez to recover,2011-07-02,-0.5267,Jornada,0.4019
La Jornada: Syrian army admits armed action against the regime,2011-07-02,-0.296,Jornada,0.296
"La Jornada: With guns, Greece prevents US ship departure with aid to Gaza",2011-07-02,0.4019,Jornada,0.0772
"The Day: Leon Panetta, former director of the CIA, assumes the leadership of the Pentagon",2011-07-02,-0.5719,Jornada,0.0
La Jornada: Chomsky and NGOs demand Colombian criminal closure,2011-07-02,-0.8555,Jornada,-0.5994
La Jornada: Chavez presides in Cuba working session with collaborators,2011-07-02,-0.7717,Jornada,0.0
"La Jornada: In a radical turn, Cuba will authorize the sale of cars and houses",2011-07-02,0.4939,Jornada,0.0
The Day: Gaddafi demands NATO to cease aerial offensive or prepare for catastrophe,2011-07-02,-0.9552,Jornada,-0.8126
La Jornada: Ratifies the Venezuelan vice-president that the president remains in office,2011-07-02,-0.7506,Jornada,0.0
"La Jornada: Ocean strives for informed discussion of the national reality, says the editorial director",2011-07-02,-0.6597,Jornada,0.0
The Day: Postponed the Book Fair and Arts of Mazatlan; His future uncertain,2011-07-02,-0.7579,Jornada,-0.1779
The Journey: Glenn Gould's epistolary vein reveals more information about the personality of the pianist,2011-07-02,-0.8785,Jornada,0.0
The Journey: In Search of Radical Rhapsody,2011-07-02,0.3818,Jornada,0.0
La Jornada: The artistic and cultural activities of the Alarconian Days in Taxco,2011-07-02,-0.4588,Jornada,0.0
La Jornada: They show the volcanic sexuality of a hungry Dalí of fame,2011-07-02,0.0,Jornada,0.4404
La Jornada: Francisco Araiza: singing performance will tell when to say goodbye,2011-07-02,0.5994,Jornada,0.0
La Jornada: The report of the SHCP lacks an economic assessment: deputies,2011-07-02,-0.7906,Jornada,0.0
"La Jornada: A new division of economic power in the world, balance of the crisis of 2008",2011-07-02,-0.128,Jornada,-0.6249
La Jornada: Many countries will not achieve hunger reduction goal: FAO,2011-07-02,-0.8834,Jornada,0.1877
La Jornada: Pemex contracts dispute ruling,2011-07-02,0.7506,Jornada,-0.4019
The Journey: Free Strauss-Kahn in NY; The case collapses against you,2011-07-02,-0.7096,Jornada,0.2732
La Jornada: Rejects Cordero elimination from IETU,2011-07-02,-0.3612,Jornada,-0.4939
La Jornada: Two children die as they fall into the side channel of the Mexico-Puebla highway,2011-07-02,-0.6597,Jornada,-0.5994
La Jornada: Amurallarán colonies of Villahermosa,2011-07-02,0.0,Jornada,0.0
La Jornada: The banks of the Remedios river will be isolated: Luege,2011-07-02,0.4767,Jornada,-0.3182
La Jornada: Arlene killed four people and hundreds of victims in 10 states,2011-07-02,-0.2023,Jornada,-0.7783
"La Jornada: Twenty thousand families, affected by the rains in Ecatepec and Neza: Calderón",2011-07-02,-0.9382,Jornada,-0.1531
La Jornada: Violent eviction of victims; Closed Central Avenue for help,2011-07-02,-0.765,Jornada,-0.7579
La Jornada: Do not wait for the economy to generate jobs,2011-07-02,0.4404,Jornada,0.0
La Jornada: Abuse of cleaning employees of the capital's airport,2011-07-02,-0.296,Jornada,-0.6369
La Jornada: Budget restrictions on SSA limit health promotion,2011-07-02,-0.2732,Jornada,0.0
La Jornada: Bodyguards of the mayor of Santa Catarina repel attack by gunmen,2011-07-02,-0.9201,Jornada,-0.4767
"La Jornada: For violating electoral law, the TEPJF orders the Government to sanction Valdemar",2011-07-02,-0.9042,Jornada,-0.5423
"La Jornada: Inquire members of the Judicial Branch, by consignment of Esiquio Martínez",2011-07-02,-0.7845,Jornada,0.0
La Jornada: Changes to human rights will mark institutional perversity: ombudsman,2011-07-02,-0.8402,Jornada,-0.5574
La Jornada: PRI and PVEM present appeal against radio and TV regulations,2011-07-02,0.8271,Jornada,0.0
The Day: Creel: AN must be won to those who believe their owners,2011-07-02,0.0,Jornada,0.5719
La Jornada: Inaugurated in the PGR laboratory to strengthen the expert activity,2011-07-02,0.9325,Jornada,0.3182
"La Jornada: President of the IFE, without a casting vote",2011-07-02,-0.5267,Jornada,0.0
"La Jornada: Prepares the GDF operon plug, accuses the PRI",2011-07-02,0.0,Jornada,-0.34
La Jornada: CNDH says to have witnesses of the plagiarism of migrants in Medias Aguas,2011-07-02,-0.0258,Jornada,0.0
The Day: Ask Washington to order the Court to postpone the execution of a Mexican,2011-07-02,-0.7269,Jornada,-0.2263
La Jornada: Marina denies arresting missing persons,2011-07-02,0.5423,Jornada,-0.6124
La Jornada: Nacif is proposed to take the place of Guerrero in the IFE,2011-07-02,0.0258,Jornada,0.0
"La Jornada: Candidates and parties, unrelated to reality in Coahuila: Raúl Vera",2011-07-02,-0.9638,Jornada,0.4019
La Jornada: Proposes Solalinde to disappear National Institute of Migration,2011-07-02,-0.3818,Jornada,-0.2263
La Jornada: Excessive spending in Edomex elections,2011-07-02,0.7269,Jornada,0.0
La Jornada: Catean the house of the ombudsman family,2011-07-02,0.0,Jornada,0.0
La Jornada: Activists to address torture and military jurisdiction with UN commissioner,2011-07-02,-0.8957,Jornada,-0.5994
La Jornada: Canceling the operational army in Nayarit,2011-07-02,-0.8555,Jornada,0.0
La Jornada: By floods will relocate boxes in Ecatepec,2011-07-02,-0.7506,Jornada,0.0
"La Jornada: 15 suspected zetas killed in clash with sailors in Fresnillo, Zacatecas",2011-07-02,-0.6369,Jornada,-0.7506
La Jornada: Letter from Valdés Zurita,2011-07-02,0.0,Jornada,0.0
La Jornada: Disiente Ángel Aguirre by Isabel Miranda,2011-07-02,0.0516,Jornada,0.0
"La Jornada: There is no confirmation of the kidnapping of undocumented immigrants, says the PGR",2011-07-02,0.296,Jornada,-0.296
La Jornada: NGO denounces harassment against Zapatista communities in Chiapas,2011-07-02,-0.8779,Jornada,-0.7506
"La Jornada: Gordillo's pacts do not show interest in education, experts say",2011-07-02,0.5719,Jornada,-0.357
"La Jornada: Normal, that flaws appear in the new seat of the Senate: Arturo Escobar",2011-07-02,0.0,Jornada,0.0
"La Jornada: Calderón, against dishonest judges; Requires clearance of the judiciary",2011-07-02,-0.8591,Jornada,-0.5719
La Jornada: Names the INM new coordinator and rotates 5 delegates,2011-07-02,-0.296,Jornada,0.0
"La Jornada: Convergencia analyzes its name change, which would help to keep its register",2011-07-02,-0.296,Jornada,0.4019
